"","station_id","stationname","date","daytype","rides","date_ymd","month","month_char","year","day","day_of_week","loc","lineColor","X"
"23",40560,"Jackson/State",NA,NA,8365,2017-12-04,12,"Dec",2017,4,"Monday","(41.878153, -87.627596)","100000000",NA
"170",40560,"Jackson/State",NA,NA,4336,2017-12-27,12,"Dec",2017,27,"Wednesday","(41.878153, -87.627596)","100000000",NA
"415",40560,"Jackson/State",NA,NA,2619,2017-12-03,12,"Dec",2017,3,"Sunday","(41.878153, -87.627596)","100000000",NA
"623",40560,"Jackson/State",NA,NA,3534,2017-12-02,12,"Dec",2017,2,"Saturday","(41.878153, -87.627596)","100000000",NA
"703",40560,"Jackson/State",NA,NA,8080,2017-12-07,12,"Dec",2017,7,"Thursday","(41.878153, -87.627596)","100000000",NA
"710",40560,"Jackson/State",NA,NA,8535,2017-12-05,12,"Dec",2017,5,"Tuesday","(41.878153, -87.627596)","100000000",NA
"746",40560,"Jackson/State",NA,NA,8362,2017-12-14,12,"Dec",2017,14,"Thursday","(41.878153, -87.627596)","100000000",NA
"828",40560,"Jackson/State",NA,NA,7927,2017-12-13,12,"Dec",2017,13,"Wednesday","(41.878153, -87.627596)","100000000",NA
"942",40560,"Jackson/State",NA,NA,7331,2017-12-08,12,"Dec",2017,8,"Friday","(41.878153, -87.627596)","100000000",NA
"995",40560,"Jackson/State",NA,NA,2202,2017-12-10,12,"Dec",2017,10,"Sunday","(41.878153, -87.627596)","100000000",NA
"1269",40560,"Jackson/State",NA,NA,3400,2017-12-09,12,"Dec",2017,9,"Saturday","(41.878153, -87.627596)","100000000",NA
"1288",40560,"Jackson/State",NA,NA,7067,2017-12-18,12,"Dec",2017,18,"Monday","(41.878153, -87.627596)","100000000",NA
"1368",40560,"Jackson/State",NA,NA,7308,2017-12-15,12,"Dec",2017,15,"Friday","(41.878153, -87.627596)","100000000",NA
"1546",40560,"Jackson/State",NA,NA,1685,2017-12-31,12,"Dec",2017,31,"Sunday","(41.878153, -87.627596)","100000000",NA
"1566",40560,"Jackson/State",NA,NA,7359,2017-12-19,12,"Dec",2017,19,"Tuesday","(41.878153, -87.627596)","100000000",NA
"1648",40560,"Jackson/State",NA,NA,1298,2017-12-24,12,"Dec",2017,24,"Sunday","(41.878153, -87.627596)","100000000",NA
"1846",40560,"Jackson/State",NA,NA,865,2017-12-25,12,"Dec",2017,25,"Monday","(41.878153, -87.627596)","100000000",NA
"2142",40560,"Jackson/State",NA,NA,4761,2017-12-28,12,"Dec",2017,28,"Thursday","(41.878153, -87.627596)","100000000",NA
"2510",40560,"Jackson/State",NA,NA,3098,2017-12-16,12,"Dec",2017,16,"Saturday","(41.878153, -87.627596)","100000000",NA
"2609",40560,"Jackson/State",NA,NA,7170,2017-12-20,12,"Dec",2017,20,"Wednesday","(41.878153, -87.627596)","100000000",NA
"2611",40560,"Jackson/State",NA,NA,2095,2017-12-23,12,"Dec",2017,23,"Saturday","(41.878153, -87.627596)","100000000",NA
"3110",40560,"Jackson/State",NA,NA,2120,2017-12-17,12,"Dec",2017,17,"Sunday","(41.878153, -87.627596)","100000000",NA
"3171",40560,"Jackson/State",NA,NA,7884,2017-12-01,12,"Dec",2017,1,"Friday","(41.878153, -87.627596)","100000000",NA
"3685",40560,"Jackson/State",NA,NA,6517,2017-12-21,12,"Dec",2017,21,"Thursday","(41.878153, -87.627596)","100000000",NA
"3772",40560,"Jackson/State",NA,NA,8051,2017-12-12,12,"Dec",2017,12,"Tuesday","(41.878153, -87.627596)","100000000",NA
"3914",40560,"Jackson/State",NA,NA,2134,2017-12-30,12,"Dec",2017,30,"Saturday","(41.878153, -87.627596)","100000000",NA
"3934",40560,"Jackson/State",NA,NA,4424,2017-12-29,12,"Dec",2017,29,"Friday","(41.878153, -87.627596)","100000000",NA
"3973",40560,"Jackson/State",NA,NA,8282,2017-12-06,12,"Dec",2017,6,"Wednesday","(41.878153, -87.627596)","100000000",NA
"4416",40560,"Jackson/State",NA,NA,3362,2017-12-26,12,"Dec",2017,26,"Tuesday","(41.878153, -87.627596)","100000000",NA
"4449",40560,"Jackson/State",NA,NA,7911,2017-12-11,12,"Dec",2017,11,"Monday","(41.878153, -87.627596)","100000000",NA
"4454",40560,"Jackson/State",NA,NA,5029,2017-12-22,12,"Dec",2017,22,"Friday","(41.878153, -87.627596)","100000000",NA
"4719",40560,"Jackson/State",NA,NA,2266,2018-01-28,1,"Jan",2018,28,"Sunday","(41.878153, -87.627596)","100000000",NA
"4799",40560,"Jackson/State",NA,NA,10777,2018-01-22,1,"Jan",2018,22,"Monday","(41.878153, -87.627596)","100000000",NA
