"","station_id","stationname","date","daytype","rides","date_ymd","month","month_char","year","day","day_of_week","loc","lineColor","X"
"67",40160,"LaSalle/Van Buren",NA,NA,3326,2017-12-05,12,"Dec",2017,5,"Tuesday","(41.8768, -87.631739)","000100000",NA
"704",40160,"LaSalle/Van Buren",NA,NA,342,2017-12-30,12,"Dec",2017,30,"Saturday","(41.8768, -87.631739)","000100000",NA
"757",40160,"LaSalle/Van Buren",NA,NA,208,2017-12-24,12,"Dec",2017,24,"Sunday","(41.8768, -87.631739)","000100000",NA
"796",40160,"LaSalle/Van Buren",NA,NA,2839,2017-12-08,12,"Dec",2017,8,"Friday","(41.8768, -87.631739)","000100000",NA
"815",40160,"LaSalle/Van Buren",NA,NA,311,2017-12-17,12,"Dec",2017,17,"Sunday","(41.8768, -87.631739)","000100000",NA
"879",40160,"LaSalle/Van Buren",NA,NA,3329,2017-12-06,12,"Dec",2017,6,"Wednesday","(41.8768, -87.631739)","000100000",NA
"895",40160,"LaSalle/Van Buren",NA,NA,3295,2017-12-12,12,"Dec",2017,12,"Tuesday","(41.8768, -87.631739)","000100000",NA
"969",40160,"LaSalle/Van Buren",NA,NA,1844,2017-12-29,12,"Dec",2017,29,"Friday","(41.8768, -87.631739)","000100000",NA
"1065",40160,"LaSalle/Van Buren",NA,NA,336,2017-12-31,12,"Dec",2017,31,"Sunday","(41.8768, -87.631739)","000100000",NA
"1197",40160,"LaSalle/Van Buren",NA,NA,344,2017-12-10,12,"Dec",2017,10,"Sunday","(41.8768, -87.631739)","000100000",NA
"1259",40160,"LaSalle/Van Buren",NA,NA,332,2017-12-23,12,"Dec",2017,23,"Saturday","(41.8768, -87.631739)","000100000",NA
"1301",40160,"LaSalle/Van Buren",NA,NA,551,2017-12-02,12,"Dec",2017,2,"Saturday","(41.8768, -87.631739)","000100000",NA
"1452",40160,"LaSalle/Van Buren",NA,NA,1446,2017-12-26,12,"Dec",2017,26,"Tuesday","(41.8768, -87.631739)","000100000",NA
"1569",40160,"LaSalle/Van Buren",NA,NA,3084,2017-12-04,12,"Dec",2017,4,"Monday","(41.8768, -87.631739)","000100000",NA
"1620",40160,"LaSalle/Van Buren",NA,NA,2929,2017-12-20,12,"Dec",2017,20,"Wednesday","(41.8768, -87.631739)","000100000",NA
"1977",40160,"LaSalle/Van Buren",NA,NA,3180,2017-12-14,12,"Dec",2017,14,"Thursday","(41.8768, -87.631739)","000100000",NA
"2235",40160,"LaSalle/Van Buren",NA,NA,3158,2017-12-11,12,"Dec",2017,11,"Monday","(41.8768, -87.631739)","000100000",NA
"2385",40160,"LaSalle/Van Buren",NA,NA,2023,2017-12-28,12,"Dec",2017,28,"Thursday","(41.8768, -87.631739)","000100000",NA
