"","station_id","stationname","date","daytype","rides","loc","lineColor"
"274",41380,"Bryn Mawr","12/16/2017","A",3333,"(41.983504, -87.65884)","red"
"290",41380,"Bryn Mawr","12/26/2017","W",2249,"(41.983504, -87.65884)","red"
"349",41380,"Bryn Mawr","12/04/2017","W",4714,"(41.983504, -87.65884)","red"
"403",41380,"Bryn Mawr","12/14/2017","W",4732,"(41.983504, -87.65884)","red"
"613",41380,"Bryn Mawr","12/31/2017","U",2201,"(41.983504, -87.65884)","red"
"748",41380,"Bryn Mawr","12/06/2017","W",4775,"(41.983504, -87.65884)","red"
"839",41380,"Bryn Mawr","12/07/2017","W",4746,"(41.983504, -87.65884)","red"
"965",41380,"Bryn Mawr","12/09/2017","A",3075,"(41.983504, -87.65884)","red"
"1124",41380,"Bryn Mawr","12/25/2017","U",1024,"(41.983504, -87.65884)","red"
"1305",41380,"Bryn Mawr","12/24/2017","U",1705,"(41.983504, -87.65884)","red"
"1626",41380,"Bryn Mawr","12/11/2017","W",4492,"(41.983504, -87.65884)","red"
"1993",41380,"Bryn Mawr","12/18/2017","W",4222,"(41.983504, -87.65884)","red"
"2229",41380,"Bryn Mawr","12/17/2017","U",2368,"(41.983504, -87.65884)","red"
"2264",41380,"Bryn Mawr","12/19/2017","W",4509,"(41.983504, -87.65884)","red"
"2573",41380,"Bryn Mawr","12/10/2017","U",2303,"(41.983504, -87.65884)","red"
"2715",41380,"Bryn Mawr","12/22/2017","W",3896,"(41.983504, -87.65884)","red"
"2927",41380,"Bryn Mawr","12/03/2017","U",2533,"(41.983504, -87.65884)","red"
"3069",41380,"Bryn Mawr","12/13/2017","W",4640,"(41.983504, -87.65884)","red"
"3217",41380,"Bryn Mawr","12/15/2017","W",4680,"(41.983504, -87.65884)","red"
"3295",41380,"Bryn Mawr","12/02/2017","A",3358,"(41.983504, -87.65884)","red"
"3454",41380,"Bryn Mawr","12/29/2017","W",3309,"(41.983504, -87.65884)","red"
"3475",41380,"Bryn Mawr","12/08/2017","W",4824,"(41.983504, -87.65884)","red"
"3485",41380,"Bryn Mawr","12/12/2017","W",4678,"(41.983504, -87.65884)","red"
"3654",41380,"Bryn Mawr","12/20/2017","W",4377,"(41.983504, -87.65884)","red"
"3657",41380,"Bryn Mawr","12/21/2017","W",4229,"(41.983504, -87.65884)","red"
"3697",41380,"Bryn Mawr","12/23/2017","A",2441,"(41.983504, -87.65884)","red"
"3702",41380,"Bryn Mawr","12/30/2017","A",2201,"(41.983504, -87.65884)","red"
"3981",41380,"Bryn Mawr","12/28/2017","W",3109,"(41.983504, -87.65884)","red"
"4000",41380,"Bryn Mawr","12/01/2017","W",5164,"(41.983504, -87.65884)","red"
"4197",41380,"Bryn Mawr","12/05/2017","W",4749,"(41.983504, -87.65884)","red"
"4221",41380,"Bryn Mawr","12/27/2017","W",2787,"(41.983504, -87.65884)","red"
"4579",41380,"Bryn Mawr","03/16/2018","W",4690,"(41.983504, -87.65884)","red"
"4648",41380,"Bryn Mawr","03/23/2018","W",4520,"(41.983504, -87.65884)","red"
"4956",41380,"Bryn Mawr","01/12/2018","W",2795,"(41.983504, -87.65884)","red"
"5046",41380,"Bryn Mawr","02/15/2018","W",4867,"(41.983504, -87.65884)","red"
"5105",41380,"Bryn Mawr","02/11/2018","U",2162,"(41.983504, -87.65884)","red"
"5404",41380,"Bryn Mawr","02/27/2018","W",4799,"(41.983504, -87.65884)","red"
"5540",41380,"Bryn Mawr","01/15/2018","W",2957,"(41.983504, -87.65884)","red"
"5688",41380,"Bryn Mawr","02/21/2018","W",4737,"(41.983504, -87.65884)","red"
"5753",41380,"Bryn Mawr","01/02/2018","W",3422,"(41.983504, -87.65884)","red"
"5882",41380,"Bryn Mawr","03/13/2018","W",4721,"(41.983504, -87.65884)","red"
"5966",41380,"Bryn Mawr","01/21/2018","U",2266,"(41.983504, -87.65884)","red"
"5987",41380,"Bryn Mawr","01/19/2018","W",4517,"(41.983504, -87.65884)","red"
"6109",41380,"Bryn Mawr","01/03/2018","W",3867,"(41.983504, -87.65884)","red"
"6164",41380,"Bryn Mawr","01/30/2018","W",4690,"(41.983504, -87.65884)","red"
"6571",41380,"Bryn Mawr","03/08/2018","W",4637,"(41.983504, -87.65884)","red"
"6865",41380,"Bryn Mawr","02/12/2018","W",4526,"(41.983504, -87.65884)","red"
"6900",41380,"Bryn Mawr","02/07/2018","W",4601,"(41.983504, -87.65884)","red"
"7002",41380,"Bryn Mawr","03/25/2018","U",2355,"(41.983504, -87.65884)","red"
"7052",41380,"Bryn Mawr","03/12/2018","W",4418,"(41.983504, -87.65884)","red"
"7065",41380,"Bryn Mawr","02/20/2018","W",4584,"(41.983504, -87.65884)","red"
"7472",41380,"Bryn Mawr","01/24/2018","W",4654,"(41.983504, -87.65884)","red"
"7826",41380,"Bryn Mawr","02/28/2018","W",4693,"(41.983504, -87.65884)","red"
"7879",41380,"Bryn Mawr","02/01/2018","W",4734,"(41.983504, -87.65884)","red"
"8005",41380,"Bryn Mawr","02/14/2018","W",4745,"(41.983504, -87.65884)","red"
"8220",41380,"Bryn Mawr","03/01/2018","W",4744,"(41.983504, -87.65884)","red"
"8347",41380,"Bryn Mawr","03/11/2018","U",2285,"(41.983504, -87.65884)","red"
"8376",41380,"Bryn Mawr","01/28/2018","U",2360,"(41.983504, -87.65884)","red"
