"","station_id","stationname","date","daytype","rides","loc","lineColor"
"206",41350,"Oak Park-Lake","12/21/2017","W",1532,"(41.886988, -87.793783)","green"
"214",41350,"Oak Park-Lake","12/12/2017","W",1558,"(41.886988, -87.793783)","green"
"306",41350,"Oak Park-Lake","12/26/2017","W",631,"(41.886988, -87.793783)","green"
"559",41350,"Oak Park-Lake","12/24/2017","U",342,"(41.886988, -87.793783)","green"
"653",41350,"Oak Park-Lake","12/17/2017","U",490,"(41.886988, -87.793783)","green"
"763",41350,"Oak Park-Lake","12/20/2017","W",1547,"(41.886988, -87.793783)","green"
"1010",41350,"Oak Park-Lake","12/05/2017","W",1570,"(41.886988, -87.793783)","green"
"1249",41350,"Oak Park-Lake","12/13/2017","W",1607,"(41.886988, -87.793783)","green"
"1313",41350,"Oak Park-Lake","12/11/2017","W",1504,"(41.886988, -87.793783)","green"
"1434",41350,"Oak Park-Lake","12/10/2017","U",504,"(41.886988, -87.793783)","green"
"1678",41350,"Oak Park-Lake","12/31/2017","U",418,"(41.886988, -87.793783)","green"
"1682",41350,"Oak Park-Lake","12/06/2017","W",1599,"(41.886988, -87.793783)","green"
"1905",41350,"Oak Park-Lake","12/29/2017","W",1001,"(41.886988, -87.793783)","green"
"1918",41350,"Oak Park-Lake","12/07/2017","W",1638,"(41.886988, -87.793783)","green"
"2131",41350,"Oak Park-Lake","12/02/2017","A",769,"(41.886988, -87.793783)","green"
"2155",41350,"Oak Park-Lake","12/08/2017","W",1583,"(41.886988, -87.793783)","green"
"2304",41350,"Oak Park-Lake","12/23/2017","A",600,"(41.886988, -87.793783)","green"
"2334",41350,"Oak Park-Lake","12/03/2017","U",549,"(41.886988, -87.793783)","green"
"2435",41350,"Oak Park-Lake","12/19/2017","W",1620,"(41.886988, -87.793783)","green"
"2465",41350,"Oak Park-Lake","12/09/2017","A",790,"(41.886988, -87.793783)","green"
"2484",41350,"Oak Park-Lake","12/15/2017","W",1541,"(41.886988, -87.793783)","green"
"2639",41350,"Oak Park-Lake","12/14/2017","W",1658,"(41.886988, -87.793783)","green"
"2783",41350,"Oak Park-Lake","12/18/2017","W",1540,"(41.886988, -87.793783)","green"
"3126",41350,"Oak Park-Lake","12/01/2017","W",1598,"(41.886988, -87.793783)","green"
"3629",41350,"Oak Park-Lake","12/28/2017","W",980,"(41.886988, -87.793783)","green"
"3733",41350,"Oak Park-Lake","12/04/2017","W",1626,"(41.886988, -87.793783)","green"
"3792",41350,"Oak Park-Lake","12/22/2017","W",1249,"(41.886988, -87.793783)","green"
"3939",41350,"Oak Park-Lake","12/25/2017","U",156,"(41.886988, -87.793783)","green"
"4013",41350,"Oak Park-Lake","12/27/2017","W",883,"(41.886988, -87.793783)","green"
"4135",41350,"Oak Park-Lake","12/30/2017","A",420,"(41.886988, -87.793783)","green"
"4167",41350,"Oak Park-Lake","12/16/2017","A",752,"(41.886988, -87.793783)","green"
"4761",41350,"Oak Park-Lake","02/07/2018","W",1570,"(41.886988, -87.793783)","green"
"4806",41350,"Oak Park-Lake","02/20/2018","W",1485,"(41.886988, -87.793783)","green"
"5121",41350,"Oak Park-Lake","03/28/2018","W",1535,"(41.886988, -87.793783)","green"
"5221",41350,"Oak Park-Lake","01/03/2018","W",1267,"(41.886988, -87.793783)","green"
"5760",41350,"Oak Park-Lake","01/09/2018","W",1509,"(41.886988, -87.793783)","green"
"5763",41350,"Oak Park-Lake","03/06/2018","W",1485,"(41.886988, -87.793783)","green"
"5939",41350,"Oak Park-Lake","01/21/2018","U",407,"(41.886988, -87.793783)","green"
"6108",41350,"Oak Park-Lake","01/27/2018","A",723,"(41.886988, -87.793783)","green"
"6430",41350,"Oak Park-Lake","02/09/2018","W",990,"(41.886988, -87.793783)","green"
"6499",41350,"Oak Park-Lake","03/21/2018","W",1633,"(41.886988, -87.793783)","green"
"6852",41350,"Oak Park-Lake","02/08/2018","W",1512,"(41.886988, -87.793783)","green"
"7071",41350,"Oak Park-Lake","03/31/2018","A",621,"(41.886988, -87.793783)","green"
"7353",41350,"Oak Park-Lake","02/15/2018","W",1575,"(41.886988, -87.793783)","green"
"7588",41350,"Oak Park-Lake","03/17/2018","A",1238,"(41.886988, -87.793783)","green"
"7604",41350,"Oak Park-Lake","01/16/2018","W",1584,"(41.886988, -87.793783)","green"
"7931",41350,"Oak Park-Lake","01/18/2018","W",1547,"(41.886988, -87.793783)","green"
"7938",41350,"Oak Park-Lake","03/19/2018","W",1461,"(41.886988, -87.793783)","green"
"8022",41350,"Oak Park-Lake","03/08/2018","W",1584,"(41.886988, -87.793783)","green"
"8124",41350,"Oak Park-Lake","03/24/2018","A",1276,"(41.886988, -87.793783)","green"
"8145",41350,"Oak Park-Lake","01/31/2018","W",1540,"(41.886988, -87.793783)","green"
"8219",41350,"Oak Park-Lake","01/15/2018","W",806,"(41.886988, -87.793783)","green"
"8716",41350,"Oak Park-Lake","02/05/2018","W",1402,"(41.886988, -87.793783)","green"
"8725",41350,"Oak Park-Lake","02/22/2018","W",1520,"(41.886988, -87.793783)","green"
"9253",41350,"Oak Park-Lake","03/11/2018","U",442,"(41.886988, -87.793783)","green"
"9498",41350,"Oak Park-Lake","03/15/2018","W",1628,"(41.886988, -87.793783)","green"
"9580",41350,"Oak Park-Lake","03/23/2018","W",1526,"(41.886988, -87.793783)","green"
"9595",41350,"Oak Park-Lake","02/11/2018","U",377,"(41.886988, -87.793783)","green"
"9742",41350,"Oak Park-Lake","03/14/2018","W",1655,"(41.886988, -87.793783)","green"
"9809",41350,"Oak Park-Lake","02/19/2018","W",1025,"(41.886988, -87.793783)","green"
"10022",41350,"Oak Park-Lake","02/16/2018","W",1477,"(41.886988, -87.793783)","green"
"10079",41350,"Oak Park-Lake","01/12/2018","W",1406,"(41.886988, -87.793783)","green"
"10154",41350,"Oak Park-Lake","03/22/2018","W",1544,"(41.886988, -87.793783)","green"
"10176",41350,"Oak Park-Lake","03/13/2018","W",1514,"(41.886988, -87.793783)","green"
"10397",41350,"Oak Park-Lake","03/29/2018","W",1507,"(41.886988, -87.793783)","green"
"10820",41350,"Oak Park-Lake","01/07/2018","U",371,"(41.886988, -87.793783)","green"
"11080",41350,"Oak Park-Lake","02/03/2018","A",596,"(41.886988, -87.793783)","green"
"11163",41350,"Oak Park-Lake","02/21/2018","W",1629,"(41.886988, -87.793783)","green"
"11279",41350,"Oak Park-Lake","03/27/2018","W",1498,"(41.886988, -87.793783)","green"
"11428",41350,"Oak Park-Lake","01/13/2018","A",559,"(41.886988, -87.793783)","green"
"11467",41350,"Oak Park-Lake","03/05/2018","W",1445,"(41.886988, -87.793783)","green"
"11483",41350,"Oak Park-Lake","01/01/2018","U",207,"(41.886988, -87.793783)","green"
"11542",41350,"Oak Park-Lake","01/06/2018","A",493,"(41.886988, -87.793783)","green"
"11543",41350,"Oak Park-Lake","02/12/2018","W",1427,"(41.886988, -87.793783)","green"
"11645",41350,"Oak Park-Lake","01/17/2018","W",1559,"(41.886988, -87.793783)","green"
"11833",41350,"Oak Park-Lake","02/23/2018","W",1455,"(41.886988, -87.793783)","green"
"11895",41350,"Oak Park-Lake","01/29/2018","W",1494,"(41.886988, -87.793783)","green"
"12050",41350,"Oak Park-Lake","03/01/2018","W",1562,"(41.886988, -87.793783)","green"
"12255",41350,"Oak Park-Lake","03/04/2018","U",466,"(41.886988, -87.793783)","green"
"12415",41350,"Oak Park-Lake","01/24/2018","W",1615,"(41.886988, -87.793783)","green"
"12469",41350,"Oak Park-Lake","02/24/2018","A",702,"(41.886988, -87.793783)","green"
"12479",41350,"Oak Park-Lake","01/04/2018","W",1321,"(41.886988, -87.793783)","green"
"12541",41350,"Oak Park-Lake","02/02/2018","W",1403,"(41.886988, -87.793783)","green"
"12816",41350,"Oak Park-Lake","02/28/2018","W",1542,"(41.886988, -87.793783)","green"
"13012",41350,"Oak Park-Lake","01/11/2018","W",1565,"(41.886988, -87.793783)","green"
"13533",41350,"Oak Park-Lake","01/22/2018","W",1444,"(41.886988, -87.793783)","green"
"13943",41350,"Oak Park-Lake","02/14/2018","W",1580,"(41.886988, -87.793783)","green"
"13947",41350,"Oak Park-Lake","03/20/2018","W",1588,"(41.886988, -87.793783)","green"
"14054",41350,"Oak Park-Lake","03/26/2018","W",1398,"(41.886988, -87.793783)","green"
"14080",41350,"Oak Park-Lake","03/07/2018","W",1528,"(41.886988, -87.793783)","green"
"14146",41350,"Oak Park-Lake","01/23/2018","W",1561,"(41.886988, -87.793783)","green"
"14219",41350,"Oak Park-Lake","03/10/2018","A",750,"(41.886988, -87.793783)","green"
"14275",41350,"Oak Park-Lake","03/16/2018","W",1527,"(41.886988, -87.793783)","green"
"14482",41350,"Oak Park-Lake","03/03/2018","A",678,"(41.886988, -87.793783)","green"
"14649",41350,"Oak Park-Lake","03/25/2018","U",532,"(41.886988, -87.793783)","green"
"14704",41350,"Oak Park-Lake","02/18/2018","U",492,"(41.886988, -87.793783)","green"
"14871",41350,"Oak Park-Lake","02/06/2018","W",1477,"(41.886988, -87.793783)","green"
"14889",41350,"Oak Park-Lake","01/25/2018","W",1569,"(41.886988, -87.793783)","green"
"14891",41350,"Oak Park-Lake","01/10/2018","W",1545,"(41.886988, -87.793783)","green"
"14984",41350,"Oak Park-Lake","01/19/2018","W",1479,"(41.886988, -87.793783)","green"
"15072",41350,"Oak Park-Lake","01/30/2018","W",1531,"(41.886988, -87.793783)","green"
"15211",41350,"Oak Park-Lake","01/14/2018","U",377,"(41.886988, -87.793783)","green"
