"","station_id","stationname","date","daytype","rides","date_ymd","month","month_char","year","day","day_of_week","loc","lineColor","X"
"133",40900,"Howard",NA,NA,4159,2017-12-29,12,"Dec",2017,29,"Friday","(42.019063, -87.672892)","000011001",NA
"158",40900,"Howard",NA,NA,2692,2017-12-31,12,"Dec",2017,31,"Sunday","(42.019063, -87.672892)","000011001",NA
"557",40900,"Howard",NA,NA,2967,2017-12-10,12,"Dec",2017,10,"Sunday","(42.019063, -87.672892)","000011001",NA
"698",40900,"Howard",NA,NA,3709,2017-12-27,12,"Dec",2017,27,"Wednesday","(42.019063, -87.672892)","000011001",NA
"952",40900,"Howard",NA,NA,3940,2017-12-28,12,"Dec",2017,28,"Thursday","(42.019063, -87.672892)","000011001",NA
"1142",40900,"Howard",NA,NA,5328,2017-12-21,12,"Dec",2017,21,"Thursday","(42.019063, -87.672892)","000011001",NA
"1202",40900,"Howard",NA,NA,2295,2017-12-24,12,"Dec",2017,24,"Sunday","(42.019063, -87.672892)","000011001",NA
"1208",40900,"Howard",NA,NA,1548,2017-12-25,12,"Dec",2017,25,"Monday","(42.019063, -87.672892)","000011001",NA
"1277",40900,"Howard",NA,NA,2882,2017-12-30,12,"Dec",2017,30,"Saturday","(42.019063, -87.672892)","000011001",NA
"1352",40900,"Howard",NA,NA,5595,2017-12-13,12,"Dec",2017,13,"Wednesday","(42.019063, -87.672892)","000011001",NA
"1393",40900,"Howard",NA,NA,6084,2017-12-01,12,"Dec",2017,1,"Friday","(42.019063, -87.672892)","000011001",NA
"1662",40900,"Howard",NA,NA,5331,2017-12-20,12,"Dec",2017,20,"Wednesday","(42.019063, -87.672892)","000011001",NA
"2105",40900,"Howard",NA,NA,5694,2017-12-05,12,"Dec",2017,5,"Tuesday","(42.019063, -87.672892)","000011001",NA
"2188",40900,"Howard",NA,NA,3472,2017-12-23,12,"Dec",2017,23,"Saturday","(42.019063, -87.672892)","000011001",NA
"2402",40900,"Howard",NA,NA,5680,2017-12-04,12,"Dec",2017,4,"Monday","(42.019063, -87.672892)","000011001",NA
"2485",40900,"Howard",NA,NA,5358,2017-12-19,12,"Dec",2017,19,"Tuesday","(42.019063, -87.672892)","000011001",NA
"2724",40900,"Howard",NA,NA,5498,2017-12-12,12,"Dec",2017,12,"Tuesday","(42.019063, -87.672892)","000011001",NA
"2780",40900,"Howard",NA,NA,5660,2017-12-08,12,"Dec",2017,8,"Friday","(42.019063, -87.672892)","000011001",NA
"3044",40900,"Howard",NA,NA,5291,2017-12-18,12,"Dec",2017,18,"Monday","(42.019063, -87.672892)","000011001",NA
"3116",40900,"Howard",NA,NA,5611,2017-12-07,12,"Dec",2017,7,"Thursday","(42.019063, -87.672892)","000011001",NA
"3251",40900,"Howard",NA,NA,3167,2017-12-03,12,"Dec",2017,3,"Sunday","(42.019063, -87.672892)","000011001",NA
"3569",40900,"Howard",NA,NA,5629,2017-12-15,12,"Dec",2017,15,"Friday","(42.019063, -87.672892)","000011001",NA
"3745",40900,"Howard",NA,NA,5628,2017-12-06,12,"Dec",2017,6,"Wednesday","(42.019063, -87.672892)","000011001",NA
"3777",40900,"Howard",NA,NA,3256,2017-12-26,12,"Dec",2017,26,"Tuesday","(42.019063, -87.672892)","000011001",NA
"3865",40900,"Howard",NA,NA,4107,2017-12-02,12,"Dec",2017,2,"Saturday","(42.019063, -87.672892)","000011001",NA
"3900",40900,"Howard",NA,NA,5433,2017-12-11,12,"Dec",2017,11,"Monday","(42.019063, -87.672892)","000011001",NA
"3964",40900,"Howard",NA,NA,5339,2017-12-22,12,"Dec",2017,22,"Friday","(42.019063, -87.672892)","000011001",NA
"4115",40900,"Howard",NA,NA,3786,2017-12-09,12,"Dec",2017,9,"Saturday","(42.019063, -87.672892)","000011001",NA
"4215",40900,"Howard",NA,NA,5621,2017-12-14,12,"Dec",2017,14,"Thursday","(42.019063, -87.672892)","000011001",NA
"4373",40900,"Howard",NA,NA,3002,2017-12-17,12,"Dec",2017,17,"Sunday","(42.019063, -87.672892)","000011001",NA
"4448",40900,"Howard",NA,NA,4255,2017-12-16,12,"Dec",2017,16,"Saturday","(42.019063, -87.672892)","000011001",NA
"4552",40900,"Howard",NA,NA,3288,2018-03-31,3,"Mar",2018,31,"Saturday","(42.019063, -87.672892)","000011001",NA
"4676",40900,"Howard",NA,NA,4547,2018-01-04,1,"Jan",2018,4,"Thursday","(42.019063, -87.672892)","000011001",NA
"4877",40900,"Howard",NA,NA,5431,2018-03-13,3,"Mar",2018,13,"Tuesday","(42.019063, -87.672892)","000011001",NA
"4894",40900,"Howard",NA,NA,5087,2018-03-28,3,"Mar",2018,28,"Wednesday","(42.019063, -87.672892)","000011001",NA
"5410",40900,"Howard",NA,NA,5103,2018-03-12,3,"Mar",2018,12,"Monday","(42.019063, -87.672892)","000011001",NA
"5614",40900,"Howard",NA,NA,4457,2018-01-03,1,"Jan",2018,3,"Wednesday","(42.019063, -87.672892)","000011001",NA
"5617",40900,"Howard",NA,NA,5320,2018-03-01,3,"Mar",2018,1,"Thursday","(42.019063, -87.672892)","000011001",NA
"5632",40900,"Howard",NA,NA,5316,2018-03-16,3,"Mar",2018,16,"Friday","(42.019063, -87.672892)","000011001",NA
"5635",40900,"Howard",NA,NA,5429,2018-02-28,2,"Feb",2018,28,"Wednesday","(42.019063, -87.672892)","000011001",NA
"5637",40900,"Howard",NA,NA,2691,2018-01-28,1,"Jan",2018,28,"Sunday","(42.019063, -87.672892)","000011001",NA
"5778",40900,"Howard",NA,NA,5736,2018-02-14,2,"Feb",2018,14,"Wednesday","(42.019063, -87.672892)","000011001",NA
"5817",40900,"Howard",NA,NA,2783,2018-03-11,3,"Mar",2018,11,"Sunday","(42.019063, -87.672892)","000011001",NA
"5926",40900,"Howard",NA,NA,3035,2018-03-18,3,"Mar",2018,18,"Sunday","(42.019063, -87.672892)","000011001",NA
"6020",40900,"Howard",NA,NA,4869,2018-01-08,1,"Jan",2018,8,"Monday","(42.019063, -87.672892)","000011001",NA
"6266",40900,"Howard",NA,NA,5458,2018-03-02,3,"Mar",2018,2,"Friday","(42.019063, -87.672892)","000011001",NA
"6310",40900,"Howard",NA,NA,5652,2018-01-25,1,"Jan",2018,25,"Thursday","(42.019063, -87.672892)","000011001",NA
"6413",40900,"Howard",NA,NA,5256,2018-01-09,1,"Jan",2018,9,"Tuesday","(42.019063, -87.672892)","000011001",NA
"6805",40900,"Howard",NA,NA,5288,2018-02-26,2,"Feb",2018,26,"Monday","(42.019063, -87.672892)","000011001",NA
"6973",40900,"Howard",NA,NA,3741,2018-03-03,3,"Mar",2018,3,"Saturday","(42.019063, -87.672892)","000011001",NA
"7113",40900,"Howard",NA,NA,3058,2018-01-06,1,"Jan",2018,6,"Saturday","(42.019063, -87.672892)","000011001",NA
"7167",40900,"Howard",NA,NA,5400,2018-03-09,3,"Mar",2018,9,"Friday","(42.019063, -87.672892)","000011001",NA
"7259",40900,"Howard",NA,NA,5602,2018-03-20,3,"Mar",2018,20,"Tuesday","(42.019063, -87.672892)","000011001",NA
"7283",40900,"Howard",NA,NA,5341,2018-01-30,1,"Jan",2018,30,"Tuesday","(42.019063, -87.672892)","000011001",NA
"7454",40900,"Howard",NA,NA,2595,2018-02-11,2,"Feb",2018,11,"Sunday","(42.019063, -87.672892)","000011001",NA
"7640",40900,"Howard",NA,NA,5404,2018-03-08,3,"Mar",2018,8,"Thursday","(42.019063, -87.672892)","000011001",NA
"7668",40900,"Howard",NA,NA,5439,2018-02-23,2,"Feb",2018,23,"Friday","(42.019063, -87.672892)","000011001",NA
"7871",40900,"Howard",NA,NA,5096,2018-02-12,2,"Feb",2018,12,"Monday","(42.019063, -87.672892)","000011001",NA
"7934",40900,"Howard",NA,NA,2723,2018-02-25,2,"Feb",2018,25,"Sunday","(42.019063, -87.672892)","000011001",NA
"8079",40900,"Howard",NA,NA,5455,2018-01-23,1,"Jan",2018,23,"Tuesday","(42.019063, -87.672892)","000011001",NA
"8125",40900,"Howard",NA,NA,5183,2018-03-05,3,"Mar",2018,5,"Monday","(42.019063, -87.672892)","000011001",NA
"8259",40900,"Howard",NA,NA,2353,2018-02-04,2,"Feb",2018,4,"Sunday","(42.019063, -87.672892)","000011001",NA
"8264",40900,"Howard",NA,NA,5301,2018-01-16,1,"Jan",2018,16,"Tuesday","(42.019063, -87.672892)","000011001",NA
"8330",40900,"Howard",NA,NA,5440,2018-01-19,1,"Jan",2018,19,"Friday","(42.019063, -87.672892)","000011001",NA
"8410",40900,"Howard",NA,NA,5246,2018-01-12,1,"Jan",2018,12,"Friday","(42.019063, -87.672892)","000011001",NA
"8590",40900,"Howard",NA,NA,3639,2018-01-27,1,"Jan",2018,27,"Saturday","(42.019063, -87.672892)","000011001",NA
"8786",40900,"Howard",NA,NA,5533,2018-01-26,1,"Jan",2018,26,"Friday","(42.019063, -87.672892)","000011001",NA
"8816",40900,"Howard",NA,NA,3290,2018-02-03,2,"Feb",2018,3,"Saturday","(42.019063, -87.672892)","000011001",NA
"8877",40900,"Howard",NA,NA,3694,2018-03-10,3,"Mar",2018,10,"Saturday","(42.019063, -87.672892)","000011001",NA
"9008",40900,"Howard",NA,NA,5521,2018-02-27,2,"Feb",2018,27,"Tuesday","(42.019063, -87.672892)","000011001",NA
"9067",40900,"Howard",NA,NA,5372,2018-01-22,1,"Jan",2018,22,"Monday","(42.019063, -87.672892)","000011001",NA
"9237",40900,"Howard",NA,NA,5449,2018-03-07,3,"Mar",2018,7,"Wednesday","(42.019063, -87.672892)","000011001",NA
"9285",40900,"Howard",NA,NA,2750,2018-03-25,3,"Mar",2018,25,"Sunday","(42.019063, -87.672892)","000011001",NA
"9309",40900,"Howard",NA,NA,5290,2018-03-23,3,"Mar",2018,23,"Friday","(42.019063, -87.672892)","000011001",NA
"10210",40900,"Howard",NA,NA,5230,2018-01-29,1,"Jan",2018,29,"Monday","(42.019063, -87.672892)","000011001",NA
"10330",40900,"Howard",NA,NA,1810,2018-01-01,1,"Jan",2018,1,"Monday","(42.019063, -87.672892)","000011001",NA
"10361",40900,"Howard",NA,NA,5437,2018-01-24,1,"Jan",2018,24,"Wednesday","(42.019063, -87.672892)","000011001",NA
"10831",40900,"Howard",NA,NA,5350,2018-01-10,1,"Jan",2018,10,"Wednesday","(42.019063, -87.672892)","000011001",NA
"10871",40900,"Howard",NA,NA,2894,2018-02-18,2,"Feb",2018,18,"Sunday","(42.019063, -87.672892)","000011001",NA
"11037",40900,"Howard",NA,NA,2471,2018-01-14,1,"Jan",2018,14,"Sunday","(42.019063, -87.672892)","000011001",NA
"11254",40900,"Howard",NA,NA,4914,2018-03-26,3,"Mar",2018,26,"Monday","(42.019063, -87.672892)","000011001",NA
"11300",40900,"Howard",NA,NA,5311,2018-03-21,3,"Mar",2018,21,"Wednesday","(42.019063, -87.672892)","000011001",NA
"11363",40900,"Howard",NA,NA,4310,2018-02-19,2,"Feb",2018,19,"Monday","(42.019063, -87.672892)","000011001",NA
"11447",40900,"Howard",NA,NA,5057,2018-02-02,2,"Feb",2018,2,"Friday","(42.019063, -87.672892)","000011001",NA
"11594",40900,"Howard",NA,NA,3930,2018-01-20,1,"Jan",2018,20,"Saturday","(42.019063, -87.672892)","000011001",NA
"11658",40900,"Howard",NA,NA,5044,2018-02-05,2,"Feb",2018,5,"Monday","(42.019063, -87.672892)","000011001",NA
"11695",40900,"Howard",NA,NA,3596,2018-02-24,2,"Feb",2018,24,"Saturday","(42.019063, -87.672892)","000011001",NA
"11730",40900,"Howard",NA,NA,4704,2018-03-30,3,"Mar",2018,30,"Friday","(42.019063, -87.672892)","000011001",NA
"11978",40900,"Howard",NA,NA,5428,2018-03-22,3,"Mar",2018,22,"Thursday","(42.019063, -87.672892)","000011001",NA
"12102",40900,"Howard",NA,NA,5509,2018-03-15,3,"Mar",2018,15,"Thursday","(42.019063, -87.672892)","000011001",NA
"12470",40900,"Howard",NA,NA,4920,2018-03-27,3,"Mar",2018,27,"Tuesday","(42.019063, -87.672892)","000011001",NA
"12546",40900,"Howard",NA,NA,2487,2018-01-07,1,"Jan",2018,7,"Sunday","(42.019063, -87.672892)","000011001",NA
