"","station_id","stationname","date","daytype","rides","date_ymd","month","month_char","year","day","day_of_week","loc","lineColor"
"79",40830,"18th","12/30/2017","A",790,2017-12-30,12,"Dec",2017,30,"Saturday","(41.857908, -87.669147)","pink"
"127",40830,"18th","12/20/2017","W",1613,2017-12-20,12,"Dec",2017,20,"Wednesday","(41.857908, -87.669147)","pink"
"228",40830,"18th","12/03/2017","U",1006,2017-12-03,12,"Dec",2017,3,"Sunday","(41.857908, -87.669147)","pink"
"239",40830,"18th","12/02/2017","A",1450,2017-12-02,12,"Dec",2017,2,"Saturday","(41.857908, -87.669147)","pink"
"439",40830,"18th","12/31/2017","U",659,2017-12-31,12,"Dec",2017,31,"Sunday","(41.857908, -87.669147)","pink"
"637",40830,"18th","12/06/2017","W",1802,2017-12-06,12,"Dec",2017,6,"Wednesday","(41.857908, -87.669147)","pink"
"865",40830,"18th","12/22/2017","W",1465,2017-12-22,12,"Dec",2017,22,"Friday","(41.857908, -87.669147)","pink"
"905",40830,"18th","12/18/2017","W",1654,2017-12-18,12,"Dec",2017,18,"Monday","(41.857908, -87.669147)","pink"
"1183",40830,"18th","12/27/2017","W",1020,2017-12-27,12,"Dec",2017,27,"Wednesday","(41.857908, -87.669147)","pink"
"1351",40830,"18th","12/10/2017","U",788,2017-12-10,12,"Dec",2017,10,"Sunday","(41.857908, -87.669147)","pink"
"1554",40830,"18th","12/09/2017","A",1150,2017-12-09,12,"Dec",2017,9,"Saturday","(41.857908, -87.669147)","pink"
"1619",40830,"18th","12/04/2017","W",1768,2017-12-04,12,"Dec",2017,4,"Monday","(41.857908, -87.669147)","pink"
"1719",40830,"18th","12/25/2017","U",320,2017-12-25,12,"Dec",2017,25,"Monday","(41.857908, -87.669147)","pink"
"1744",40830,"18th","12/12/2017","W",1683,2017-12-12,12,"Dec",2017,12,"Tuesday","(41.857908, -87.669147)","pink"
"2022",40830,"18th","12/05/2017","W",1829,2017-12-05,12,"Dec",2017,5,"Tuesday","(41.857908, -87.669147)","pink"
