"","station_id","stationname","date","daytype","rides","loc","lineColor"
"224",41330,"Montrose-O'Hare","12/21/2017","W",2522,"(41.961539, -87.743574)","blue"
"284",41330,"Montrose-O'Hare","12/03/2017","U",1052,"(41.961539, -87.743574)","blue"
"321",41330,"Montrose-O'Hare","12/13/2017","W",2758,"(41.961539, -87.743574)","blue"
"354",41330,"Montrose-O'Hare","12/20/2017","W",2567,"(41.961539, -87.743574)","blue"
"359",41330,"Montrose-O'Hare","12/10/2017","U",847,"(41.961539, -87.743574)","blue"
"369",41330,"Montrose-O'Hare","12/25/2017","U",513,"(41.961539, -87.743574)","blue"
"422",41330,"Montrose-O'Hare","12/15/2017","W",2592,"(41.961539, -87.743574)","blue"
"680",41330,"Montrose-O'Hare","12/08/2017","W",2701,"(41.961539, -87.743574)","blue"
"780",41330,"Montrose-O'Hare","12/16/2017","A",1359,"(41.961539, -87.743574)","blue"
"861",41330,"Montrose-O'Hare","12/02/2017","A",1435,"(41.961539, -87.743574)","blue"
"1300",41330,"Montrose-O'Hare","12/31/2017","U",750,"(41.961539, -87.743574)","blue"
"1319",41330,"Montrose-O'Hare","12/18/2017","W",2533,"(41.961539, -87.743574)","blue"
"1369",41330,"Montrose-O'Hare","12/23/2017","A",1182,"(41.961539, -87.743574)","blue"
"1372",41330,"Montrose-O'Hare","12/05/2017","W",2781,"(41.961539, -87.743574)","blue"
"1616",41330,"Montrose-O'Hare","12/17/2017","U",983,"(41.961539, -87.743574)","blue"
"1714",41330,"Montrose-O'Hare","12/09/2017","A",1353,"(41.961539, -87.743574)","blue"
"1750",41330,"Montrose-O'Hare","12/29/2017","W",1629,"(41.961539, -87.743574)","blue"
"2020",41330,"Montrose-O'Hare","12/28/2017","W",1714,"(41.961539, -87.743574)","blue"
"2209",41330,"Montrose-O'Hare","12/22/2017","W",2318,"(41.961539, -87.743574)","blue"
"2225",41330,"Montrose-O'Hare","12/11/2017","W",2709,"(41.961539, -87.743574)","blue"
"2749",41330,"Montrose-O'Hare","12/01/2017","W",2836,"(41.961539, -87.743574)","blue"
"2882",41330,"Montrose-O'Hare","12/04/2017","W",2820,"(41.961539, -87.743574)","blue"
"2946",41330,"Montrose-O'Hare","12/30/2017","A",903,"(41.961539, -87.743574)","blue"
"2998",41330,"Montrose-O'Hare","12/06/2017","W",2872,"(41.961539, -87.743574)","blue"
"3123",41330,"Montrose-O'Hare","12/27/2017","W",1599,"(41.961539, -87.743574)","blue"
"3327",41330,"Montrose-O'Hare","12/12/2017","W",2681,"(41.961539, -87.743574)","blue"
"3411",41330,"Montrose-O'Hare","12/14/2017","W",2777,"(41.961539, -87.743574)","blue"
"3651",41330,"Montrose-O'Hare","12/24/2017","U",826,"(41.961539, -87.743574)","blue"
"3798",41330,"Montrose-O'Hare","12/26/2017","W",1302,"(41.961539, -87.743574)","blue"
"3825",41330,"Montrose-O'Hare","12/07/2017","W",2935,"(41.961539, -87.743574)","blue"
"3895",41330,"Montrose-O'Hare","12/19/2017","W",2565,"(41.961539, -87.743574)","blue"
"4566",41330,"Montrose-O'Hare","02/01/2018","W",2660,"(41.961539, -87.743574)","blue"
"4667",41330,"Montrose-O'Hare","03/23/2018","W",2557,"(41.961539, -87.743574)","blue"
"4678",41330,"Montrose-O'Hare","02/07/2018","W",2760,"(41.961539, -87.743574)","blue"
"4756",41330,"Montrose-O'Hare","03/17/2018","A",1847,"(41.961539, -87.743574)","blue"
"4971",41330,"Montrose-O'Hare","01/03/2018","W",2178,"(41.961539, -87.743574)","blue"
"5047",41330,"Montrose-O'Hare","03/04/2018","U",845,"(41.961539, -87.743574)","blue"
"5182",41330,"Montrose-O'Hare","03/20/2018","W",2747,"(41.961539, -87.743574)","blue"
"5197",41330,"Montrose-O'Hare","03/18/2018","U",915,"(41.961539, -87.743574)","blue"
"5960",41330,"Montrose-O'Hare","01/19/2018","W",2531,"(41.961539, -87.743574)","blue"
"6265",41330,"Montrose-O'Hare","02/28/2018","W",2767,"(41.961539, -87.743574)","blue"
"6302",41330,"Montrose-O'Hare","03/28/2018","W",2535,"(41.961539, -87.743574)","blue"
"6479",41330,"Montrose-O'Hare","03/30/2018","W",1989,"(41.961539, -87.743574)","blue"
"6641",41330,"Montrose-O'Hare","01/13/2018","A",1060,"(41.961539, -87.743574)","blue"
"6801",41330,"Montrose-O'Hare","02/10/2018","A",1018,"(41.961539, -87.743574)","blue"
"7121",41330,"Montrose-O'Hare","01/18/2018","W",2733,"(41.961539, -87.743574)","blue"
"7493",41330,"Montrose-O'Hare","03/09/2018","W",2519,"(41.961539, -87.743574)","blue"
"7584",41330,"Montrose-O'Hare","02/13/2018","W",2673,"(41.961539, -87.743574)","blue"
"7641",41330,"Montrose-O'Hare","02/08/2018","W",2655,"(41.961539, -87.743574)","blue"
"7681",41330,"Montrose-O'Hare","02/19/2018","W",1865,"(41.961539, -87.743574)","blue"
"7737",41330,"Montrose-O'Hare","01/28/2018","U",847,"(41.961539, -87.743574)","blue"
"7745",41330,"Montrose-O'Hare","01/25/2018","W",2748,"(41.961539, -87.743574)","blue"
"7873",41330,"Montrose-O'Hare","01/10/2018","W",2605,"(41.961539, -87.743574)","blue"
"9045",41330,"Montrose-O'Hare","01/01/2018","U",658,"(41.961539, -87.743574)","blue"
"9203",41330,"Montrose-O'Hare","01/11/2018","W",2467,"(41.961539, -87.743574)","blue"
"9215",41330,"Montrose-O'Hare","02/22/2018","W",2752,"(41.961539, -87.743574)","blue"
"9679",41330,"Montrose-O'Hare","03/14/2018","W",2803,"(41.961539, -87.743574)","blue"
"9707",41330,"Montrose-O'Hare","03/13/2018","W",2718,"(41.961539, -87.743574)","blue"
"9963",41330,"Montrose-O'Hare","03/31/2018","A",1036,"(41.961539, -87.743574)","blue"
"10178",41330,"Montrose-O'Hare","01/24/2018","W",2740,"(41.961539, -87.743574)","blue"
"10185",41330,"Montrose-O'Hare","01/16/2018","W",2631,"(41.961539, -87.743574)","blue"
"10268",41330,"Montrose-O'Hare","03/10/2018","A",1206,"(41.961539, -87.743574)","blue"
"10379",41330,"Montrose-O'Hare","02/09/2018","W",1714,"(41.961539, -87.743574)","blue"
"10408",41330,"Montrose-O'Hare","02/04/2018","U",739,"(41.961539, -87.743574)","blue"
"10562",41330,"Montrose-O'Hare","02/27/2018","W",2806,"(41.961539, -87.743574)","blue"
"10675",41330,"Montrose-O'Hare","01/06/2018","A",949,"(41.961539, -87.743574)","blue"
"10726",41330,"Montrose-O'Hare","02/18/2018","U",844,"(41.961539, -87.743574)","blue"
"10980",41330,"Montrose-O'Hare","02/05/2018","W",2543,"(41.961539, -87.743574)","blue"
"11019",41330,"Montrose-O'Hare","01/02/2018","W",1734,"(41.961539, -87.743574)","blue"
"11355",41330,"Montrose-O'Hare","02/03/2018","A",1081,"(41.961539, -87.743574)","blue"
"11391",41330,"Montrose-O'Hare","02/25/2018","U",833,"(41.961539, -87.743574)","blue"
"11503",41330,"Montrose-O'Hare","01/12/2018","W",2394,"(41.961539, -87.743574)","blue"
"11548",41330,"Montrose-O'Hare","03/15/2018","W",2813,"(41.961539, -87.743574)","blue"
"11597",41330,"Montrose-O'Hare","03/07/2018","W",2767,"(41.961539, -87.743574)","blue"
"11850",41330,"Montrose-O'Hare","01/08/2018","W",2358,"(41.961539, -87.743574)","blue"
"11851",41330,"Montrose-O'Hare","01/21/2018","U",840,"(41.961539, -87.743574)","blue"
"11857",41330,"Montrose-O'Hare","03/24/2018","A",1208,"(41.961539, -87.743574)","blue"
"12001",41330,"Montrose-O'Hare","01/27/2018","A",1240,"(41.961539, -87.743574)","blue"
"12033",41330,"Montrose-O'Hare","02/06/2018","W",2599,"(41.961539, -87.743574)","blue"
"12056",41330,"Montrose-O'Hare","03/05/2018","W",2547,"(41.961539, -87.743574)","blue"
"12223",41330,"Montrose-O'Hare","03/12/2018","W",2647,"(41.961539, -87.743574)","blue"
"12243",41330,"Montrose-O'Hare","01/07/2018","U",829,"(41.961539, -87.743574)","blue"
"12247",41330,"Montrose-O'Hare","02/26/2018","W",2735,"(41.961539, -87.743574)","blue"
"12314",41330,"Montrose-O'Hare","02/17/2018","A",1195,"(41.961539, -87.743574)","blue"
"12333",41330,"Montrose-O'Hare","01/17/2018","W",2724,"(41.961539, -87.743574)","blue"
"12375",41330,"Montrose-O'Hare","03/03/2018","A",1232,"(41.961539, -87.743574)","blue"
"12394",41330,"Montrose-O'Hare","01/31/2018","W",2754,"(41.961539, -87.743574)","blue"
"12528",41330,"Montrose-O'Hare","03/21/2018","W",2838,"(41.961539, -87.743574)","blue"
"12534",41330,"Montrose-O'Hare","01/22/2018","W",2627,"(41.961539, -87.743574)","blue"
"12668",41330,"Montrose-O'Hare","02/02/2018","W",2336,"(41.961539, -87.743574)","blue"
"12932",41330,"Montrose-O'Hare","01/30/2018","W",2645,"(41.961539, -87.743574)","blue"
"13134",41330,"Montrose-O'Hare","02/24/2018","A",1184,"(41.961539, -87.743574)","blue"
