"","station_id","stationname","date","daytype","rides","date_ymd","month","month_char","year","day","day_of_week","loc","lineColor"
"44",40290,"Ashland/63rd","12/06/2017","W",1177,2017-12-06,12,"Dec",2017,6,"Wednesday","(41.77886, -87.663766)","green"
"379",40290,"Ashland/63rd","12/24/2017","U",509,2017-12-24,12,"Dec",2017,24,"Sunday","(41.77886, -87.663766)","green"
"498",40290,"Ashland/63rd","12/09/2017","A",626,2017-12-09,12,"Dec",2017,9,"Saturday","(41.77886, -87.663766)","green"
"1287",40290,"Ashland/63rd","12/10/2017","U",543,2017-12-10,12,"Dec",2017,10,"Sunday","(41.77886, -87.663766)","green"
"1366",40290,"Ashland/63rd","12/29/2017","W",860,2017-12-29,12,"Dec",2017,29,"Friday","(41.77886, -87.663766)","green"
"1457",40290,"Ashland/63rd","12/27/2017","W",796,2017-12-27,12,"Dec",2017,27,"Wednesday","(41.77886, -87.663766)","green"
"1472",40290,"Ashland/63rd","12/14/2017","W",1153,2017-12-14,12,"Dec",2017,14,"Thursday","(41.77886, -87.663766)","green"
"1589",40290,"Ashland/63rd","12/02/2017","A",800,2017-12-02,12,"Dec",2017,2,"Saturday","(41.77886, -87.663766)","green"
"1656",40290,"Ashland/63rd","12/23/2017","A",705,2017-12-23,12,"Dec",2017,23,"Saturday","(41.77886, -87.663766)","green"
"1695",40290,"Ashland/63rd","12/05/2017","W",1163,2017-12-05,12,"Dec",2017,5,"Tuesday","(41.77886, -87.663766)","green"
"1923",40290,"Ashland/63rd","12/19/2017","W",1208,2017-12-19,12,"Dec",2017,19,"Tuesday","(41.77886, -87.663766)","green"
"1948",40290,"Ashland/63rd","12/11/2017","W",1130,2017-12-11,12,"Dec",2017,11,"Monday","(41.77886, -87.663766)","green"
"1953",40290,"Ashland/63rd","12/30/2017","A",561,2017-12-30,12,"Dec",2017,30,"Saturday","(41.77886, -87.663766)","green"
"2016",40290,"Ashland/63rd","12/17/2017","U",542,2017-12-17,12,"Dec",2017,17,"Sunday","(41.77886, -87.663766)","green"
"2186",40290,"Ashland/63rd","12/08/2017","W",1198,2017-12-08,12,"Dec",2017,8,"Friday","(41.77886, -87.663766)","green"
"2339",40290,"Ashland/63rd","12/15/2017","W",1111,2017-12-15,12,"Dec",2017,15,"Friday","(41.77886, -87.663766)","green"
"2543",40290,"Ashland/63rd","12/07/2017","W",1154,2017-12-07,12,"Dec",2017,7,"Thursday","(41.77886, -87.663766)","green"
"2554",40290,"Ashland/63rd","12/03/2017","U",602,2017-12-03,12,"Dec",2017,3,"Sunday","(41.77886, -87.663766)","green"
"2591",40290,"Ashland/63rd","12/04/2017","W",1233,2017-12-04,12,"Dec",2017,4,"Monday","(41.77886, -87.663766)","green"
