"","station_id","stationname","date","daytype","rides","date_ymd","month","month_char","year","day","day_of_week","loc","lineColor","X"
"42",40800,"Sedgwick",NA,NA,3825,2017-12-11,12,"Dec",2017,11,"Monday","(41.910409, -87.639302)","000101000",NA
"88",40800,"Sedgwick",NA,NA,3878,2017-12-04,12,"Dec",2017,4,"Monday","(41.910409, -87.639302)","000101000",NA
"229",40800,"Sedgwick",NA,NA,2278,2017-12-16,12,"Dec",2017,16,"Saturday","(41.910409, -87.639302)","000101000",NA
"388",40800,"Sedgwick",NA,NA,3613,2017-12-20,12,"Dec",2017,20,"Wednesday","(41.910409, -87.639302)","000101000",NA
"675",40800,"Sedgwick",NA,NA,3759,2017-12-14,12,"Dec",2017,14,"Thursday","(41.910409, -87.639302)","000101000",NA
"804",40800,"Sedgwick",NA,NA,2248,2017-12-09,12,"Dec",2017,9,"Saturday","(41.910409, -87.639302)","000101000",NA
"871",40800,"Sedgwick",NA,NA,2780,2017-12-22,12,"Dec",2017,22,"Friday","(41.910409, -87.639302)","000101000",NA
"923",40800,"Sedgwick",NA,NA,1129,2017-12-30,12,"Dec",2017,30,"Saturday","(41.910409, -87.639302)","000101000",NA
"992",40800,"Sedgwick",NA,NA,3447,2017-12-21,12,"Dec",2017,21,"Thursday","(41.910409, -87.639302)","000101000",NA
"1149",40800,"Sedgwick",NA,NA,3935,2017-12-06,12,"Dec",2017,6,"Wednesday","(41.910409, -87.639302)","000101000",NA
"1401",40800,"Sedgwick",NA,NA,1095,2017-12-26,12,"Dec",2017,26,"Tuesday","(41.910409, -87.639302)","000101000",NA
"1968",40800,"Sedgwick",NA,NA,3688,2017-12-12,12,"Dec",2017,12,"Tuesday","(41.910409, -87.639302)","000101000",NA
"2006",40800,"Sedgwick",NA,NA,1625,2017-12-17,12,"Dec",2017,17,"Sunday","(41.910409, -87.639302)","000101000",NA
"2038",40800,"Sedgwick",NA,NA,3848,2017-12-05,12,"Dec",2017,5,"Tuesday","(41.910409, -87.639302)","000101000",NA
"2073",40800,"Sedgwick",NA,NA,3812,2017-12-15,12,"Dec",2017,15,"Friday","(41.910409, -87.639302)","000101000",NA
"2099",40800,"Sedgwick",NA,NA,1019,2017-12-31,12,"Dec",2017,31,"Sunday","(41.910409, -87.639302)","000101000",NA
"2161",40800,"Sedgwick",NA,NA,418,2017-12-25,12,"Dec",2017,25,"Monday","(41.910409, -87.639302)","000101000",NA
"2178",40800,"Sedgwick",NA,NA,1636,2017-12-10,12,"Dec",2017,10,"Sunday","(41.910409, -87.639302)","000101000",NA
"2336",40800,"Sedgwick",NA,NA,1887,2017-12-03,12,"Dec",2017,3,"Sunday","(41.910409, -87.639302)","000101000",NA
