"","station_id","stationname","date","daytype","rides","date_ymd","month","month_char","year","day","day_of_week","loc","lineColor","X"
"132",40700,"Laramie",NA,NA,1233,2017-12-01,12,"Dec",2017,1,"Friday","(41.887163, -87.754986)","001000000",NA
"361",40700,"Laramie",NA,NA,1224,2017-12-19,12,"Dec",2017,19,"Tuesday","(41.887163, -87.754986)","001000000",NA
"602",40700,"Laramie",NA,NA,1211,2017-12-05,12,"Dec",2017,5,"Tuesday","(41.887163, -87.754986)","001000000",NA
"798",40700,"Laramie",NA,NA,1131,2017-12-12,12,"Dec",2017,12,"Tuesday","(41.887163, -87.754986)","001000000",NA
"866",40700,"Laramie",NA,NA,728,2017-12-27,12,"Dec",2017,27,"Wednesday","(41.887163, -87.754986)","001000000",NA
"948",40700,"Laramie",NA,NA,465,2017-12-31,12,"Dec",2017,31,"Sunday","(41.887163, -87.754986)","001000000",NA
"977",40700,"Laramie",NA,NA,557,2017-12-03,12,"Dec",2017,3,"Sunday","(41.887163, -87.754986)","001000000",NA
"1041",40700,"Laramie",NA,NA,580,2017-12-17,12,"Dec",2017,17,"Sunday","(41.887163, -87.754986)","001000000",NA
"1175",40700,"Laramie",NA,NA,1192,2017-12-14,12,"Dec",2017,14,"Thursday","(41.887163, -87.754986)","001000000",NA
"1257",40700,"Laramie",NA,NA,675,2017-12-26,12,"Dec",2017,26,"Tuesday","(41.887163, -87.754986)","001000000",NA
"1435",40700,"Laramie",NA,NA,553,2017-12-30,12,"Dec",2017,30,"Saturday","(41.887163, -87.754986)","001000000",NA
"1494",40700,"Laramie",NA,NA,772,2017-12-28,12,"Dec",2017,28,"Thursday","(41.887163, -87.754986)","001000000",NA
"1642",40700,"Laramie",NA,NA,1181,2017-12-13,12,"Dec",2017,13,"Wednesday","(41.887163, -87.754986)","001000000",NA
"1707",40700,"Laramie",NA,NA,1232,2017-12-04,12,"Dec",2017,4,"Monday","(41.887163, -87.754986)","001000000",NA
"1757",40700,"Laramie",NA,NA,1118,2017-12-20,12,"Dec",2017,20,"Wednesday","(41.887163, -87.754986)","001000000",NA
"1845",40700,"Laramie",NA,NA,708,2017-12-23,12,"Dec",2017,23,"Saturday","(41.887163, -87.754986)","001000000",NA
"2023",40700,"Laramie",NA,NA,347,2017-12-25,12,"Dec",2017,25,"Monday","(41.887163, -87.754986)","001000000",NA
"2371",40700,"Laramie",NA,NA,1101,2017-12-11,12,"Dec",2017,11,"Monday","(41.887163, -87.754986)","001000000",NA
"2574",40700,"Laramie",NA,NA,1125,2017-12-22,12,"Dec",2017,22,"Friday","(41.887163, -87.754986)","001000000",NA
"2793",40700,"Laramie",NA,NA,1138,2017-12-07,12,"Dec",2017,7,"Thursday","(41.887163, -87.754986)","001000000",NA
"3147",40700,"Laramie",NA,NA,847,2017-12-29,12,"Dec",2017,29,"Friday","(41.887163, -87.754986)","001000000",NA
"3228",40700,"Laramie",NA,NA,540,2017-12-10,12,"Dec",2017,10,"Sunday","(41.887163, -87.754986)","001000000",NA
"3254",40700,"Laramie",NA,NA,829,2017-12-02,12,"Dec",2017,2,"Saturday","(41.887163, -87.754986)","001000000",NA
"3316",40700,"Laramie",NA,NA,1123,2017-12-18,12,"Dec",2017,18,"Monday","(41.887163, -87.754986)","001000000",NA
"3402",40700,"Laramie",NA,NA,732,2017-12-16,12,"Dec",2017,16,"Saturday","(41.887163, -87.754986)","001000000",NA
"3580",40700,"Laramie",NA,NA,1266,2017-12-06,12,"Dec",2017,6,"Wednesday","(41.887163, -87.754986)","001000000",NA
"3655",40700,"Laramie",NA,NA,1176,2017-12-15,12,"Dec",2017,15,"Friday","(41.887163, -87.754986)","001000000",NA
"3670",40700,"Laramie",NA,NA,652,2017-12-09,12,"Dec",2017,9,"Saturday","(41.887163, -87.754986)","001000000",NA
"4033",40700,"Laramie",NA,NA,1186,2017-12-08,12,"Dec",2017,8,"Friday","(41.887163, -87.754986)","001000000",NA
"4149",40700,"Laramie",NA,NA,1145,2017-12-21,12,"Dec",2017,21,"Thursday","(41.887163, -87.754986)","001000000",NA
"4485",40700,"Laramie",NA,NA,444,2017-12-24,12,"Dec",2017,24,"Sunday","(41.887163, -87.754986)","001000000",NA
"4780",40700,"Laramie",NA,NA,1142,2018-01-29,1,"Jan",2018,29,"Monday","(41.887163, -87.754986)","001000000",NA
"4949",40700,"Laramie",NA,NA,1140,2018-01-23,1,"Jan",2018,23,"Tuesday","(41.887163, -87.754986)","001000000",NA
"5053",40700,"Laramie",NA,NA,1145,2018-01-18,1,"Jan",2018,18,"Thursday","(41.887163, -87.754986)","001000000",NA
"5216",40700,"Laramie",NA,NA,747,2018-02-24,2,"Feb",2018,24,"Saturday","(41.887163, -87.754986)","001000000",NA
"5431",40700,"Laramie",NA,NA,1002,2018-03-27,3,"Mar",2018,27,"Tuesday","(41.887163, -87.754986)","001000000",NA
"5464",40700,"Laramie",NA,NA,1124,2018-02-20,2,"Feb",2018,20,"Tuesday","(41.887163, -87.754986)","001000000",NA
"5538",40700,"Laramie",NA,NA,500,2018-01-28,1,"Jan",2018,28,"Sunday","(41.887163, -87.754986)","001000000",NA
"5589",40700,"Laramie",NA,NA,691,2018-03-03,3,"Mar",2018,3,"Saturday","(41.887163, -87.754986)","001000000",NA
"5606",40700,"Laramie",NA,NA,585,2018-01-13,1,"Jan",2018,13,"Saturday","(41.887163, -87.754986)","001000000",NA
"5611",40700,"Laramie",NA,NA,845,2018-01-05,1,"Jan",2018,5,"Friday","(41.887163, -87.754986)","001000000",NA
"5821",40700,"Laramie",NA,NA,826,2018-02-19,2,"Feb",2018,19,"Monday","(41.887163, -87.754986)","001000000",NA
"6011",40700,"Laramie",NA,NA,417,2018-02-11,2,"Feb",2018,11,"Sunday","(41.887163, -87.754986)","001000000",NA
"6088",40700,"Laramie",NA,NA,714,2018-01-02,1,"Jan",2018,2,"Tuesday","(41.887163, -87.754986)","001000000",NA
"6153",40700,"Laramie",NA,NA,1162,2018-01-10,1,"Jan",2018,10,"Wednesday","(41.887163, -87.754986)","001000000",NA
"6295",40700,"Laramie",NA,NA,1226,2018-02-15,2,"Feb",2018,15,"Thursday","(41.887163, -87.754986)","001000000",NA
"6611",40700,"Laramie",NA,NA,984,2018-03-26,3,"Mar",2018,26,"Monday","(41.887163, -87.754986)","001000000",NA
"6811",40700,"Laramie",NA,NA,508,2018-03-18,3,"Mar",2018,18,"Sunday","(41.887163, -87.754986)","001000000",NA
"6949",40700,"Laramie",NA,NA,1151,2018-01-30,1,"Jan",2018,30,"Tuesday","(41.887163, -87.754986)","001000000",NA
