"","station_id","stationname","date","daytype","rides","loc","lineColor"
"64",41460,"Irving Park-Brown","12/07/2017","W",3459,"(41.954521, -87.674868)","brown"
"66",41460,"Irving Park-Brown","12/24/2017","U",460,"(41.954521, -87.674868)","brown"
"90",41460,"Irving Park-Brown","12/27/2017","W",1608,"(41.954521, -87.674868)","brown"
"213",41460,"Irving Park-Brown","12/23/2017","A",1018,"(41.954521, -87.674868)","brown"
"250",41460,"Irving Park-Brown","12/04/2017","W",3312,"(41.954521, -87.674868)","brown"
"464",41460,"Irving Park-Brown","12/16/2017","A",1793,"(41.954521, -87.674868)","brown"
"479",41460,"Irving Park-Brown","12/02/2017","A",1995,"(41.954521, -87.674868)","brown"
"564",41460,"Irving Park-Brown","12/13/2017","W",3481,"(41.954521, -87.674868)","brown"
"816",41460,"Irving Park-Brown","12/03/2017","U",1166,"(41.954521, -87.674868)","brown"
"898",41460,"Irving Park-Brown","12/28/2017","W",1908,"(41.954521, -87.674868)","brown"
"1083",41460,"Irving Park-Brown","12/05/2017","W",3347,"(41.954521, -87.674868)","brown"
"1224",41460,"Irving Park-Brown","12/22/2017","W",2602,"(41.954521, -87.674868)","brown"
"1411",41460,"Irving Park-Brown","12/20/2017","W",3237,"(41.954521, -87.674868)","brown"
"1497",41460,"Irving Park-Brown","12/08/2017","W",3440,"(41.954521, -87.674868)","brown"
"1827",41460,"Irving Park-Brown","12/29/2017","W",1809,"(41.954521, -87.674868)","brown"
"2231",41460,"Irving Park-Brown","12/26/2017","W",1019,"(41.954521, -87.674868)","brown"
"2951",41460,"Irving Park-Brown","12/11/2017","W",3274,"(41.954521, -87.674868)","brown"
"3050",41460,"Irving Park-Brown","12/14/2017","W",3414,"(41.954521, -87.674868)","brown"
"3154",41460,"Irving Park-Brown","12/01/2017","W",3579,"(41.954521, -87.674868)","brown"
"3209",41460,"Irving Park-Brown","12/15/2017","W",3199,"(41.954521, -87.674868)","brown"
"3478",41460,"Irving Park-Brown","12/10/2017","U",1122,"(41.954521, -87.674868)","brown"
"3483",41460,"Irving Park-Brown","12/18/2017","W",3158,"(41.954521, -87.674868)","brown"
