"","station_id","stationname","date","daytype","rides","date_ymd","month","month_char","year","day","day_of_week","loc","lineColor","X"
"5",40690,"Dempster",NA,NA,499,2017-12-03,12,"Dec",2017,3,"Sunday","(42.041655, -87.681602)","000011000",NA
"25",40690,"Dempster",NA,NA,326,2017-12-24,12,"Dec",2017,24,"Sunday","(42.041655, -87.681602)","000011000",NA
"53",40690,"Dempster",NA,NA,696,2017-12-18,12,"Dec",2017,18,"Monday","(42.041655, -87.681602)","000011000",NA
"91",40690,"Dempster",NA,NA,863,2017-12-06,12,"Dec",2017,6,"Wednesday","(42.041655, -87.681602)","000011000",NA
"207",40690,"Dempster",NA,NA,884,2017-12-08,12,"Dec",2017,8,"Friday","(42.041655, -87.681602)","000011000",NA
"287",40690,"Dempster",NA,NA,773,2017-12-21,12,"Dec",2017,21,"Thursday","(42.041655, -87.681602)","000011000",NA
"340",40690,"Dempster",NA,NA,349,2017-12-26,12,"Dec",2017,26,"Tuesday","(42.041655, -87.681602)","000011000",NA
"358",40690,"Dempster",NA,NA,846,2017-12-13,12,"Dec",2017,13,"Wednesday","(42.041655, -87.681602)","000011000",NA
"681",40690,"Dempster",NA,NA,701,2017-12-22,12,"Dec",2017,22,"Friday","(42.041655, -87.681602)","000011000",NA
"713",40690,"Dempster",NA,NA,805,2017-12-05,12,"Dec",2017,5,"Tuesday","(42.041655, -87.681602)","000011000",NA
"727",40690,"Dempster",NA,NA,430,2017-12-31,12,"Dec",2017,31,"Sunday","(42.041655, -87.681602)","000011000",NA
"1109",40690,"Dempster",NA,NA,672,2017-12-09,12,"Dec",2017,9,"Saturday","(42.041655, -87.681602)","000011000",NA
"1260",40690,"Dempster",NA,NA,452,2017-12-23,12,"Dec",2017,23,"Saturday","(42.041655, -87.681602)","000011000",NA
"1328",40690,"Dempster",NA,NA,498,2017-12-10,12,"Dec",2017,10,"Sunday","(42.041655, -87.681602)","000011000",NA
"1475",40690,"Dempster",NA,NA,461,2017-12-17,12,"Dec",2017,17,"Sunday","(42.041655, -87.681602)","000011000",NA
"1523",40690,"Dempster",NA,NA,764,2017-12-19,12,"Dec",2017,19,"Tuesday","(42.041655, -87.681602)","000011000",NA
"1774",40690,"Dempster",NA,NA,851,2017-12-15,12,"Dec",2017,15,"Friday","(42.041655, -87.681602)","000011000",NA
"1778",40690,"Dempster",NA,NA,821,2017-12-04,12,"Dec",2017,4,"Monday","(42.041655, -87.681602)","000011000",NA
"1854",40690,"Dempster",NA,NA,134,2017-12-25,12,"Dec",2017,25,"Monday","(42.041655, -87.681602)","000011000",NA
"2068",40690,"Dempster",NA,NA,665,2017-12-02,12,"Dec",2017,2,"Saturday","(42.041655, -87.681602)","000011000",NA
"2331",40690,"Dempster",NA,NA,778,2017-12-20,12,"Dec",2017,20,"Wednesday","(42.041655, -87.681602)","000011000",NA
"2711",40690,"Dempster",NA,NA,865,2017-12-07,12,"Dec",2017,7,"Thursday","(42.041655, -87.681602)","000011000",NA
"2762",40690,"Dempster",NA,NA,780,2017-12-12,12,"Dec",2017,12,"Tuesday","(42.041655, -87.681602)","000011000",NA
"2830",40690,"Dempster",NA,NA,695,2017-12-16,12,"Dec",2017,16,"Saturday","(42.041655, -87.681602)","000011000",NA
"3458",40690,"Dempster",NA,NA,470,2017-12-28,12,"Dec",2017,28,"Thursday","(42.041655, -87.681602)","000011000",NA
"3466",40690,"Dempster",NA,NA,400,2017-12-30,12,"Dec",2017,30,"Saturday","(42.041655, -87.681602)","000011000",NA
"3605",40690,"Dempster",NA,NA,761,2017-12-11,12,"Dec",2017,11,"Monday","(42.041655, -87.681602)","000011000",NA
"3640",40690,"Dempster",NA,NA,881,2017-12-01,12,"Dec",2017,1,"Friday","(42.041655, -87.681602)","000011000",NA
"3797",40690,"Dempster",NA,NA,817,2017-12-14,12,"Dec",2017,14,"Thursday","(42.041655, -87.681602)","000011000",NA
"4172",40690,"Dempster",NA,NA,523,2017-12-29,12,"Dec",2017,29,"Friday","(42.041655, -87.681602)","000011000",NA
"4481",40690,"Dempster",NA,NA,478,2017-12-27,12,"Dec",2017,27,"Wednesday","(42.041655, -87.681602)","000011000",NA
"4574",40690,"Dempster",NA,NA,773,2018-02-20,2,"Feb",2018,20,"Tuesday","(42.041655, -87.681602)","000011000",NA
"4816",40690,"Dempster",NA,NA,769,2018-03-27,3,"Mar",2018,27,"Tuesday","(42.041655, -87.681602)","000011000",NA
"4930",40690,"Dempster",NA,NA,529,2018-03-25,3,"Mar",2018,25,"Sunday","(42.041655, -87.681602)","000011000",NA
"5073",40690,"Dempster",NA,NA,757,2018-01-16,1,"Jan",2018,16,"Tuesday","(42.041655, -87.681602)","000011000",NA
"5118",40690,"Dempster",NA,NA,483,2018-03-11,3,"Mar",2018,11,"Sunday","(42.041655, -87.681602)","000011000",NA
"5163",40690,"Dempster",NA,NA,770,2018-02-12,2,"Feb",2018,12,"Monday","(42.041655, -87.681602)","000011000",NA
"5164",40690,"Dempster",NA,NA,480,2018-01-28,1,"Jan",2018,28,"Sunday","(42.041655, -87.681602)","000011000",NA
"5344",40690,"Dempster",NA,NA,783,2018-02-26,2,"Feb",2018,26,"Monday","(42.041655, -87.681602)","000011000",NA
"5429",40690,"Dempster",NA,NA,455,2018-01-07,1,"Jan",2018,7,"Sunday","(42.041655, -87.681602)","000011000",NA
"5438",40690,"Dempster",NA,NA,853,2018-03-21,3,"Mar",2018,21,"Wednesday","(42.041655, -87.681602)","000011000",NA
"5569",40690,"Dempster",NA,NA,818,2018-02-02,2,"Feb",2018,2,"Friday","(42.041655, -87.681602)","000011000",NA
"5669",40690,"Dempster",NA,NA,906,2018-01-26,1,"Jan",2018,26,"Friday","(42.041655, -87.681602)","000011000",NA
"5679",40690,"Dempster",NA,NA,584,2018-01-15,1,"Jan",2018,15,"Monday","(42.041655, -87.681602)","000011000",NA
"5684",40690,"Dempster",NA,NA,831,2018-02-22,2,"Feb",2018,22,"Thursday","(42.041655, -87.681602)","000011000",NA
"5807",40690,"Dempster",NA,NA,800,2018-03-13,3,"Mar",2018,13,"Tuesday","(42.041655, -87.681602)","000011000",NA
"5873",40690,"Dempster",NA,NA,246,2018-01-01,1,"Jan",2018,1,"Monday","(42.041655, -87.681602)","000011000",NA
"5916",40690,"Dempster",NA,NA,803,2018-01-25,1,"Jan",2018,25,"Thursday","(42.041655, -87.681602)","000011000",NA
