"","station_id","stationname","date","daytype","rides","date_ymd","month","month_char","year","day","day_of_week","loc","lineColor","X"
"87",41150,"Kedzie-Midway",NA,NA,2150,2017-12-02,12,"Dec",2017,2,"Saturday","(41.804236, -87.704406)","000000010",NA
"120",41150,"Kedzie-Midway",NA,NA,484,2017-12-25,12,"Dec",2017,25,"Monday","(41.804236, -87.704406)","000000010",NA
"655",41150,"Kedzie-Midway",NA,NA,1539,2017-12-03,12,"Dec",2017,3,"Sunday","(41.804236, -87.704406)","000000010",NA
"667",41150,"Kedzie-Midway",NA,NA,3707,2017-12-07,12,"Dec",2017,7,"Thursday","(41.804236, -87.704406)","000000010",NA
"884",41150,"Kedzie-Midway",NA,NA,1269,2017-12-30,12,"Dec",2017,30,"Saturday","(41.804236, -87.704406)","000000010",NA
"1129",41150,"Kedzie-Midway",NA,NA,3481,2017-12-12,12,"Dec",2017,12,"Tuesday","(41.804236, -87.704406)","000000010",NA
"1708",41150,"Kedzie-Midway",NA,NA,3205,2017-12-22,12,"Dec",2017,22,"Friday","(41.804236, -87.704406)","000000010",NA
"1731",41150,"Kedzie-Midway",NA,NA,3564,2017-12-14,12,"Dec",2017,14,"Thursday","(41.804236, -87.704406)","000000010",NA
"1832",41150,"Kedzie-Midway",NA,NA,3340,2017-12-20,12,"Dec",2017,20,"Wednesday","(41.804236, -87.704406)","000000010",NA
"1870",41150,"Kedzie-Midway",NA,NA,1808,2017-12-09,12,"Dec",2017,9,"Saturday","(41.804236, -87.704406)","000000010",NA
"1957",41150,"Kedzie-Midway",NA,NA,3488,2017-12-11,12,"Dec",2017,11,"Monday","(41.804236, -87.704406)","000000010",NA
"2012",41150,"Kedzie-Midway",NA,NA,3750,2017-12-05,12,"Dec",2017,5,"Tuesday","(41.804236, -87.704406)","000000010",NA
"2014",41150,"Kedzie-Midway",NA,NA,912,2017-12-31,12,"Dec",2017,31,"Sunday","(41.804236, -87.704406)","000000010",NA
"2380",41150,"Kedzie-Midway",NA,NA,3813,2017-12-01,12,"Dec",2017,1,"Friday","(41.804236, -87.704406)","000000010",NA
"2418",41150,"Kedzie-Midway",NA,NA,933,2017-12-24,12,"Dec",2017,24,"Sunday","(41.804236, -87.704406)","000000010",NA
"2890",41150,"Kedzie-Midway",NA,NA,3772,2017-12-06,12,"Dec",2017,6,"Wednesday","(41.804236, -87.704406)","000000010",NA
"3121",41150,"Kedzie-Midway",NA,NA,1257,2017-12-10,12,"Dec",2017,10,"Sunday","(41.804236, -87.704406)","000000010",NA
"3159",41150,"Kedzie-Midway",NA,NA,2305,2017-12-29,12,"Dec",2017,29,"Friday","(41.804236, -87.704406)","000000010",NA
"3390",41150,"Kedzie-Midway",NA,NA,3337,2017-12-15,12,"Dec",2017,15,"Friday","(41.804236, -87.704406)","000000010",NA
"3457",41150,"Kedzie-Midway",NA,NA,3428,2017-12-19,12,"Dec",2017,19,"Tuesday","(41.804236, -87.704406)","000000010",NA
"3506",41150,"Kedzie-Midway",NA,NA,3782,2017-12-04,12,"Dec",2017,4,"Monday","(41.804236, -87.704406)","000000010",NA
"3765",41150,"Kedzie-Midway",NA,NA,3160,2017-12-18,12,"Dec",2017,18,"Monday","(41.804236, -87.704406)","000000010",NA
"4067",41150,"Kedzie-Midway",NA,NA,1708,2017-12-23,12,"Dec",2017,23,"Saturday","(41.804236, -87.704406)","000000010",NA
"4158",41150,"Kedzie-Midway",NA,NA,3568,2017-12-08,12,"Dec",2017,8,"Friday","(41.804236, -87.704406)","000000010",NA
"4198",41150,"Kedzie-Midway",NA,NA,1890,2017-12-16,12,"Dec",2017,16,"Saturday","(41.804236, -87.704406)","000000010",NA
"4206",41150,"Kedzie-Midway",NA,NA,1354,2017-12-17,12,"Dec",2017,17,"Sunday","(41.804236, -87.704406)","000000010",NA
"4325",41150,"Kedzie-Midway",NA,NA,2265,2017-12-28,12,"Dec",2017,28,"Thursday","(41.804236, -87.704406)","000000010",NA
"4411",41150,"Kedzie-Midway",NA,NA,3584,2017-12-13,12,"Dec",2017,13,"Wednesday","(41.804236, -87.704406)","000000010",NA
"4424",41150,"Kedzie-Midway",NA,NA,2204,2017-12-27,12,"Dec",2017,27,"Wednesday","(41.804236, -87.704406)","000000010",NA
"4430",41150,"Kedzie-Midway",NA,NA,3321,2017-12-21,12,"Dec",2017,21,"Thursday","(41.804236, -87.704406)","000000010",NA
"4484",41150,"Kedzie-Midway",NA,NA,1852,2017-12-26,12,"Dec",2017,26,"Tuesday","(41.804236, -87.704406)","000000010",NA
"4831",41150,"Kedzie-Midway",NA,NA,2525,2018-01-04,1,"Jan",2018,4,"Thursday","(41.804236, -87.704406)","000000010",NA
"5051",41150,"Kedzie-Midway",NA,NA,3545,2018-02-28,2,"Feb",2018,28,"Wednesday","(41.804236, -87.704406)","000000010",NA
"5189",41150,"Kedzie-Midway",NA,NA,3513,2018-03-07,3,"Mar",2018,7,"Wednesday","(41.804236, -87.704406)","000000010",NA
"5272",41150,"Kedzie-Midway",NA,NA,3455,2018-01-17,1,"Jan",2018,17,"Wednesday","(41.804236, -87.704406)","000000010",NA
"5378",41150,"Kedzie-Midway",NA,NA,3133,2018-03-28,3,"Mar",2018,28,"Wednesday","(41.804236, -87.704406)","000000010",NA
"5440",41150,"Kedzie-Midway",NA,NA,1126,2018-03-11,3,"Mar",2018,11,"Sunday","(41.804236, -87.704406)","000000010",NA
"5453",41150,"Kedzie-Midway",NA,NA,3539,2018-03-21,3,"Mar",2018,21,"Wednesday","(41.804236, -87.704406)","000000010",NA
"5478",41150,"Kedzie-Midway",NA,NA,2468,2018-02-19,2,"Feb",2018,19,"Monday","(41.804236, -87.704406)","000000010",NA
"5553",41150,"Kedzie-Midway",NA,NA,3392,2018-02-23,2,"Feb",2018,23,"Friday","(41.804236, -87.704406)","000000010",NA
"5863",41150,"Kedzie-Midway",NA,NA,3272,2018-01-10,1,"Jan",2018,10,"Wednesday","(41.804236, -87.704406)","000000010",NA
"5870",41150,"Kedzie-Midway",NA,NA,2138,2018-02-09,2,"Feb",2018,9,"Friday","(41.804236, -87.704406)","000000010",NA
"5898",41150,"Kedzie-Midway",NA,NA,1649,2018-01-27,1,"Jan",2018,27,"Saturday","(41.804236, -87.704406)","000000010",NA
"5983",41150,"Kedzie-Midway",NA,NA,3416,2018-03-09,3,"Mar",2018,9,"Friday","(41.804236, -87.704406)","000000010",NA
"6036",41150,"Kedzie-Midway",NA,NA,1368,2018-01-13,1,"Jan",2018,13,"Saturday","(41.804236, -87.704406)","000000010",NA
"6107",41150,"Kedzie-Midway",NA,NA,3365,2018-01-22,1,"Jan",2018,22,"Monday","(41.804236, -87.704406)","000000010",NA
"6381",41150,"Kedzie-Midway",NA,NA,3529,2018-03-20,3,"Mar",2018,20,"Tuesday","(41.804236, -87.704406)","000000010",NA
"6824",41150,"Kedzie-Midway",NA,NA,3499,2018-03-13,3,"Mar",2018,13,"Tuesday","(41.804236, -87.704406)","000000010",NA
"6846",41150,"Kedzie-Midway",NA,NA,2844,2018-03-26,3,"Mar",2018,26,"Monday","(41.804236, -87.704406)","000000010",NA
"6957",41150,"Kedzie-Midway",NA,NA,3554,2018-03-08,3,"Mar",2018,8,"Thursday","(41.804236, -87.704406)","000000010",NA
"7021",41150,"Kedzie-Midway",NA,NA,3665,2018-02-27,2,"Feb",2018,27,"Tuesday","(41.804236, -87.704406)","000000010",NA
"7041",41150,"Kedzie-Midway",NA,NA,1122,2018-02-18,2,"Feb",2018,18,"Sunday","(41.804236, -87.704406)","000000010",NA
"7086",41150,"Kedzie-Midway",NA,NA,2526,2018-01-05,1,"Jan",2018,5,"Friday","(41.804236, -87.704406)","000000010",NA
"7488",41150,"Kedzie-Midway",NA,NA,1388,2018-02-03,2,"Feb",2018,3,"Saturday","(41.804236, -87.704406)","000000010",NA
"8010",41150,"Kedzie-Midway",NA,NA,3333,2018-01-26,1,"Jan",2018,26,"Friday","(41.804236, -87.704406)","000000010",NA
"8154",41150,"Kedzie-Midway",NA,NA,3344,2018-02-07,2,"Feb",2018,7,"Wednesday","(41.804236, -87.704406)","000000010",NA
"8661",41150,"Kedzie-Midway",NA,NA,1912,2018-01-15,1,"Jan",2018,15,"Monday","(41.804236, -87.704406)","000000010",NA
"8663",41150,"Kedzie-Midway",NA,NA,1251,2018-01-06,1,"Jan",2018,6,"Saturday","(41.804236, -87.704406)","000000010",NA
"8705",41150,"Kedzie-Midway",NA,NA,2513,2018-01-03,1,"Jan",2018,3,"Wednesday","(41.804236, -87.704406)","000000010",NA
"8808",41150,"Kedzie-Midway",NA,NA,3460,2018-03-16,3,"Mar",2018,16,"Friday","(41.804236, -87.704406)","000000010",NA
"9058",41150,"Kedzie-Midway",NA,NA,3539,2018-02-15,2,"Feb",2018,15,"Thursday","(41.804236, -87.704406)","000000010",NA
"9133",41150,"Kedzie-Midway",NA,NA,1663,2018-01-20,1,"Jan",2018,20,"Saturday","(41.804236, -87.704406)","000000010",NA
"9187",41150,"Kedzie-Midway",NA,NA,1858,2018-03-17,3,"Mar",2018,17,"Saturday","(41.804236, -87.704406)","000000010",NA
"9292",41150,"Kedzie-Midway",NA,NA,2987,2018-01-08,1,"Jan",2018,8,"Monday","(41.804236, -87.704406)","000000010",NA
"9345",41150,"Kedzie-Midway",NA,NA,3583,2018-01-25,1,"Jan",2018,25,"Thursday","(41.804236, -87.704406)","000000010",NA
"9710",41150,"Kedzie-Midway",NA,NA,3001,2018-03-27,3,"Mar",2018,27,"Tuesday","(41.804236, -87.704406)","000000010",NA
"9855",41150,"Kedzie-Midway",NA,NA,3412,2018-03-01,3,"Mar",2018,1,"Thursday","(41.804236, -87.704406)","000000010",NA
"10032",41150,"Kedzie-Midway",NA,NA,3403,2018-03-12,3,"Mar",2018,12,"Monday","(41.804236, -87.704406)","000000010",NA
"10487",41150,"Kedzie-Midway",NA,NA,3438,2018-02-26,2,"Feb",2018,26,"Monday","(41.804236, -87.704406)","000000010",NA
"10736",41150,"Kedzie-Midway",NA,NA,3465,2018-02-01,2,"Feb",2018,1,"Thursday","(41.804236, -87.704406)","000000010",NA
"10773",41150,"Kedzie-Midway",NA,NA,3665,2018-03-15,3,"Mar",2018,15,"Thursday","(41.804236, -87.704406)","000000010",NA
"10922",41150,"Kedzie-Midway",NA,NA,3022,2018-01-12,1,"Jan",2018,12,"Friday","(41.804236, -87.704406)","000000010",NA
