"","station_id","stationname","date","daytype","rides","loc","lineColor"
"141",40740,"Western-Cermak","12/28/2017","W",818,"(41.854225, -87.685129)","pink"
"171",40740,"Western-Cermak","12/12/2017","W",1148,"(41.854225, -87.685129)","pink"
"238",40740,"Western-Cermak","12/08/2017","W",1293,"(41.854225, -87.685129)","pink"
"390",40740,"Western-Cermak","12/21/2017","W",1115,"(41.854225, -87.685129)","pink"
"410",40740,"Western-Cermak","12/18/2017","W",1077,"(41.854225, -87.685129)","pink"
"737",40740,"Western-Cermak","12/05/2017","W",1224,"(41.854225, -87.685129)","pink"
"779",40740,"Western-Cermak","12/27/2017","W",774,"(41.854225, -87.685129)","pink"
"983",40740,"Western-Cermak","12/15/2017","W",1212,"(41.854225, -87.685129)","pink"
"1263",40740,"Western-Cermak","12/06/2017","W",1207,"(41.854225, -87.685129)","pink"
"1342",40740,"Western-Cermak","12/14/2017","W",1175,"(41.854225, -87.685129)","pink"
"1410",40740,"Western-Cermak","12/25/2017","U",271,"(41.854225, -87.685129)","pink"
"1521",40740,"Western-Cermak","12/19/2017","W",1189,"(41.854225, -87.685129)","pink"
"1907",40740,"Western-Cermak","12/17/2017","U",577,"(41.854225, -87.685129)","pink"
"1990",40740,"Western-Cermak","12/22/2017","W",1072,"(41.854225, -87.685129)","pink"
"2004",40740,"Western-Cermak","12/20/2017","W",1146,"(41.854225, -87.685129)","pink"
"2074",40740,"Western-Cermak","12/16/2017","A",688,"(41.854225, -87.685129)","pink"
"2252",40740,"Western-Cermak","12/07/2017","W",1179,"(41.854225, -87.685129)","pink"
"2461",40740,"Western-Cermak","12/13/2017","W",1183,"(41.854225, -87.685129)","pink"
"2522",40740,"Western-Cermak","12/02/2017","A",745,"(41.854225, -87.685129)","pink"
"2589",40740,"Western-Cermak","12/30/2017","A",450,"(41.854225, -87.685129)","pink"
"2676",40740,"Western-Cermak","12/31/2017","U",389,"(41.854225, -87.685129)","pink"
"2968",40740,"Western-Cermak","12/24/2017","U",371,"(41.854225, -87.685129)","pink"
