"","station_id","stationname","date","daytype","rides","date_ymd","month","month_char","year","day","day_of_week","loc","lineColor","X"
"344",41010,"Rockwell",NA,NA,1923,2017-12-15,12,"Dec",2017,15,"Friday","(41.966115, -87.6941)","000100000",NA
"454",41010,"Rockwell",NA,NA,2067,2017-12-01,12,"Dec",2017,1,"Friday","(41.966115, -87.6941)","000100000",NA
"532",41010,"Rockwell",NA,NA,379,2017-12-24,12,"Dec",2017,24,"Sunday","(41.966115, -87.6941)","000100000",NA
"1012",41010,"Rockwell",NA,NA,670,2017-12-17,12,"Dec",2017,17,"Sunday","(41.966115, -87.6941)","000100000",NA
"1173",41010,"Rockwell",NA,NA,655,2017-12-23,12,"Dec",2017,23,"Saturday","(41.966115, -87.6941)","000100000",NA
"1519",41010,"Rockwell",NA,NA,1931,2017-12-05,12,"Dec",2017,5,"Tuesday","(41.966115, -87.6941)","000100000",NA
"1618",41010,"Rockwell",NA,NA,1910,2017-12-20,12,"Dec",2017,20,"Wednesday","(41.966115, -87.6941)","000100000",NA
"1667",41010,"Rockwell",NA,NA,674,2017-12-03,12,"Dec",2017,3,"Sunday","(41.966115, -87.6941)","000100000",NA
"1942",41010,"Rockwell",NA,NA,1226,2017-12-02,12,"Dec",2017,2,"Saturday","(41.966115, -87.6941)","000100000",NA
"1947",41010,"Rockwell",NA,NA,172,2017-12-25,12,"Dec",2017,25,"Monday","(41.966115, -87.6941)","000100000",NA
"2644",41010,"Rockwell",NA,NA,1471,2017-12-22,12,"Dec",2017,22,"Friday","(41.966115, -87.6941)","000100000",NA
"2658",41010,"Rockwell",NA,NA,1893,2017-12-11,12,"Dec",2017,11,"Monday","(41.966115, -87.6941)","000100000",NA
"2682",41010,"Rockwell",NA,NA,564,2017-12-30,12,"Dec",2017,30,"Saturday","(41.966115, -87.6941)","000100000",NA
"2738",41010,"Rockwell",NA,NA,1912,2017-12-04,12,"Dec",2017,4,"Monday","(41.966115, -87.6941)","000100000",NA
"2924",41010,"Rockwell",NA,NA,953,2017-12-16,12,"Dec",2017,16,"Saturday","(41.966115, -87.6941)","000100000",NA
"2994",41010,"Rockwell",NA,NA,666,2017-12-26,12,"Dec",2017,26,"Tuesday","(41.966115, -87.6941)","000100000",NA
