"","station_id","stationname","date","daytype","rides","date_ymd","month","month_char","year","day","day_of_week","loc","lineColor"
"46",41490,"Harrison","12/30/2017","A",1627,2017-12-30,12,"Dec",2017,30,"Saturday","(41.874039, -87.627479)","red"
"155",41490,"Harrison","12/02/2017","A",3086,2017-12-02,12,"Dec",2017,2,"Saturday","(41.874039, -87.627479)","red"
"202",41490,"Harrison","12/27/2017","W",1653,2017-12-27,12,"Dec",2017,27,"Wednesday","(41.874039, -87.627479)","red"
"203",41490,"Harrison","12/21/2017","W",3053,2017-12-21,12,"Dec",2017,21,"Thursday","(41.874039, -87.627479)","red"
"257",41490,"Harrison","12/13/2017","W",4337,2017-12-13,12,"Dec",2017,13,"Wednesday","(41.874039, -87.627479)","red"
"304",41490,"Harrison","12/10/2017","U",1948,2017-12-10,12,"Dec",2017,10,"Sunday","(41.874039, -87.627479)","red"
"446",41490,"Harrison","12/12/2017","W",4407,2017-12-12,12,"Dec",2017,12,"Tuesday","(41.874039, -87.627479)","red"
"562",41490,"Harrison","12/22/2017","W",2738,2017-12-22,12,"Dec",2017,22,"Friday","(41.874039, -87.627479)","red"
"1056",41490,"Harrison","12/07/2017","W",4663,2017-12-07,12,"Dec",2017,7,"Thursday","(41.874039, -87.627479)","red"
"1122",41490,"Harrison","12/15/2017","W",4074,2017-12-15,12,"Dec",2017,15,"Friday","(41.874039, -87.627479)","red"
"1128",41490,"Harrison","12/04/2017","W",4311,2017-12-04,12,"Dec",2017,4,"Monday","(41.874039, -87.627479)","red"
"1155",41490,"Harrison","12/28/2017","W",1924,2017-12-28,12,"Dec",2017,28,"Thursday","(41.874039, -87.627479)","red"
"1291",41490,"Harrison","12/25/2017","U",485,2017-12-25,12,"Dec",2017,25,"Monday","(41.874039, -87.627479)","red"
"1308",41490,"Harrison","12/29/2017","W",1958,2017-12-29,12,"Dec",2017,29,"Friday","(41.874039, -87.627479)","red"
"1374",41490,"Harrison","12/03/2017","U",2413,2017-12-03,12,"Dec",2017,3,"Sunday","(41.874039, -87.627479)","red"
"1383",41490,"Harrison","12/18/2017","W",3217,2017-12-18,12,"Dec",2017,18,"Monday","(41.874039, -87.627479)","red"
"1632",41490,"Harrison","12/17/2017","U",1765,2017-12-17,12,"Dec",2017,17,"Sunday","(41.874039, -87.627479)","red"
"1738",41490,"Harrison","12/19/2017","W",3156,2017-12-19,12,"Dec",2017,19,"Tuesday","(41.874039, -87.627479)","red"
"2000",41490,"Harrison","12/11/2017","W",4181,2017-12-11,12,"Dec",2017,11,"Monday","(41.874039, -87.627479)","red"
"2438",41490,"Harrison","12/08/2017","W",4333,2017-12-08,12,"Dec",2017,8,"Friday","(41.874039, -87.627479)","red"
"2490",41490,"Harrison","12/14/2017","W",4597,2017-12-14,12,"Dec",2017,14,"Thursday","(41.874039, -87.627479)","red"
"2533",41490,"Harrison","12/20/2017","W",3214,2017-12-20,12,"Dec",2017,20,"Wednesday","(41.874039, -87.627479)","red"
