"","station_id","stationname","date","daytype","rides","date_ymd","month","month_char","year","day","day_of_week","loc","lineColor","X"
"5858",41300,"Loyola",NA,NA,5450,2018-01-31,1,"Jan",2018,31,"Wednesday","(42.001073, -87.661061)","100000000",NA
"5871",41300,"Loyola",NA,NA,3703,2018-03-31,3,"Mar",2018,31,"Saturday","(42.001073, -87.661061)","100000000",NA
"6059",41300,"Loyola",NA,NA,4857,2018-03-26,3,"Mar",2018,26,"Monday","(42.001073, -87.661061)","100000000",NA
"6154",41300,"Loyola",NA,NA,2973,2018-02-25,2,"Feb",2018,25,"Sunday","(42.001073, -87.661061)","100000000",NA
"6370",41300,"Loyola",NA,NA,5871,2018-01-26,1,"Jan",2018,26,"Friday","(42.001073, -87.661061)","100000000",NA
"6416",41300,"Loyola",NA,NA,5198,2018-03-19,3,"Mar",2018,19,"Monday","(42.001073, -87.661061)","100000000",NA
"6601",41300,"Loyola",NA,NA,5419,2018-02-01,2,"Feb",2018,1,"Thursday","(42.001073, -87.661061)","100000000",NA
"6683",41300,"Loyola",NA,NA,3613,2018-01-15,1,"Jan",2018,15,"Monday","(42.001073, -87.661061)","100000000",NA
"6711",41300,"Loyola",NA,NA,6278,2018-03-17,3,"Mar",2018,17,"Saturday","(42.001073, -87.661061)","100000000",NA
"6713",41300,"Loyola",NA,NA,2223,2018-01-14,1,"Jan",2018,14,"Sunday","(42.001073, -87.661061)","100000000",NA
"6870",41300,"Loyola",NA,NA,4270,2018-03-30,3,"Mar",2018,30,"Friday","(42.001073, -87.661061)","100000000",NA
"7042",41300,"Loyola",NA,NA,4323,2018-03-07,3,"Mar",2018,7,"Wednesday","(42.001073, -87.661061)","100000000",NA
"7170",41300,"Loyola",NA,NA,5577,2018-02-21,2,"Feb",2018,21,"Wednesday","(42.001073, -87.661061)","100000000",NA
"7582",41300,"Loyola",NA,NA,4075,2018-01-27,1,"Jan",2018,27,"Saturday","(42.001073, -87.661061)","100000000",NA
"8016",41300,"Loyola",NA,NA,5515,2018-01-23,1,"Jan",2018,23,"Tuesday","(42.001073, -87.661061)","100000000",NA
"8173",41300,"Loyola",NA,NA,4589,2018-02-09,2,"Feb",2018,9,"Friday","(42.001073, -87.661061)","100000000",NA
"8248",41300,"Loyola",NA,NA,2818,2018-01-13,1,"Jan",2018,13,"Saturday","(42.001073, -87.661061)","100000000",NA
"8449",41300,"Loyola",NA,NA,4571,2018-02-24,2,"Feb",2018,24,"Saturday","(42.001073, -87.661061)","100000000",NA
"8537",41300,"Loyola",NA,NA,5185,2018-03-21,3,"Mar",2018,21,"Wednesday","(42.001073, -87.661061)","100000000",NA
"8545",41300,"Loyola",NA,NA,3985,2018-02-03,2,"Feb",2018,3,"Saturday","(42.001073, -87.661061)","100000000",NA
"8609",41300,"Loyola",NA,NA,5197,2018-03-27,3,"Mar",2018,27,"Tuesday","(42.001073, -87.661061)","100000000",NA
"8995",41300,"Loyola",NA,NA,2780,2018-01-28,1,"Jan",2018,28,"Sunday","(42.001073, -87.661061)","100000000",NA
"9160",41300,"Loyola",NA,NA,5577,2018-02-15,2,"Feb",2018,15,"Thursday","(42.001073, -87.661061)","100000000",NA
"9296",41300,"Loyola",NA,NA,5605,2018-02-02,2,"Feb",2018,2,"Friday","(42.001073, -87.661061)","100000000",NA
"9416",41300,"Loyola",NA,NA,5348,2018-03-20,3,"Mar",2018,20,"Tuesday","(42.001073, -87.661061)","100000000",NA
"9423",41300,"Loyola",NA,NA,5316,2018-01-16,1,"Jan",2018,16,"Tuesday","(42.001073, -87.661061)","100000000",NA
"9671",41300,"Loyola",NA,NA,4401,2018-03-09,3,"Mar",2018,9,"Friday","(42.001073, -87.661061)","100000000",NA
"9867",41300,"Loyola",NA,NA,3270,2018-02-18,2,"Feb",2018,18,"Sunday","(42.001073, -87.661061)","100000000",NA
"9936",41300,"Loyola",NA,NA,3651,2018-03-03,3,"Mar",2018,3,"Saturday","(42.001073, -87.661061)","100000000",NA
"10324",41300,"Loyola",NA,NA,5406,2018-01-25,1,"Jan",2018,25,"Thursday","(42.001073, -87.661061)","100000000",NA
"10806",41300,"Loyola",NA,NA,3181,2018-03-25,3,"Mar",2018,25,"Sunday","(42.001073, -87.661061)","100000000",NA
"11006",41300,"Loyola",NA,NA,2145,2018-01-06,1,"Jan",2018,6,"Saturday","(42.001073, -87.661061)","100000000",NA
"11228",41300,"Loyola",NA,NA,5830,2018-03-15,3,"Mar",2018,15,"Thursday","(42.001073, -87.661061)","100000000",NA
"11291",41300,"Loyola",NA,NA,3397,2018-03-10,3,"Mar",2018,10,"Saturday","(42.001073, -87.661061)","100000000",NA
"11358",41300,"Loyola",NA,NA,5513,2018-03-22,3,"Mar",2018,22,"Thursday","(42.001073, -87.661061)","100000000",NA
"11403",41300,"Loyola",NA,NA,3894,2018-02-10,2,"Feb",2018,10,"Saturday","(42.001073, -87.661061)","100000000",NA
"11560",41300,"Loyola",NA,NA,3903,2018-01-10,1,"Jan",2018,10,"Wednesday","(42.001073, -87.661061)","100000000",NA
"11585",41300,"Loyola",NA,NA,5435,2018-03-01,3,"Mar",2018,1,"Thursday","(42.001073, -87.661061)","100000000",NA
"11843",41300,"Loyola",NA,NA,5187,2018-02-06,2,"Feb",2018,6,"Tuesday","(42.001073, -87.661061)","100000000",NA
"11879",41300,"Loyola",NA,NA,5607,2018-03-02,3,"Mar",2018,2,"Friday","(42.001073, -87.661061)","100000000",NA
"11901",41300,"Loyola",NA,NA,5179,2018-02-26,2,"Feb",2018,26,"Monday","(42.001073, -87.661061)","100000000",NA
"12059",41300,"Loyola",NA,NA,5325,2018-01-18,1,"Jan",2018,18,"Thursday","(42.001073, -87.661061)","100000000",NA
"12136",41300,"Loyola",NA,NA,2691,2018-02-11,2,"Feb",2018,11,"Sunday","(42.001073, -87.661061)","100000000",NA
"12185",41300,"Loyola",NA,NA,4493,2018-02-19,2,"Feb",2018,19,"Monday","(42.001073, -87.661061)","100000000",NA
"12501",41300,"Loyola",NA,NA,3852,2018-01-09,1,"Jan",2018,9,"Tuesday","(42.001073, -87.661061)","100000000",NA
"12503",41300,"Loyola",NA,NA,5309,2018-01-29,1,"Jan",2018,29,"Monday","(42.001073, -87.661061)","100000000",NA
"13131",41300,"Loyola",NA,NA,5846,2018-01-19,1,"Jan",2018,19,"Friday","(42.001073, -87.661061)","100000000",NA
"13189",41300,"Loyola",NA,NA,4350,2018-03-24,3,"Mar",2018,24,"Saturday","(42.001073, -87.661061)","100000000",NA
"13370",41300,"Loyola",NA,NA,5438,2018-02-08,2,"Feb",2018,8,"Thursday","(42.001073, -87.661061)","100000000",NA
"13534",41300,"Loyola",NA,NA,6169,2018-03-16,3,"Mar",2018,16,"Friday","(42.001073, -87.661061)","100000000",NA
"13708",41300,"Loyola",NA,NA,4922,2018-02-05,2,"Feb",2018,5,"Monday","(42.001073, -87.661061)","100000000",NA
"14338",41300,"Loyola",NA,NA,5475,2018-02-22,2,"Feb",2018,22,"Thursday","(42.001073, -87.661061)","100000000",NA
"14357",41300,"Loyola",NA,NA,3248,2018-01-05,1,"Jan",2018,5,"Friday","(42.001073, -87.661061)","100000000",NA
"14533",41300,"Loyola",NA,NA,5239,2018-02-12,2,"Feb",2018,12,"Monday","(42.001073, -87.661061)","100000000",NA
"14756",41300,"Loyola",NA,NA,5332,2018-02-07,2,"Feb",2018,7,"Wednesday","(42.001073, -87.661061)","100000000",NA
"14789",41300,"Loyola",NA,NA,3205,2018-03-18,3,"Mar",2018,18,"Sunday","(42.001073, -87.661061)","100000000",NA
"14881",41300,"Loyola",NA,NA,3727,2018-01-12,1,"Jan",2018,12,"Friday","(42.001073, -87.661061)","100000000",NA
"15045",41300,"Loyola",NA,NA,4664,2018-01-20,1,"Jan",2018,20,"Saturday","(42.001073, -87.661061)","100000000",NA
"15081",41300,"Loyola",NA,NA,5547,2018-03-29,3,"Mar",2018,29,"Thursday","(42.001073, -87.661061)","100000000",NA
"15281",41300,"Loyola",NA,NA,5392,2018-02-28,2,"Feb",2018,28,"Wednesday","(42.001073, -87.661061)","100000000",NA
"15325",41300,"Loyola",NA,NA,2865,2018-01-02,1,"Jan",2018,2,"Tuesday","(42.001073, -87.661061)","100000000",NA
"15446",41300,"Loyola",NA,NA,6002,2018-02-23,2,"Feb",2018,23,"Friday","(42.001073, -87.661061)","100000000",NA
"15458",41300,"Loyola",NA,NA,3314,2018-01-03,1,"Jan",2018,3,"Wednesday","(42.001073, -87.661061)","100000000",NA
"15986",41300,"Loyola",NA,NA,3182,2018-01-04,1,"Jan",2018,4,"Thursday","(42.001073, -87.661061)","100000000",NA
"16237",41300,"Loyola",NA,NA,1430,2018-01-01,1,"Jan",2018,1,"Monday","(42.001073, -87.661061)","100000000",NA
"16319",41300,"Loyola",NA,NA,2449,2018-03-04,3,"Mar",2018,4,"Sunday","(42.001073, -87.661061)","100000000",NA
"16601",41300,"Loyola",NA,NA,3894,2018-01-11,1,"Jan",2018,11,"Thursday","(42.001073, -87.661061)","100000000",NA
"16615",41300,"Loyola",NA,NA,5514,2018-01-17,1,"Jan",2018,17,"Wednesday","(42.001073, -87.661061)","100000000",NA
"16944",41300,"Loyola",NA,NA,5246,2018-02-27,2,"Feb",2018,27,"Tuesday","(42.001073, -87.661061)","100000000",NA
"16995",41300,"Loyola",NA,NA,4276,2018-03-06,3,"Mar",2018,6,"Tuesday","(42.001073, -87.661061)","100000000",NA
"17129",41300,"Loyola",NA,NA,4035,2018-03-05,3,"Mar",2018,5,"Monday","(42.001073, -87.661061)","100000000",NA
"17212",41300,"Loyola",NA,NA,2555,2018-02-04,2,"Feb",2018,4,"Sunday","(42.001073, -87.661061)","100000000",NA
"17305",41300,"Loyola",NA,NA,5770,2018-03-23,3,"Mar",2018,23,"Friday","(42.001073, -87.661061)","100000000",NA
"17448",41300,"Loyola",NA,NA,5394,2018-01-22,1,"Jan",2018,22,"Monday","(42.001073, -87.661061)","100000000",NA
"17544",41300,"Loyola",NA,NA,4735,2018-05-09,5,"May",2018,9,"Wednesday","(42.001073, -87.661061)","100000000",NA
"17645",41300,"Loyola",NA,NA,3500,2018-06-23,6,"Jun",2018,23,"Saturday","(42.001073, -87.661061)","100000000",NA
"17719",41300,"Loyola",NA,NA,4343,2018-06-18,6,"Jun",2018,18,"Monday","(42.001073, -87.661061)","100000000",NA
"17781",41300,"Loyola",NA,NA,4996,2018-04-16,4,"Apr",2018,16,"Monday","(42.001073, -87.661061)","100000000",NA
"17842",41300,"Loyola",NA,NA,2949,2018-04-22,4,"Apr",2018,22,"Sunday","(42.001073, -87.661061)","100000000",NA
"17887",41300,"Loyola",NA,NA,2250,2018-05-13,5,"May",2018,13,"Sunday","(42.001073, -87.661061)","100000000",NA
"18003",41300,"Loyola",NA,NA,2571,2018-06-03,6,"Jun",2018,3,"Sunday","(42.001073, -87.661061)","100000000",NA
"18048",41300,"Loyola",NA,NA,4690,2018-05-10,5,"May",2018,10,"Thursday","(42.001073, -87.661061)","100000000",NA
"18113",41300,"Loyola",NA,NA,4492,2018-06-25,6,"Jun",2018,25,"Monday","(42.001073, -87.661061)","100000000",NA
"18212",41300,"Loyola",NA,NA,4291,2018-05-29,5,"May",2018,29,"Tuesday","(42.001073, -87.661061)","100000000",NA
"18258",41300,"Loyola",NA,NA,2629,2018-04-15,4,"Apr",2018,15,"Sunday","(42.001073, -87.661061)","100000000",NA
"18279",41300,"Loyola",NA,NA,5435,2018-04-26,4,"Apr",2018,26,"Thursday","(42.001073, -87.661061)","100000000",NA
"18358",41300,"Loyola",NA,NA,2987,2018-04-08,4,"Apr",2018,8,"Sunday","(42.001073, -87.661061)","100000000",NA
"18361",41300,"Loyola",NA,NA,3509,2018-05-26,5,"May",2018,26,"Saturday","(42.001073, -87.661061)","100000000",NA
"18468",41300,"Loyola",NA,NA,5777,2018-04-06,4,"Apr",2018,6,"Friday","(42.001073, -87.661061)","100000000",NA
"18534",41300,"Loyola",NA,NA,4596,2018-06-08,6,"Jun",2018,8,"Friday","(42.001073, -87.661061)","100000000",NA
"18780",41300,"Loyola",NA,NA,2927,2018-05-12,5,"May",2018,12,"Saturday","(42.001073, -87.661061)","100000000",NA
"18858",41300,"Loyola",NA,NA,4168,2018-05-15,5,"May",2018,15,"Tuesday","(42.001073, -87.661061)","100000000",NA
"18960",41300,"Loyola",NA,NA,5521,2018-04-12,4,"Apr",2018,12,"Thursday","(42.001073, -87.661061)","100000000",NA
"18966",41300,"Loyola",NA,NA,2892,2018-05-27,5,"May",2018,27,"Sunday","(42.001073, -87.661061)","100000000",NA
"19011",41300,"Loyola",NA,NA,4488,2018-05-25,5,"May",2018,25,"Friday","(42.001073, -87.661061)","100000000",NA
"19301",41300,"Loyola",NA,NA,2457,2018-05-28,5,"May",2018,28,"Monday","(42.001073, -87.661061)","100000000",NA
"19607",41300,"Loyola",NA,NA,4407,2018-04-07,4,"Apr",2018,7,"Saturday","(42.001073, -87.661061)","100000000",NA
"20019",41300,"Loyola",NA,NA,5355,2018-04-17,4,"Apr",2018,17,"Tuesday","(42.001073, -87.661061)","100000000",NA
"20068",41300,"Loyola",NA,NA,5348,2018-04-19,4,"Apr",2018,19,"Thursday","(42.001073, -87.661061)","100000000",NA
"20236",41300,"Loyola",NA,NA,4382,2018-06-21,6,"Jun",2018,21,"Thursday","(42.001073, -87.661061)","100000000",NA
"20298",41300,"Loyola",NA,NA,3815,2018-04-14,4,"Apr",2018,14,"Saturday","(42.001073, -87.661061)","100000000",NA
"20438",41300,"Loyola",NA,NA,4245,2018-06-04,6,"Jun",2018,4,"Monday","(42.001073, -87.661061)","100000000",NA
"20636",41300,"Loyola",NA,NA,5015,2018-04-03,4,"Apr",2018,3,"Tuesday","(42.001073, -87.661061)","100000000",NA
"20721",41300,"Loyola",NA,NA,4499,2018-06-22,6,"Jun",2018,22,"Friday","(42.001073, -87.661061)","100000000",NA
"20760",41300,"Loyola",NA,NA,2124,2018-04-01,4,"Apr",2018,1,"Sunday","(42.001073, -87.661061)","100000000",NA
"20798",41300,"Loyola",NA,NA,5677,2018-04-11,4,"Apr",2018,11,"Wednesday","(42.001073, -87.661061)","100000000",NA
"21103",41300,"Loyola",NA,NA,4439,2018-05-18,5,"May",2018,18,"Friday","(42.001073, -87.661061)","100000000",NA
"21254",41300,"Loyola",NA,NA,5260,2018-04-24,4,"Apr",2018,24,"Tuesday","(42.001073, -87.661061)","100000000",NA
"21389",41300,"Loyola",NA,NA,4794,2018-06-15,6,"Jun",2018,15,"Friday","(42.001073, -87.661061)","100000000",NA
"21556",41300,"Loyola",NA,NA,4723,2018-05-23,5,"May",2018,23,"Wednesday","(42.001073, -87.661061)","100000000",NA
"21631",41300,"Loyola",NA,NA,4872,2018-06-28,6,"Jun",2018,28,"Thursday","(42.001073, -87.661061)","100000000",NA
"21775",41300,"Loyola",NA,NA,5616,2018-04-27,4,"Apr",2018,27,"Friday","(42.001073, -87.661061)","100000000",NA
"21907",41300,"Loyola",NA,NA,5195,2018-04-10,4,"Apr",2018,10,"Tuesday","(42.001073, -87.661061)","100000000",NA
"21984",41300,"Loyola",NA,NA,3127,2018-04-29,4,"Apr",2018,29,"Sunday","(42.001073, -87.661061)","100000000",NA
"22047",41300,"Loyola",NA,NA,4268,2018-05-30,5,"May",2018,30,"Wednesday","(42.001073, -87.661061)","100000000",NA
"22101",41300,"Loyola",NA,NA,4232,2018-04-21,4,"Apr",2018,21,"Saturday","(42.001073, -87.661061)","100000000",NA
