"","station_id","stationname","date","daytype","rides","date_ymd","month","month_char","year","day","day_of_week","loc","lineColor","X"
"58",40190,"Sox-35th-Dan Ryan",NA,NA,2141,2017-12-27,12,"Dec",2017,27,"Wednesday","(41.831191, -87.630636)","100000000",NA
"125",40190,"Sox-35th-Dan Ryan",NA,NA,4324,2017-12-06,12,"Dec",2017,6,"Wednesday","(41.831191, -87.630636)","100000000",NA
"156",40190,"Sox-35th-Dan Ryan",NA,NA,2382,2017-12-28,12,"Dec",2017,28,"Thursday","(41.831191, -87.630636)","100000000",NA
"566",40190,"Sox-35th-Dan Ryan",NA,NA,2148,2017-12-23,12,"Dec",2017,23,"Saturday","(41.831191, -87.630636)","100000000",NA
"747",40190,"Sox-35th-Dan Ryan",NA,NA,3791,2017-12-20,12,"Dec",2017,20,"Wednesday","(41.831191, -87.630636)","100000000",NA
"751",40190,"Sox-35th-Dan Ryan",NA,NA,3978,2017-12-15,12,"Dec",2017,15,"Friday","(41.831191, -87.630636)","100000000",NA
"1051",40190,"Sox-35th-Dan Ryan",NA,NA,2435,2017-12-09,12,"Dec",2017,9,"Saturday","(41.831191, -87.630636)","100000000",NA
"1337",40190,"Sox-35th-Dan Ryan",NA,NA,3663,2017-12-18,12,"Dec",2017,18,"Monday","(41.831191, -87.630636)","100000000",NA
"1387",40190,"Sox-35th-Dan Ryan",NA,NA,4167,2017-12-07,12,"Dec",2017,7,"Thursday","(41.831191, -87.630636)","100000000",NA
"1420",40190,"Sox-35th-Dan Ryan",NA,NA,2351,2017-12-03,12,"Dec",2017,3,"Sunday","(41.831191, -87.630636)","100000000",NA
"1429",40190,"Sox-35th-Dan Ryan",NA,NA,2515,2017-12-29,12,"Dec",2017,29,"Friday","(41.831191, -87.630636)","100000000",NA
"1447",40190,"Sox-35th-Dan Ryan",NA,NA,3864,2017-12-13,12,"Dec",2017,13,"Wednesday","(41.831191, -87.630636)","100000000",NA
"1559",40190,"Sox-35th-Dan Ryan",NA,NA,4181,2017-12-05,12,"Dec",2017,5,"Tuesday","(41.831191, -87.630636)","100000000",NA
"1574",40190,"Sox-35th-Dan Ryan",NA,NA,1603,2017-12-31,12,"Dec",2017,31,"Sunday","(41.831191, -87.630636)","100000000",NA
"1721",40190,"Sox-35th-Dan Ryan",NA,NA,3047,2017-12-02,12,"Dec",2017,2,"Saturday","(41.831191, -87.630636)","100000000",NA
"1868",40190,"Sox-35th-Dan Ryan",NA,NA,3518,2017-12-22,12,"Dec",2017,22,"Friday","(41.831191, -87.630636)","100000000",NA
"2042",40190,"Sox-35th-Dan Ryan",NA,NA,1839,2017-12-10,12,"Dec",2017,10,"Sunday","(41.831191, -87.630636)","100000000",NA
