"","station_id","stationname","date","daytype","rides","date_ymd","month","month_char","year","day","day_of_week","loc","lineColor"
"83",40230,"Cumberland","12/08/2017","W",4589,2017-12-08,12,"Dec",2017,8,"Friday","(41.984246, -87.838028)","blue"
"179",40230,"Cumberland","12/25/2017","U",639,2017-12-25,12,"Dec",2017,25,"Monday","(41.984246, -87.838028)","blue"
"544",40230,"Cumberland","12/27/2017","W",2735,2017-12-27,12,"Dec",2017,27,"Wednesday","(41.984246, -87.838028)","blue"
"595",40230,"Cumberland","12/22/2017","W",3618,2017-12-22,12,"Dec",2017,22,"Friday","(41.984246, -87.838028)","blue"
"820",40230,"Cumberland","12/20/2017","W",4222,2017-12-20,12,"Dec",2017,20,"Wednesday","(41.984246, -87.838028)","blue"
"855",40230,"Cumberland","12/07/2017","W",4851,2017-12-07,12,"Dec",2017,7,"Thursday","(41.984246, -87.838028)","blue"
"1015",40230,"Cumberland","12/09/2017","A",1967,2017-12-09,12,"Dec",2017,9,"Saturday","(41.984246, -87.838028)","blue"
"1087",40230,"Cumberland","12/06/2017","W",4686,2017-12-06,12,"Dec",2017,6,"Wednesday","(41.984246, -87.838028)","blue"
"1261",40230,"Cumberland","12/14/2017","W",4550,2017-12-14,12,"Dec",2017,14,"Thursday","(41.984246, -87.838028)","blue"
"1336",40230,"Cumberland","12/15/2017","W",4165,2017-12-15,12,"Dec",2017,15,"Friday","(41.984246, -87.838028)","blue"
"1858",40230,"Cumberland","12/10/2017","U",1331,2017-12-10,12,"Dec",2017,10,"Sunday","(41.984246, -87.838028)","blue"
"1867",40230,"Cumberland","12/26/2017","W",2129,2017-12-26,12,"Dec",2017,26,"Tuesday","(41.984246, -87.838028)","blue"
"1939",40230,"Cumberland","12/05/2017","W",4784,2017-12-05,12,"Dec",2017,5,"Tuesday","(41.984246, -87.838028)","blue"
"2035",40230,"Cumberland","12/24/2017","U",1120,2017-12-24,12,"Dec",2017,24,"Sunday","(41.984246, -87.838028)","blue"
"2159",40230,"Cumberland","12/16/2017","A",2002,2017-12-16,12,"Dec",2017,16,"Saturday","(41.984246, -87.838028)","blue"
"2248",40230,"Cumberland","12/01/2017","W",4802,2017-12-01,12,"Dec",2017,1,"Friday","(41.984246, -87.838028)","blue"
"2263",40230,"Cumberland","12/29/2017","W",2747,2017-12-29,12,"Dec",2017,29,"Friday","(41.984246, -87.838028)","blue"
"2268",40230,"Cumberland","12/28/2017","W",2866,2017-12-28,12,"Dec",2017,28,"Thursday","(41.984246, -87.838028)","blue"
"2488",40230,"Cumberland","12/04/2017","W",4819,2017-12-04,12,"Dec",2017,4,"Monday","(41.984246, -87.838028)","blue"
"2796",40230,"Cumberland","12/30/2017","A",1198,2017-12-30,12,"Dec",2017,30,"Saturday","(41.984246, -87.838028)","blue"
"2821",40230,"Cumberland","12/19/2017","W",4388,2017-12-19,12,"Dec",2017,19,"Tuesday","(41.984246, -87.838028)","blue"
"3005",40230,"Cumberland","12/02/2017","A",2238,2017-12-02,12,"Dec",2017,2,"Saturday","(41.984246, -87.838028)","blue"
"3034",40230,"Cumberland","12/13/2017","W",4559,2017-12-13,12,"Dec",2017,13,"Wednesday","(41.984246, -87.838028)","blue"
"3306",40230,"Cumberland","12/11/2017","W",4372,2017-12-11,12,"Dec",2017,11,"Monday","(41.984246, -87.838028)","blue"
"3420",40230,"Cumberland","12/03/2017","U",1617,2017-12-03,12,"Dec",2017,3,"Sunday","(41.984246, -87.838028)","blue"
"3505",40230,"Cumberland","12/23/2017","A",1896,2017-12-23,12,"Dec",2017,23,"Saturday","(41.984246, -87.838028)","blue"
