"","station_id","stationname","date","daytype","rides","date_ymd","month","month_char","year","day","day_of_week","loc","lineColor"
"352",40530,"Diversey","12/10/2017","U",1912,2017-12-10,12,"Dec",2017,10,"Sunday","(41.932732, -87.653131)","purple_exp"
"688",40530,"Diversey","12/21/2017","W",5020,2017-12-21,12,"Dec",2017,21,"Thursday","(41.932732, -87.653131)","purple_exp"
"695",40530,"Diversey","12/15/2017","W",5491,2017-12-15,12,"Dec",2017,15,"Friday","(41.932732, -87.653131)","purple_exp"
"761",40530,"Diversey","12/03/2017","U",2067,2017-12-03,12,"Dec",2017,3,"Sunday","(41.932732, -87.653131)","purple_exp"
"813",40530,"Diversey","12/27/2017","W",2533,2017-12-27,12,"Dec",2017,27,"Wednesday","(41.932732, -87.653131)","purple_exp"
"850",40530,"Diversey","12/20/2017","W",5334,2017-12-20,12,"Dec",2017,20,"Wednesday","(41.932732, -87.653131)","purple_exp"
"882",40530,"Diversey","12/11/2017","W",5419,2017-12-11,12,"Dec",2017,11,"Monday","(41.932732, -87.653131)","purple_exp"
"984",40530,"Diversey","12/06/2017","W",5741,2017-12-06,12,"Dec",2017,6,"Wednesday","(41.932732, -87.653131)","purple_exp"
"1139",40530,"Diversey","12/16/2017","A",2915,2017-12-16,12,"Dec",2017,16,"Saturday","(41.932732, -87.653131)","purple_exp"
"1211",40530,"Diversey","12/23/2017","A",1657,2017-12-23,12,"Dec",2017,23,"Saturday","(41.932732, -87.653131)","purple_exp"
"1230",40530,"Diversey","12/01/2017","W",5866,2017-12-01,12,"Dec",2017,1,"Friday","(41.932732, -87.653131)","purple_exp"
"1501",40530,"Diversey","12/07/2017","W",5712,2017-12-07,12,"Dec",2017,7,"Thursday","(41.932732, -87.653131)","purple_exp"
"1518",40530,"Diversey","12/31/2017","U",1519,2017-12-31,12,"Dec",2017,31,"Sunday","(41.932732, -87.653131)","purple_exp"
"2027",40530,"Diversey","12/08/2017","W",5601,2017-12-08,12,"Dec",2017,8,"Friday","(41.932732, -87.653131)","purple_exp"
"2204",40530,"Diversey","12/17/2017","U",1843,2017-12-17,12,"Dec",2017,17,"Sunday","(41.932732, -87.653131)","purple_exp"
"2659",40530,"Diversey","12/14/2017","W",5685,2017-12-14,12,"Dec",2017,14,"Thursday","(41.932732, -87.653131)","purple_exp"
"2769",40530,"Diversey","12/05/2017","W",5758,2017-12-05,12,"Dec",2017,5,"Tuesday","(41.932732, -87.653131)","purple_exp"
"2835",40530,"Diversey","12/09/2017","A",2846,2017-12-09,12,"Dec",2017,9,"Saturday","(41.932732, -87.653131)","purple_exp"
"2914",40530,"Diversey","12/02/2017","A",3371,2017-12-02,12,"Dec",2017,2,"Saturday","(41.932732, -87.653131)","purple_exp"
"3074",40530,"Diversey","12/30/2017","A",1686,2017-12-30,12,"Dec",2017,30,"Saturday","(41.932732, -87.653131)","purple_exp"
"3127",40530,"Diversey","12/12/2017","W",5618,2017-12-12,12,"Dec",2017,12,"Tuesday","(41.932732, -87.653131)","purple_exp"
"3190",40530,"Diversey","12/28/2017","W",3018,2017-12-28,12,"Dec",2017,28,"Thursday","(41.932732, -87.653131)","purple_exp"
"3331",40530,"Diversey","12/25/2017","U",384,2017-12-25,12,"Dec",2017,25,"Monday","(41.932732, -87.653131)","purple_exp"
"3366",40530,"Diversey","12/22/2017","W",3793,2017-12-22,12,"Dec",2017,22,"Friday","(41.932732, -87.653131)","purple_exp"
"3451",40530,"Diversey","12/24/2017","U",841,2017-12-24,12,"Dec",2017,24,"Sunday","(41.932732, -87.653131)","purple_exp"
"3684",40530,"Diversey","12/26/2017","W",1559,2017-12-26,12,"Dec",2017,26,"Tuesday","(41.932732, -87.653131)","purple_exp"
"3876",40530,"Diversey","12/04/2017","W",5667,2017-12-04,12,"Dec",2017,4,"Monday","(41.932732, -87.653131)","purple_exp"
"3907",40530,"Diversey","12/18/2017","W",5267,2017-12-18,12,"Dec",2017,18,"Monday","(41.932732, -87.653131)","purple_exp"
"4120",40530,"Diversey","12/13/2017","W",5663,2017-12-13,12,"Dec",2017,13,"Wednesday","(41.932732, -87.653131)","purple_exp"
"4328",40530,"Diversey","12/19/2017","W",5585,2017-12-19,12,"Dec",2017,19,"Tuesday","(41.932732, -87.653131)","purple_exp"
"4428",40530,"Diversey","12/29/2017","W",3019,2017-12-29,12,"Dec",2017,29,"Friday","(41.932732, -87.653131)","purple_exp"
"4713",40530,"Diversey","02/25/2018","U",1816,2018-02-25,2,"Feb",2018,25,"Sunday","(41.932732, -87.653131)","purple_exp"
"4901",40530,"Diversey","01/25/2018","W",5888,2018-01-25,1,"Jan",2018,25,"Thursday","(41.932732, -87.653131)","purple_exp"
"5070",40530,"Diversey","01/20/2018","A",3006,2018-01-20,1,"Jan",2018,20,"Saturday","(41.932732, -87.653131)","purple_exp"
"5111",40530,"Diversey","01/21/2018","U",1694,2018-01-21,1,"Jan",2018,21,"Sunday","(41.932732, -87.653131)","purple_exp"
"5169",40530,"Diversey","01/17/2018","W",5667,2018-01-17,1,"Jan",2018,17,"Wednesday","(41.932732, -87.653131)","purple_exp"
"5239",40530,"Diversey","03/21/2018","W",5507,2018-03-21,3,"Mar",2018,21,"Wednesday","(41.932732, -87.653131)","purple_exp"
"5421",40530,"Diversey","01/26/2018","W",5704,2018-01-26,1,"Jan",2018,26,"Friday","(41.932732, -87.653131)","purple_exp"
"5650",40530,"Diversey","01/03/2018","W",5149,2018-01-03,1,"Jan",2018,3,"Wednesday","(41.932732, -87.653131)","purple_exp"
"5750",40530,"Diversey","02/03/2018","A",2451,2018-02-03,2,"Feb",2018,3,"Saturday","(41.932732, -87.653131)","purple_exp"
"5779",40530,"Diversey","03/06/2018","W",5726,2018-03-06,3,"Mar",2018,6,"Tuesday","(41.932732, -87.653131)","purple_exp"
"5862",40530,"Diversey","03/05/2018","W",5393,2018-03-05,3,"Mar",2018,5,"Monday","(41.932732, -87.653131)","purple_exp"
"6127",40530,"Diversey","03/19/2018","W",5512,2018-03-19,3,"Mar",2018,19,"Monday","(41.932732, -87.653131)","purple_exp"
"6258",40530,"Diversey","01/31/2018","W",5772,2018-01-31,1,"Jan",2018,31,"Wednesday","(41.932732, -87.653131)","purple_exp"
"6264",40530,"Diversey","03/12/2018","W",5601,2018-03-12,3,"Mar",2018,12,"Monday","(41.932732, -87.653131)","purple_exp"
"6272",40530,"Diversey","01/27/2018","A",2929,2018-01-27,1,"Jan",2018,27,"Saturday","(41.932732, -87.653131)","purple_exp"
"6424",40530,"Diversey","02/04/2018","U",1653,2018-02-04,2,"Feb",2018,4,"Sunday","(41.932732, -87.653131)","purple_exp"
"6522",40530,"Diversey","01/18/2018","W",5738,2018-01-18,1,"Jan",2018,18,"Thursday","(41.932732, -87.653131)","purple_exp"
"6531",40530,"Diversey","02/23/2018","W",5605,2018-02-23,2,"Feb",2018,23,"Friday","(41.932732, -87.653131)","purple_exp"
"6748",40530,"Diversey","02/17/2018","A",2812,2018-02-17,2,"Feb",2018,17,"Saturday","(41.932732, -87.653131)","purple_exp"
"6771",40530,"Diversey","01/05/2018","W",4936,2018-01-05,1,"Jan",2018,5,"Friday","(41.932732, -87.653131)","purple_exp"
"7176",40530,"Diversey","01/13/2018","A",2408,2018-01-13,1,"Jan",2018,13,"Saturday","(41.932732, -87.653131)","purple_exp"
"7242",40530,"Diversey","03/03/2018","A",2804,2018-03-03,3,"Mar",2018,3,"Saturday","(41.932732, -87.653131)","purple_exp"
