"","station_id","stationname","date","daytype","rides","loc","lineColor"
"27",40100,"Morse","12/31/2017","U",2486,"(42.008362, -87.665909)","red"
"54",40100,"Morse","12/06/2017","W",4575,"(42.008362, -87.665909)","red"
"163",40100,"Morse","12/10/2017","U",2526,"(42.008362, -87.665909)","red"
"215",40100,"Morse","12/22/2017","W",3760,"(42.008362, -87.665909)","red"
"253",40100,"Morse","12/28/2017","W",3146,"(42.008362, -87.665909)","red"
"807",40100,"Morse","12/18/2017","W",4058,"(42.008362, -87.665909)","red"
"832",40100,"Morse","12/07/2017","W",4645,"(42.008362, -87.665909)","red"
"1044",40100,"Morse","12/02/2017","A",3655,"(42.008362, -87.665909)","red"
"1180",40100,"Morse","12/23/2017","A",2535,"(42.008362, -87.665909)","red"
"1571",40100,"Morse","12/16/2017","A",3393,"(42.008362, -87.665909)","red"
"1604",40100,"Morse","12/25/2017","U",1053,"(42.008362, -87.665909)","red"
"1673",40100,"Morse","12/29/2017","W",3223,"(42.008362, -87.665909)","red"
"1700",40100,"Morse","12/20/2017","W",4201,"(42.008362, -87.665909)","red"
"1982",40100,"Morse","12/14/2017","W",4653,"(42.008362, -87.665909)","red"
"2034",40100,"Morse","12/19/2017","W",4307,"(42.008362, -87.665909)","red"
"2524",40100,"Morse","12/05/2017","W",4685,"(42.008362, -87.665909)","red"
"2712",40100,"Morse","12/04/2017","W",4590,"(42.008362, -87.665909)","red"
"2820",40100,"Morse","12/03/2017","U",2803,"(42.008362, -87.665909)","red"
"2836",40100,"Morse","12/27/2017","W",2802,"(42.008362, -87.665909)","red"
"2936",40100,"Morse","12/11/2017","W",4256,"(42.008362, -87.665909)","red"
"3087",40100,"Morse","12/08/2017","W",4680,"(42.008362, -87.665909)","red"
"3148",40100,"Morse","12/09/2017","A",3291,"(42.008362, -87.665909)","red"
"3160",40100,"Morse","12/30/2017","A",2378,"(42.008362, -87.665909)","red"
"3606",40100,"Morse","12/15/2017","W",4577,"(42.008362, -87.665909)","red"
"3732",40100,"Morse","12/24/2017","U",1883,"(42.008362, -87.665909)","red"
"3773",40100,"Morse","12/01/2017","W",4881,"(42.008362, -87.665909)","red"
"4035",40100,"Morse","12/13/2017","W",4593,"(42.008362, -87.665909)","red"
"4069",40100,"Morse","12/12/2017","W",4491,"(42.008362, -87.665909)","red"
"4171",40100,"Morse","12/17/2017","U",2565,"(42.008362, -87.665909)","red"
"4293",40100,"Morse","12/26/2017","W",2201,"(42.008362, -87.665909)","red"
"4385",40100,"Morse","12/21/2017","W",4194,"(42.008362, -87.665909)","red"
"4641",40100,"Morse","02/27/2018","W",4666,"(42.008362, -87.665909)","red"
"4668",40100,"Morse","02/06/2018","W",4525,"(42.008362, -87.665909)","red"
"4673",40100,"Morse","02/28/2018","W",4584,"(42.008362, -87.665909)","red"
"4735",40100,"Morse","03/21/2018","W",4521,"(42.008362, -87.665909)","red"
"4847",40100,"Morse","03/08/2018","W",4632,"(42.008362, -87.665909)","red"
"4975",40100,"Morse","02/10/2018","A",3194,"(42.008362, -87.665909)","red"
"5225",40100,"Morse","01/28/2018","U",2389,"(42.008362, -87.665909)","red"
"5426",40100,"Morse","01/13/2018","A",2839,"(42.008362, -87.665909)","red"
"5506",40100,"Morse","02/04/2018","U",2334,"(42.008362, -87.665909)","red"
"5531",40100,"Morse","01/21/2018","U",2418,"(42.008362, -87.665909)","red"
"5725",40100,"Morse","02/18/2018","U",2636,"(42.008362, -87.665909)","red"
"5773",40100,"Morse","02/03/2018","A",3057,"(42.008362, -87.665909)","red"
"6247",40100,"Morse","03/24/2018","A",3139,"(42.008362, -87.665909)","red"
"6287",40100,"Morse","01/11/2018","W",4384,"(42.008362, -87.665909)","red"
"6628",40100,"Morse","01/09/2018","W",4236,"(42.008362, -87.665909)","red"
"6799",40100,"Morse","03/31/2018","A",3023,"(42.008362, -87.665909)","red"
"6853",40100,"Morse","02/07/2018","W",4533,"(42.008362, -87.665909)","red"
"6880",40100,"Morse","01/20/2018","A",3491,"(42.008362, -87.665909)","red"
"6948",40100,"Morse","03/02/2018","W",4681,"(42.008362, -87.665909)","red"
"6978",40100,"Morse","02/08/2018","W",4681,"(42.008362, -87.665909)","red"
"7016",40100,"Morse","03/26/2018","W",4016,"(42.008362, -87.665909)","red"
"7034",40100,"Morse","01/19/2018","W",4649,"(42.008362, -87.665909)","red"
"7186",40100,"Morse","01/29/2018","W",4318,"(42.008362, -87.665909)","red"
"7207",40100,"Morse","03/03/2018","A",3158,"(42.008362, -87.665909)","red"
"7238",40100,"Morse","02/22/2018","W",4714,"(42.008362, -87.665909)","red"
"7247",40100,"Morse","03/25/2018","U",2522,"(42.008362, -87.665909)","red"
"7289",40100,"Morse","01/27/2018","A",3161,"(42.008362, -87.665909)","red"
"7527",40100,"Morse","03/12/2018","W",4470,"(42.008362, -87.665909)","red"
"7637",40100,"Morse","01/25/2018","W",4768,"(42.008362, -87.665909)","red"
"7655",40100,"Morse","03/04/2018","U",2548,"(42.008362, -87.665909)","red"
"7686",40100,"Morse","01/08/2018","W",4169,"(42.008362, -87.665909)","red"
"7983",40100,"Morse","01/06/2018","A",2655,"(42.008362, -87.665909)","red"
"8163",40100,"Morse","01/02/2018","W",3319,"(42.008362, -87.665909)","red"
"8408",40100,"Morse","02/05/2018","W",4192,"(42.008362, -87.665909)","red"
"8976",40100,"Morse","02/20/2018","W",4519,"(42.008362, -87.665909)","red"
"9007",40100,"Morse","02/25/2018","U",2561,"(42.008362, -87.665909)","red"
"9312",40100,"Morse","01/16/2018","W",4560,"(42.008362, -87.665909)","red"
"9370",40100,"Morse","03/14/2018","W",4712,"(42.008362, -87.665909)","red"
"9443",40100,"Morse","03/18/2018","U",2707,"(42.008362, -87.665909)","red"
"9486",40100,"Morse","03/10/2018","A",3343,"(42.008362, -87.665909)","red"
"9516",40100,"Morse","03/16/2018","W",4664,"(42.008362, -87.665909)","red"
"9587",40100,"Morse","02/17/2018","A",3216,"(42.008362, -87.665909)","red"
"9638",40100,"Morse","03/09/2018","W",4647,"(42.008362, -87.665909)","red"
"9711",40100,"Morse","03/13/2018","W",4465,"(42.008362, -87.665909)","red"
"9812",40100,"Morse","02/13/2018","W",4609,"(42.008362, -87.665909)","red"
"9930",40100,"Morse","03/05/2018","W",4294,"(42.008362, -87.665909)","red"
"9960",40100,"Morse","03/22/2018","W",4658,"(42.008362, -87.665909)","red"
"10168",40100,"Morse","02/12/2018","W",4392,"(42.008362, -87.665909)","red"
"10341",40100,"Morse","01/04/2018","W",3723,"(42.008362, -87.665909)","red"
"10348",40100,"Morse","03/07/2018","W",4536,"(42.008362, -87.665909)","red"
"10403",40100,"Morse","02/26/2018","W",4495,"(42.008362, -87.665909)","red"
"10426",40100,"Morse","01/24/2018","W",4705,"(42.008362, -87.665909)","red"
"10825",40100,"Morse","03/19/2018","W",4309,"(42.008362, -87.665909)","red"
"10882",40100,"Morse","01/22/2018","W",4547,"(42.008362, -87.665909)","red"
"10929",40100,"Morse","02/15/2018","W",4769,"(42.008362, -87.665909)","red"
"10944",40100,"Morse","03/15/2018","W",4738,"(42.008362, -87.665909)","red"
"11260",40100,"Morse","01/10/2018","W",4340,"(42.008362, -87.665909)","red"
"11276",40100,"Morse","02/09/2018","W",3863,"(42.008362, -87.665909)","red"
"12088",40100,"Morse","01/01/2018","U",1643,"(42.008362, -87.665909)","red"
"12262",40100,"Morse","01/18/2018","W",4687,"(42.008362, -87.665909)","red"
"12267",40100,"Morse","02/19/2018","W",3620,"(42.008362, -87.665909)","red"
"12316",40100,"Morse","02/01/2018","W",4630,"(42.008362, -87.665909)","red"
"12404",40100,"Morse","03/17/2018","A",3937,"(42.008362, -87.665909)","red"
"12466",40100,"Morse","03/06/2018","W",4379,"(42.008362, -87.665909)","red"
"12475",40100,"Morse","01/23/2018","W",4628,"(42.008362, -87.665909)","red"
"12569",40100,"Morse","01/03/2018","W",3641,"(42.008362, -87.665909)","red"
"13036",40100,"Morse","03/11/2018","U",2488,"(42.008362, -87.665909)","red"
"13129",40100,"Morse","01/31/2018","W",4519,"(42.008362, -87.665909)","red"
"13135",40100,"Morse","01/30/2018","W",4589,"(42.008362, -87.665909)","red"
"13154",40100,"Morse","01/05/2018","W",3796,"(42.008362, -87.665909)","red"
"13378",40100,"Morse","03/30/2018","W",4037,"(42.008362, -87.665909)","red"
"13472",40100,"Morse","03/20/2018","W",4508,"(42.008362, -87.665909)","red"
"13561",40100,"Morse","02/16/2018","W",4617,"(42.008362, -87.665909)","red"
"13797",40100,"Morse","03/28/2018","W",4223,"(42.008362, -87.665909)","red"
"14262",40100,"Morse","02/11/2018","U",2528,"(42.008362, -87.665909)","red"
"14286",40100,"Morse","01/07/2018","U",2184,"(42.008362, -87.665909)","red"
"14358",40100,"Morse","03/27/2018","W",4253,"(42.008362, -87.665909)","red"
"14580",40100,"Morse","01/14/2018","U",2359,"(42.008362, -87.665909)","red"
"14624",40100,"Morse","03/29/2018","W",4398,"(42.008362, -87.665909)","red"
"14628",40100,"Morse","02/14/2018","W",4716,"(42.008362, -87.665909)","red"
"14646",40100,"Morse","01/15/2018","W",3062,"(42.008362, -87.665909)","red"
"15432",40100,"Morse","02/21/2018","W",4683,"(42.008362, -87.665909)","red"
"15630",40100,"Morse","01/17/2018","W",4477,"(42.008362, -87.665909)","red"
"16560",40100,"Morse","02/23/2018","W",4660,"(42.008362, -87.665909)","red"
"16766",40100,"Morse","01/26/2018","W",4618,"(42.008362, -87.665909)","red"
"16832",40100,"Morse","03/23/2018","W",4490,"(42.008362, -87.665909)","red"
"16892",40100,"Morse","03/01/2018","W",4694,"(42.008362, -87.665909)","red"
"17180",40100,"Morse","02/02/2018","W",4319,"(42.008362, -87.665909)","red"
"17197",40100,"Morse","02/24/2018","A",3245,"(42.008362, -87.665909)","red"
"17199",40100,"Morse","01/12/2018","W",3770,"(42.008362, -87.665909)","red"
"17543",40100,"Morse","04/15/2018","U",2192,"(42.008362, -87.665909)","red"
"17883",40100,"Morse","06/06/2018","W",4680,"(42.008362, -87.665909)","red"
"17967",40100,"Morse","05/10/2018","W",4715,"(42.008362, -87.665909)","red"
"18058",40100,"Morse","06/19/2018","W",4533,"(42.008362, -87.665909)","red"
"18098",40100,"Morse","05/11/2018","W",4642,"(42.008362, -87.665909)","red"
"18300",40100,"Morse","05/30/2018","W",4553,"(42.008362, -87.665909)","red"
