"","station_id","stationname","date","daytype","rides","date_ymd","month","month_char","year","day","day_of_week","loc","lineColor","X"
"62",41070,"Kedzie-Lake",NA,NA,781,2017-12-03,12,"Dec",2017,3,"Sunday","(41.884321, -87.706155)","001000000",NA
"260",41070,"Kedzie-Lake",NA,NA,1197,2017-12-29,12,"Dec",2017,29,"Friday","(41.884321, -87.706155)","001000000",NA
"330",41070,"Kedzie-Lake",NA,NA,743,2017-12-10,12,"Dec",2017,10,"Sunday","(41.884321, -87.706155)","001000000",NA
"380",41070,"Kedzie-Lake",NA,NA,1701,2017-12-20,12,"Dec",2017,20,"Wednesday","(41.884321, -87.706155)","001000000",NA
"520",41070,"Kedzie-Lake",NA,NA,1630,2017-12-18,12,"Dec",2017,18,"Monday","(41.884321, -87.706155)","001000000",NA
"571",41070,"Kedzie-Lake",NA,NA,1051,2017-12-16,12,"Dec",2017,16,"Saturday","(41.884321, -87.706155)","001000000",NA
"615",41070,"Kedzie-Lake",NA,NA,1587,2017-12-15,12,"Dec",2017,15,"Friday","(41.884321, -87.706155)","001000000",NA
"643",41070,"Kedzie-Lake",NA,NA,1850,2017-12-01,12,"Dec",2017,1,"Friday","(41.884321, -87.706155)","001000000",NA
"912",41070,"Kedzie-Lake",NA,NA,892,2017-12-09,12,"Dec",2017,9,"Saturday","(41.884321, -87.706155)","001000000",NA
"1105",41070,"Kedzie-Lake",NA,NA,587,2017-12-25,12,"Dec",2017,25,"Monday","(41.884321, -87.706155)","001000000",NA
"1121",41070,"Kedzie-Lake",NA,NA,1641,2017-12-12,12,"Dec",2017,12,"Tuesday","(41.884321, -87.706155)","001000000",NA
"1235",41070,"Kedzie-Lake",NA,NA,1011,2017-12-27,12,"Dec",2017,27,"Wednesday","(41.884321, -87.706155)","001000000",NA
"1285",41070,"Kedzie-Lake",NA,NA,675,2017-12-31,12,"Dec",2017,31,"Sunday","(41.884321, -87.706155)","001000000",NA
"1491",41070,"Kedzie-Lake",NA,NA,1622,2017-12-22,12,"Dec",2017,22,"Friday","(41.884321, -87.706155)","001000000",NA
"1751",41070,"Kedzie-Lake",NA,NA,833,2017-12-26,12,"Dec",2017,26,"Tuesday","(41.884321, -87.706155)","001000000",NA
"2086",41070,"Kedzie-Lake",NA,NA,1670,2017-12-06,12,"Dec",2017,6,"Wednesday","(41.884321, -87.706155)","001000000",NA
"2290",41070,"Kedzie-Lake",NA,NA,1735,2017-12-04,12,"Dec",2017,4,"Monday","(41.884321, -87.706155)","001000000",NA
"2318",41070,"Kedzie-Lake",NA,NA,968,2017-12-23,12,"Dec",2017,23,"Saturday","(41.884321, -87.706155)","001000000",NA
"2566",41070,"Kedzie-Lake",NA,NA,1713,2017-12-19,12,"Dec",2017,19,"Tuesday","(41.884321, -87.706155)","001000000",NA
"2579",41070,"Kedzie-Lake",NA,NA,1652,2017-12-21,12,"Dec",2017,21,"Thursday","(41.884321, -87.706155)","001000000",NA
"2708",41070,"Kedzie-Lake",NA,NA,1076,2017-12-28,12,"Dec",2017,28,"Thursday","(41.884321, -87.706155)","001000000",NA
"2727",41070,"Kedzie-Lake",NA,NA,1606,2017-12-05,12,"Dec",2017,5,"Tuesday","(41.884321, -87.706155)","001000000",NA
"3089",41070,"Kedzie-Lake",NA,NA,1641,2017-12-13,12,"Dec",2017,13,"Wednesday","(41.884321, -87.706155)","001000000",NA
"3428",41070,"Kedzie-Lake",NA,NA,743,2017-12-24,12,"Dec",2017,24,"Sunday","(41.884321, -87.706155)","001000000",NA
"3766",41070,"Kedzie-Lake",NA,NA,1654,2017-12-07,12,"Dec",2017,7,"Thursday","(41.884321, -87.706155)","001000000",NA
"3796",41070,"Kedzie-Lake",NA,NA,810,2017-12-17,12,"Dec",2017,17,"Sunday","(41.884321, -87.706155)","001000000",NA
"3871",41070,"Kedzie-Lake",NA,NA,1556,2017-12-11,12,"Dec",2017,11,"Monday","(41.884321, -87.706155)","001000000",NA
"3968",41070,"Kedzie-Lake",NA,NA,1687,2017-12-14,12,"Dec",2017,14,"Thursday","(41.884321, -87.706155)","001000000",NA
"4104",41070,"Kedzie-Lake",NA,NA,805,2017-12-30,12,"Dec",2017,30,"Saturday","(41.884321, -87.706155)","001000000",NA
"4186",41070,"Kedzie-Lake",NA,NA,1690,2017-12-08,12,"Dec",2017,8,"Friday","(41.884321, -87.706155)","001000000",NA
"4486",41070,"Kedzie-Lake",NA,NA,1083,2017-12-02,12,"Dec",2017,2,"Saturday","(41.884321, -87.706155)","001000000",NA
"4686",41070,"Kedzie-Lake",NA,NA,1537,2018-01-19,1,"Jan",2018,19,"Friday","(41.884321, -87.706155)","001000000",NA
"4824",41070,"Kedzie-Lake",NA,NA,1626,2018-01-31,1,"Jan",2018,31,"Wednesday","(41.884321, -87.706155)","001000000",NA
"4866",41070,"Kedzie-Lake",NA,NA,1148,2018-01-03,1,"Jan",2018,3,"Wednesday","(41.884321, -87.706155)","001000000",NA
"5114",41070,"Kedzie-Lake",NA,NA,1372,2018-02-12,2,"Feb",2018,12,"Monday","(41.884321, -87.706155)","001000000",NA
"5351",41070,"Kedzie-Lake",NA,NA,1619,2018-02-20,2,"Feb",2018,20,"Tuesday","(41.884321, -87.706155)","001000000",NA
"5555",41070,"Kedzie-Lake",NA,NA,1584,2018-03-22,3,"Mar",2018,22,"Thursday","(41.884321, -87.706155)","001000000",NA
"5641",41070,"Kedzie-Lake",NA,NA,1578,2018-02-13,2,"Feb",2018,13,"Tuesday","(41.884321, -87.706155)","001000000",NA
"5758",41070,"Kedzie-Lake",NA,NA,701,2018-01-21,1,"Jan",2018,21,"Sunday","(41.884321, -87.706155)","001000000",NA
"5803",41070,"Kedzie-Lake",NA,NA,921,2018-02-19,2,"Feb",2018,19,"Monday","(41.884321, -87.706155)","001000000",NA
"5885",41070,"Kedzie-Lake",NA,NA,1603,2018-01-30,1,"Jan",2018,30,"Tuesday","(41.884321, -87.706155)","001000000",NA
"5918",41070,"Kedzie-Lake",NA,NA,1189,2018-03-27,3,"Mar",2018,27,"Tuesday","(41.884321, -87.706155)","001000000",NA
"6099",41070,"Kedzie-Lake",NA,NA,606,2018-02-11,2,"Feb",2018,11,"Sunday","(41.884321, -87.706155)","001000000",NA
"6133",41070,"Kedzie-Lake",NA,NA,745,2018-01-13,1,"Jan",2018,13,"Saturday","(41.884321, -87.706155)","001000000",NA
"6358",41070,"Kedzie-Lake",NA,NA,1604,2018-02-21,2,"Feb",2018,21,"Wednesday","(41.884321, -87.706155)","001000000",NA
"6769",41070,"Kedzie-Lake",NA,NA,1631,2018-01-24,1,"Jan",2018,24,"Wednesday","(41.884321, -87.706155)","001000000",NA
"6776",41070,"Kedzie-Lake",NA,NA,1652,2018-01-26,1,"Jan",2018,26,"Friday","(41.884321, -87.706155)","001000000",NA
"6826",41070,"Kedzie-Lake",NA,NA,1634,2018-03-14,3,"Mar",2018,14,"Wednesday","(41.884321, -87.706155)","001000000",NA
"6855",41070,"Kedzie-Lake",NA,NA,1189,2018-03-30,3,"Mar",2018,30,"Friday","(41.884321, -87.706155)","001000000",NA
"6943",41070,"Kedzie-Lake",NA,NA,600,2018-02-04,2,"Feb",2018,4,"Sunday","(41.884321, -87.706155)","001000000",NA
