"","station_id","stationname","date","daytype","rides","date_ymd","month","month_char","year","day","day_of_week","loc","lineColor","X"
"193",40670,"Western/Milwaukee",NA,NA,5733,2017-12-08,12,"Dec",2017,8,"Friday","(41.916157, -87.687364)","010000000",NA
"394",40670,"Western/Milwaukee",NA,NA,5106,2017-12-21,12,"Dec",2017,21,"Thursday","(41.916157, -87.687364)","010000000",NA
"515",40670,"Western/Milwaukee",NA,NA,3059,2017-12-29,12,"Dec",2017,29,"Friday","(41.916157, -87.687364)","010000000",NA
"714",40670,"Western/Milwaukee",NA,NA,2009,2017-12-23,12,"Dec",2017,23,"Saturday","(41.916157, -87.687364)","010000000",NA
"978",40670,"Western/Milwaukee",NA,NA,1638,2017-12-30,12,"Dec",2017,30,"Saturday","(41.916157, -87.687364)","010000000",NA
"1060",40670,"Western/Milwaukee",NA,NA,2623,2017-12-16,12,"Dec",2017,16,"Saturday","(41.916157, -87.687364)","010000000",NA
"1164",40670,"Western/Milwaukee",NA,NA,3244,2017-12-28,12,"Dec",2017,28,"Thursday","(41.916157, -87.687364)","010000000",NA
"1295",40670,"Western/Milwaukee",NA,NA,2808,2017-12-27,12,"Dec",2017,27,"Wednesday","(41.916157, -87.687364)","010000000",NA
"1404",40670,"Western/Milwaukee",NA,NA,5616,2017-12-05,12,"Dec",2017,5,"Tuesday","(41.916157, -87.687364)","010000000",NA
"1764",40670,"Western/Milwaukee",NA,NA,5585,2017-12-04,12,"Dec",2017,4,"Monday","(41.916157, -87.687364)","010000000",NA
"1843",40670,"Western/Milwaukee",NA,NA,4311,2017-12-22,12,"Dec",2017,22,"Friday","(41.916157, -87.687364)","010000000",NA
"2167",40670,"Western/Milwaukee",NA,NA,1204,2017-12-24,12,"Dec",2017,24,"Sunday","(41.916157, -87.687364)","010000000",NA
"2313",40670,"Western/Milwaukee",NA,NA,5403,2017-12-20,12,"Dec",2017,20,"Wednesday","(41.916157, -87.687364)","010000000",NA
"2375",40670,"Western/Milwaukee",NA,NA,5406,2017-12-19,12,"Dec",2017,19,"Tuesday","(41.916157, -87.687364)","010000000",NA
"2481",40670,"Western/Milwaukee",NA,NA,5510,2017-12-13,12,"Dec",2017,13,"Wednesday","(41.916157, -87.687364)","010000000",NA
"2610",40670,"Western/Milwaukee",NA,NA,1953,2017-12-26,12,"Dec",2017,26,"Tuesday","(41.916157, -87.687364)","010000000",NA
"2846",40670,"Western/Milwaukee",NA,NA,5390,2017-12-11,12,"Dec",2017,11,"Monday","(41.916157, -87.687364)","010000000",NA
"2850",40670,"Western/Milwaukee",NA,NA,1876,2017-12-10,12,"Dec",2017,10,"Sunday","(41.916157, -87.687364)","010000000",NA
