"","station_id","stationname","date","daytype","rides","date_ymd","month","month_char","year","day","day_of_week","loc","lineColor"
"222",40360,"Southport","12/11/2017","W",3468,2017-12-11,12,"Dec",2017,11,"Monday","(41.943744, -87.663619)","brown"
"651",40360,"Southport","12/03/2017","U",1617,2017-12-03,12,"Dec",2017,3,"Sunday","(41.943744, -87.663619)","brown"
"819",40360,"Southport","12/12/2017","W",3616,2017-12-12,12,"Dec",2017,12,"Tuesday","(41.943744, -87.663619)","brown"
"917",40360,"Southport","12/20/2017","W",3606,2017-12-20,12,"Dec",2017,20,"Wednesday","(41.943744, -87.663619)","brown"
"941",40360,"Southport","12/27/2017","W",1652,2017-12-27,12,"Dec",2017,27,"Wednesday","(41.943744, -87.663619)","brown"
"1094",40360,"Southport","12/30/2017","A",1348,2017-12-30,12,"Dec",2017,30,"Saturday","(41.943744, -87.663619)","brown"
"1348",40360,"Southport","12/09/2017","A",2401,2017-12-09,12,"Dec",2017,9,"Saturday","(41.943744, -87.663619)","brown"
"1397",40360,"Southport","12/05/2017","W",3608,2017-12-05,12,"Dec",2017,5,"Tuesday","(41.943744, -87.663619)","brown"
"1623",40360,"Southport","12/06/2017","W",3672,2017-12-06,12,"Dec",2017,6,"Wednesday","(41.943744, -87.663619)","brown"
"1691",40360,"Southport","12/19/2017","W",3753,2017-12-19,12,"Dec",2017,19,"Tuesday","(41.943744, -87.663619)","brown"
"1781",40360,"Southport","12/23/2017","A",1293,2017-12-23,12,"Dec",2017,23,"Saturday","(41.943744, -87.663619)","brown"
"1963",40360,"Southport","12/17/2017","U",1595,2017-12-17,12,"Dec",2017,17,"Sunday","(41.943744, -87.663619)","brown"
"1987",40360,"Southport","12/07/2017","W",3661,2017-12-07,12,"Dec",2017,7,"Thursday","(41.943744, -87.663619)","brown"
"2018",40360,"Southport","12/04/2017","W",3601,2017-12-04,12,"Dec",2017,4,"Monday","(41.943744, -87.663619)","brown"
"2621",40360,"Southport","12/16/2017","A",2513,2017-12-16,12,"Dec",2017,16,"Saturday","(41.943744, -87.663619)","brown"
"2645",40360,"Southport","12/25/2017","U",170,2017-12-25,12,"Dec",2017,25,"Monday","(41.943744, -87.663619)","brown"
"2734",40360,"Southport","12/10/2017","U",1558,2017-12-10,12,"Dec",2017,10,"Sunday","(41.943744, -87.663619)","brown"
