"","station_id","stationname","date","daytype","rides","date_ymd","month","month_char","year","day","day_of_week","loc","lineColor"
"89",40910,"63rd-Dan Ryan","12/06/2017","W",3082,2017-12-06,12,"Dec",2017,6,"Wednesday","(41.780536, -87.630952)","red"
"335",40910,"63rd-Dan Ryan","12/20/2017","W",3006,2017-12-20,12,"Dec",2017,20,"Wednesday","(41.780536, -87.630952)","red"
"356",40910,"63rd-Dan Ryan","12/25/2017","U",1055,2017-12-25,12,"Dec",2017,25,"Monday","(41.780536, -87.630952)","red"
"540",40910,"63rd-Dan Ryan","12/11/2017","W",2996,2017-12-11,12,"Dec",2017,11,"Monday","(41.780536, -87.630952)","red"
"647",40910,"63rd-Dan Ryan","12/04/2017","W",3052,2017-12-04,12,"Dec",2017,4,"Monday","(41.780536, -87.630952)","red"
"776",40910,"63rd-Dan Ryan","12/03/2017","U",1776,2017-12-03,12,"Dec",2017,3,"Sunday","(41.780536, -87.630952)","red"
"778",40910,"63rd-Dan Ryan","12/18/2017","W",2906,2017-12-18,12,"Dec",2017,18,"Monday","(41.780536, -87.630952)","red"
"954",40910,"63rd-Dan Ryan","12/21/2017","W",2963,2017-12-21,12,"Dec",2017,21,"Thursday","(41.780536, -87.630952)","red"
"1064",40910,"63rd-Dan Ryan","12/24/2017","U",1554,2017-12-24,12,"Dec",2017,24,"Sunday","(41.780536, -87.630952)","red"
"1135",40910,"63rd-Dan Ryan","12/02/2017","A",2169,2017-12-02,12,"Dec",2017,2,"Saturday","(41.780536, -87.630952)","red"
"1347",40910,"63rd-Dan Ryan","12/12/2017","W",2908,2017-12-12,12,"Dec",2017,12,"Tuesday","(41.780536, -87.630952)","red"
"1608",40910,"63rd-Dan Ryan","12/31/2017","U",1469,2017-12-31,12,"Dec",2017,31,"Sunday","(41.780536, -87.630952)","red"
"1641",40910,"63rd-Dan Ryan","12/15/2017","W",2912,2017-12-15,12,"Dec",2017,15,"Friday","(41.780536, -87.630952)","red"
"1676",40910,"63rd-Dan Ryan","12/08/2017","W",2971,2017-12-08,12,"Dec",2017,8,"Friday","(41.780536, -87.630952)","red"
"2166",40910,"63rd-Dan Ryan","12/17/2017","U",1712,2017-12-17,12,"Dec",2017,17,"Sunday","(41.780536, -87.630952)","red"
"2358",40910,"63rd-Dan Ryan","12/09/2017","A",1980,2017-12-09,12,"Dec",2017,9,"Saturday","(41.780536, -87.630952)","red"
"2514",40910,"63rd-Dan Ryan","12/14/2017","W",3033,2017-12-14,12,"Dec",2017,14,"Thursday","(41.780536, -87.630952)","red"
"2792",40910,"63rd-Dan Ryan","12/30/2017","A",1695,2017-12-30,12,"Dec",2017,30,"Saturday","(41.780536, -87.630952)","red"
"2800",40910,"63rd-Dan Ryan","12/10/2017","U",1604,2017-12-10,12,"Dec",2017,10,"Sunday","(41.780536, -87.630952)","red"
"2913",40910,"63rd-Dan Ryan","12/13/2017","W",3068,2017-12-13,12,"Dec",2017,13,"Wednesday","(41.780536, -87.630952)","red"
"3055",40910,"63rd-Dan Ryan","12/07/2017","W",3025,2017-12-07,12,"Dec",2017,7,"Thursday","(41.780536, -87.630952)","red"
"3138",40910,"63rd-Dan Ryan","12/28/2017","W",2004,2017-12-28,12,"Dec",2017,28,"Thursday","(41.780536, -87.630952)","red"
"3229",40910,"63rd-Dan Ryan","12/05/2017","W",3167,2017-12-05,12,"Dec",2017,5,"Tuesday","(41.780536, -87.630952)","red"
"3255",40910,"63rd-Dan Ryan","12/29/2017","W",2205,2017-12-29,12,"Dec",2017,29,"Friday","(41.780536, -87.630952)","red"
"3272",40910,"63rd-Dan Ryan","12/22/2017","W",2850,2017-12-22,12,"Dec",2017,22,"Friday","(41.780536, -87.630952)","red"
"3310",40910,"63rd-Dan Ryan","12/27/2017","W",1891,2017-12-27,12,"Dec",2017,27,"Wednesday","(41.780536, -87.630952)","red"
"3641",40910,"63rd-Dan Ryan","12/16/2017","A",2088,2017-12-16,12,"Dec",2017,16,"Saturday","(41.780536, -87.630952)","red"
"3659",40910,"63rd-Dan Ryan","12/01/2017","W",3396,2017-12-01,12,"Dec",2017,1,"Friday","(41.780536, -87.630952)","red"
"4174",40910,"63rd-Dan Ryan","12/23/2017","A",2026,2017-12-23,12,"Dec",2017,23,"Saturday","(41.780536, -87.630952)","red"
"4334",40910,"63rd-Dan Ryan","12/19/2017","W",2839,2017-12-19,12,"Dec",2017,19,"Tuesday","(41.780536, -87.630952)","red"
"4489",40910,"63rd-Dan Ryan","12/26/2017","W",1711,2017-12-26,12,"Dec",2017,26,"Tuesday","(41.780536, -87.630952)","red"
"4561",40910,"63rd-Dan Ryan","02/02/2018","W",2644,2018-02-02,2,"Feb",2018,2,"Friday","(41.780536, -87.630952)","red"
"4656",40910,"63rd-Dan Ryan","02/28/2018","W",3024,2018-02-28,2,"Feb",2018,28,"Wednesday","(41.780536, -87.630952)","red"
"4869",40910,"63rd-Dan Ryan","01/23/2018","W",2915,2018-01-23,1,"Jan",2018,23,"Tuesday","(41.780536, -87.630952)","red"
"5112",40910,"63rd-Dan Ryan","01/05/2018","W",2193,2018-01-05,1,"Jan",2018,5,"Friday","(41.780536, -87.630952)","red"
"5230",40910,"63rd-Dan Ryan","02/19/2018","W",2049,2018-02-19,2,"Feb",2018,19,"Monday","(41.780536, -87.630952)","red"
"5231",40910,"63rd-Dan Ryan","03/21/2018","W",3043,2018-03-21,3,"Mar",2018,21,"Wednesday","(41.780536, -87.630952)","red"
"5290",40910,"63rd-Dan Ryan","01/07/2018","U",1360,2018-01-07,1,"Jan",2018,7,"Sunday","(41.780536, -87.630952)","red"
"5483",40910,"63rd-Dan Ryan","03/19/2018","W",2881,2018-03-19,3,"Mar",2018,19,"Monday","(41.780536, -87.630952)","red"
"5639",40910,"63rd-Dan Ryan","01/24/2018","W",2981,2018-01-24,1,"Jan",2018,24,"Wednesday","(41.780536, -87.630952)","red"
"5735",40910,"63rd-Dan Ryan","01/30/2018","W",2824,2018-01-30,1,"Jan",2018,30,"Tuesday","(41.780536, -87.630952)","red"
"6227",40910,"63rd-Dan Ryan","02/14/2018","W",3116,2018-02-14,2,"Feb",2018,14,"Wednesday","(41.780536, -87.630952)","red"
"6309",40910,"63rd-Dan Ryan","01/02/2018","W",1864,2018-01-02,1,"Jan",2018,2,"Tuesday","(41.780536, -87.630952)","red"
"6355",40910,"63rd-Dan Ryan","02/22/2018","W",2998,2018-02-22,2,"Feb",2018,22,"Thursday","(41.780536, -87.630952)","red"
"6757",40910,"63rd-Dan Ryan","01/19/2018","W",2922,2018-01-19,1,"Jan",2018,19,"Friday","(41.780536, -87.630952)","red"
"6851",40910,"63rd-Dan Ryan","01/01/2018","U",1109,2018-01-01,1,"Jan",2018,1,"Monday","(41.780536, -87.630952)","red"
"7078",40910,"63rd-Dan Ryan","02/24/2018","A",2036,2018-02-24,2,"Feb",2018,24,"Saturday","(41.780536, -87.630952)","red"
"7344",40910,"63rd-Dan Ryan","01/16/2018","W",2800,2018-01-16,1,"Jan",2018,16,"Tuesday","(41.780536, -87.630952)","red"
"7502",40910,"63rd-Dan Ryan","02/21/2018","W",3005,2018-02-21,2,"Feb",2018,21,"Wednesday","(41.780536, -87.630952)","red"
"7551",40910,"63rd-Dan Ryan","02/16/2018","W",2993,2018-02-16,2,"Feb",2018,16,"Friday","(41.780536, -87.630952)","red"
"7678",40910,"63rd-Dan Ryan","03/02/2018","W",2920,2018-03-02,3,"Mar",2018,2,"Friday","(41.780536, -87.630952)","red"
"7685",40910,"63rd-Dan Ryan","03/13/2018","W",2935,2018-03-13,3,"Mar",2018,13,"Tuesday","(41.780536, -87.630952)","red"
"7774",40910,"63rd-Dan Ryan","03/05/2018","W",2906,2018-03-05,3,"Mar",2018,5,"Monday","(41.780536, -87.630952)","red"
"8014",40910,"63rd-Dan Ryan","03/20/2018","W",2941,2018-03-20,3,"Mar",2018,20,"Tuesday","(41.780536, -87.630952)","red"
