"","station_id","stationname","date","daytype","rides","loc","lineColor"
"123",40710,"Chicago/Franklin","12/23/2017","A",1736,"(41.89681, -87.635924)","purple_exp"
"199",40710,"Chicago/Franklin","12/08/2017","W",7072,"(41.89681, -87.635924)","purple_exp"
"219",40710,"Chicago/Franklin","12/22/2017","W",4686,"(41.89681, -87.635924)","purple_exp"
"220",40710,"Chicago/Franklin","12/17/2017","U",1477,"(41.89681, -87.635924)","purple_exp"
"485",40710,"Chicago/Franklin","12/07/2017","W",7411,"(41.89681, -87.635924)","purple_exp"
"700",40710,"Chicago/Franklin","12/10/2017","U",1639,"(41.89681, -87.635924)","purple_exp"
"1023",40710,"Chicago/Franklin","12/06/2017","W",7448,"(41.89681, -87.635924)","purple_exp"
"1182",40710,"Chicago/Franklin","12/15/2017","W",6557,"(41.89681, -87.635924)","purple_exp"
"1552",40710,"Chicago/Franklin","12/27/2017","W",3695,"(41.89681, -87.635924)","purple_exp"
"1615",40710,"Chicago/Franklin","12/19/2017","W",6901,"(41.89681, -87.635924)","purple_exp"
"1625",40710,"Chicago/Franklin","12/30/2017","A",1621,"(41.89681, -87.635924)","purple_exp"
"1643",40710,"Chicago/Franklin","12/04/2017","W",7353,"(41.89681, -87.635924)","purple_exp"
"1657",40710,"Chicago/Franklin","12/14/2017","W",7019,"(41.89681, -87.635924)","purple_exp"
"1853",40710,"Chicago/Franklin","12/02/2017","A",3186,"(41.89681, -87.635924)","purple_exp"
"1951",40710,"Chicago/Franklin","12/09/2017","A",2779,"(41.89681, -87.635924)","purple_exp"
"1969",40710,"Chicago/Franklin","12/20/2017","W",6715,"(41.89681, -87.635924)","purple_exp"
"2372",40710,"Chicago/Franklin","12/25/2017","U",418,"(41.89681, -87.635924)","purple_exp"
"2432",40710,"Chicago/Franklin","12/13/2017","W",7271,"(41.89681, -87.635924)","purple_exp"
"2453",40710,"Chicago/Franklin","12/11/2017","W",7023,"(41.89681, -87.635924)","purple_exp"
"2825",40710,"Chicago/Franklin","12/12/2017","W",7139,"(41.89681, -87.635924)","purple_exp"
"2916",40710,"Chicago/Franklin","12/18/2017","W",6886,"(41.89681, -87.635924)","purple_exp"
"2930",40710,"Chicago/Franklin","12/01/2017","W",7369,"(41.89681, -87.635924)","purple_exp"
"2980",40710,"Chicago/Franklin","12/29/2017","W",3781,"(41.89681, -87.635924)","purple_exp"
"3023",40710,"Chicago/Franklin","12/26/2017","W",2348,"(41.89681, -87.635924)","purple_exp"
"3157",40710,"Chicago/Franklin","12/24/2017","U",791,"(41.89681, -87.635924)","purple_exp"
"3351",40710,"Chicago/Franklin","12/31/2017","U",1060,"(41.89681, -87.635924)","purple_exp"
"3352",40710,"Chicago/Franklin","12/05/2017","W",7217,"(41.89681, -87.635924)","purple_exp"
"3479",40710,"Chicago/Franklin","12/03/2017","U",1938,"(41.89681, -87.635924)","purple_exp"
"3597",40710,"Chicago/Franklin","12/21/2017","W",6289,"(41.89681, -87.635924)","purple_exp"
"3929",40710,"Chicago/Franklin","12/28/2017","W",3924,"(41.89681, -87.635924)","purple_exp"
"4182",40710,"Chicago/Franklin","12/16/2017","A",2626,"(41.89681, -87.635924)","purple_exp"
"4639",40710,"Chicago/Franklin","03/17/2018","A",4445,"(41.89681, -87.635924)","purple_exp"
"4670",40710,"Chicago/Franklin","02/08/2018","W",7331,"(41.89681, -87.635924)","purple_exp"
"4781",40710,"Chicago/Franklin","03/11/2018","U",1353,"(41.89681, -87.635924)","purple_exp"
"4852",40710,"Chicago/Franklin","02/09/2018","W",4822,"(41.89681, -87.635924)","purple_exp"
"4868",40710,"Chicago/Franklin","03/04/2018","U",1485,"(41.89681, -87.635924)","purple_exp"
"5043",40710,"Chicago/Franklin","03/08/2018","W",7123,"(41.89681, -87.635924)","purple_exp"
"5584",40710,"Chicago/Franklin","03/03/2018","A",2852,"(41.89681, -87.635924)","purple_exp"
"5663",40710,"Chicago/Franklin","03/25/2018","U",1735,"(41.89681, -87.635924)","purple_exp"
"5845",40710,"Chicago/Franklin","02/04/2018","U",1408,"(41.89681, -87.635924)","purple_exp"
"6030",40710,"Chicago/Franklin","03/09/2018","W",6692,"(41.89681, -87.635924)","purple_exp"
"6219",40710,"Chicago/Franklin","02/13/2018","W",7564,"(41.89681, -87.635924)","purple_exp"
"6220",40710,"Chicago/Franklin","02/02/2018","W",6350,"(41.89681, -87.635924)","purple_exp"
"6361",40710,"Chicago/Franklin","01/20/2018","A",2995,"(41.89681, -87.635924)","purple_exp"
"6621",40710,"Chicago/Franklin","02/27/2018","W",7443,"(41.89681, -87.635924)","purple_exp"
"6785",40710,"Chicago/Franklin","02/17/2018","A",2632,"(41.89681, -87.635924)","purple_exp"
"6840",40710,"Chicago/Franklin","02/22/2018","W",7282,"(41.89681, -87.635924)","purple_exp"
"6985",40710,"Chicago/Franklin","01/29/2018","W",6928,"(41.89681, -87.635924)","purple_exp"
"7139",40710,"Chicago/Franklin","01/15/2018","W",4560,"(41.89681, -87.635924)","purple_exp"
"7141",40710,"Chicago/Franklin","03/10/2018","A",2691,"(41.89681, -87.635924)","purple_exp"
"7372",40710,"Chicago/Franklin","03/30/2018","W",5676,"(41.89681, -87.635924)","purple_exp"
"7378",40710,"Chicago/Franklin","01/16/2018","W",7092,"(41.89681, -87.635924)","purple_exp"
"7429",40710,"Chicago/Franklin","01/14/2018","U",1376,"(41.89681, -87.635924)","purple_exp"
"7616",40710,"Chicago/Franklin","01/10/2018","W",7092,"(41.89681, -87.635924)","purple_exp"
"7695",40710,"Chicago/Franklin","02/16/2018","W",6906,"(41.89681, -87.635924)","purple_exp"
"7713",40710,"Chicago/Franklin","01/22/2018","W",6902,"(41.89681, -87.635924)","purple_exp"
"7808",40710,"Chicago/Franklin","02/18/2018","U",1768,"(41.89681, -87.635924)","purple_exp"
"7811",40710,"Chicago/Franklin","02/19/2018","W",4926,"(41.89681, -87.635924)","purple_exp"
"7898",40710,"Chicago/Franklin","03/27/2018","W",7122,"(41.89681, -87.635924)","purple_exp"
"7924",40710,"Chicago/Franklin","03/02/2018","W",7139,"(41.89681, -87.635924)","purple_exp"
"7926",40710,"Chicago/Franklin","01/23/2018","W",7306,"(41.89681, -87.635924)","purple_exp"
"7967",40710,"Chicago/Franklin","03/22/2018","W",7237,"(41.89681, -87.635924)","purple_exp"
"8031",40710,"Chicago/Franklin","03/01/2018","W",7135,"(41.89681, -87.635924)","purple_exp"
"8055",40710,"Chicago/Franklin","01/03/2018","W",5847,"(41.89681, -87.635924)","purple_exp"
"8320",40710,"Chicago/Franklin","03/29/2018","W",7039,"(41.89681, -87.635924)","purple_exp"
"8424",40710,"Chicago/Franklin","01/13/2018","A",2246,"(41.89681, -87.635924)","purple_exp"
"8787",40710,"Chicago/Franklin","03/23/2018","W",6664,"(41.89681, -87.635924)","purple_exp"
"8834",40710,"Chicago/Franklin","02/03/2018","A",2459,"(41.89681, -87.635924)","purple_exp"
"8949",40710,"Chicago/Franklin","01/12/2018","W",6278,"(41.89681, -87.635924)","purple_exp"
"8999",40710,"Chicago/Franklin","01/27/2018","A",2717,"(41.89681, -87.635924)","purple_exp"
"9047",40710,"Chicago/Franklin","03/13/2018","W",7409,"(41.89681, -87.635924)","purple_exp"
"9109",40710,"Chicago/Franklin","03/26/2018","W",6944,"(41.89681, -87.635924)","purple_exp"
"9205",40710,"Chicago/Franklin","01/09/2018","W",6993,"(41.89681, -87.635924)","purple_exp"
"9566",40710,"Chicago/Franklin","01/08/2018","W",6790,"(41.89681, -87.635924)","purple_exp"
"9988",40710,"Chicago/Franklin","02/20/2018","W",7302,"(41.89681, -87.635924)","purple_exp"
"10006",40710,"Chicago/Franklin","03/16/2018","W",7028,"(41.89681, -87.635924)","purple_exp"
"10319",40710,"Chicago/Franklin","03/05/2018","W",6725,"(41.89681, -87.635924)","purple_exp"
"10495",40710,"Chicago/Franklin","02/11/2018","U",1597,"(41.89681, -87.635924)","purple_exp"
"10527",40710,"Chicago/Franklin","02/21/2018","W",7481,"(41.89681, -87.635924)","purple_exp"
"10572",40710,"Chicago/Franklin","02/24/2018","A",2800,"(41.89681, -87.635924)","purple_exp"
"11009",40710,"Chicago/Franklin","02/05/2018","W",6841,"(41.89681, -87.635924)","purple_exp"
"11063",40710,"Chicago/Franklin","01/17/2018","W",7131,"(41.89681, -87.635924)","purple_exp"
"11143",40710,"Chicago/Franklin","02/01/2018","W",7027,"(41.89681, -87.635924)","purple_exp"
"11247",40710,"Chicago/Franklin","01/26/2018","W",6773,"(41.89681, -87.635924)","purple_exp"
"11359",40710,"Chicago/Franklin","03/07/2018","W",7185,"(41.89681, -87.635924)","purple_exp"
"11595",40710,"Chicago/Franklin","01/28/2018","U",1561,"(41.89681, -87.635924)","purple_exp"
"11634",40710,"Chicago/Franklin","02/12/2018","W",6777,"(41.89681, -87.635924)","purple_exp"
"11688",40710,"Chicago/Franklin","01/06/2018","A",1987,"(41.89681, -87.635924)","purple_exp"
"12211",40710,"Chicago/Franklin","02/26/2018","W",7177,"(41.89681, -87.635924)","purple_exp"
"12290",40710,"Chicago/Franklin","02/23/2018","W",6820,"(41.89681, -87.635924)","purple_exp"
"12420",40710,"Chicago/Franklin","03/18/2018","U",1877,"(41.89681, -87.635924)","purple_exp"
"12485",40710,"Chicago/Franklin","01/05/2018","W",5701,"(41.89681, -87.635924)","purple_exp"
"12904",40710,"Chicago/Franklin","01/31/2018","W",7248,"(41.89681, -87.635924)","purple_exp"
"13105",40710,"Chicago/Franklin","01/18/2018","W",7216,"(41.89681, -87.635924)","purple_exp"
"13473",40710,"Chicago/Franklin","03/20/2018","W",7291,"(41.89681, -87.635924)","purple_exp"
"13857",40710,"Chicago/Franklin","03/31/2018","A",2336,"(41.89681, -87.635924)","purple_exp"
"13955",40710,"Chicago/Franklin","02/10/2018","A",2523,"(41.89681, -87.635924)","purple_exp"
"13972",40710,"Chicago/Franklin","02/07/2018","W",7260,"(41.89681, -87.635924)","purple_exp"
"14045",40710,"Chicago/Franklin","03/19/2018","W",7078,"(41.89681, -87.635924)","purple_exp"
"14554",40710,"Chicago/Franklin","03/15/2018","W",7444,"(41.89681, -87.635924)","purple_exp"
"14603",40710,"Chicago/Franklin","03/14/2018","W",7419,"(41.89681, -87.635924)","purple_exp"
"14625",40710,"Chicago/Franklin","01/02/2018","W",5056,"(41.89681, -87.635924)","purple_exp"
"15018",40710,"Chicago/Franklin","02/06/2018","W",7130,"(41.89681, -87.635924)","purple_exp"
"15219",40710,"Chicago/Franklin","03/24/2018","A",2539,"(41.89681, -87.635924)","purple_exp"
"15450",40710,"Chicago/Franklin","01/24/2018","W",7303,"(41.89681, -87.635924)","purple_exp"
"15511",40710,"Chicago/Franklin","03/12/2018","W",7057,"(41.89681, -87.635924)","purple_exp"
"15597",40710,"Chicago/Franklin","03/06/2018","W",7028,"(41.89681, -87.635924)","purple_exp"
"15884",40710,"Chicago/Franklin","02/25/2018","U",1587,"(41.89681, -87.635924)","purple_exp"
"15885",40710,"Chicago/Franklin","01/04/2018","W",6023,"(41.89681, -87.635924)","purple_exp"
"15972",40710,"Chicago/Franklin","01/01/2018","U",1025,"(41.89681, -87.635924)","purple_exp"
"16001",40710,"Chicago/Franklin","01/07/2018","U",1190,"(41.89681, -87.635924)","purple_exp"
"16007",40710,"Chicago/Franklin","01/19/2018","W",6778,"(41.89681, -87.635924)","purple_exp"
"16057",40710,"Chicago/Franklin","02/15/2018","W",7289,"(41.89681, -87.635924)","purple_exp"
"16131",40710,"Chicago/Franklin","02/28/2018","W",7345,"(41.89681, -87.635924)","purple_exp"
"16188",40710,"Chicago/Franklin","03/21/2018","W",7300,"(41.89681, -87.635924)","purple_exp"
"16421",40710,"Chicago/Franklin","01/11/2018","W",7122,"(41.89681, -87.635924)","purple_exp"
"16725",40710,"Chicago/Franklin","01/25/2018","W",7184,"(41.89681, -87.635924)","purple_exp"
"16787",40710,"Chicago/Franklin","01/21/2018","U",1558,"(41.89681, -87.635924)","purple_exp"
"17042",40710,"Chicago/Franklin","02/14/2018","W",7712,"(41.89681, -87.635924)","purple_exp"
"17258",40710,"Chicago/Franklin","03/28/2018","W",7025,"(41.89681, -87.635924)","purple_exp"
"17315",40710,"Chicago/Franklin","01/30/2018","W",7210,"(41.89681, -87.635924)","purple_exp"
"17746",40710,"Chicago/Franklin","05/27/2018","U",1960,"(41.89681, -87.635924)","purple_exp"
"17821",40710,"Chicago/Franklin","04/15/2018","U",1759,"(41.89681, -87.635924)","purple_exp"
"17851",40710,"Chicago/Franklin","05/29/2018","W",7242,"(41.89681, -87.635924)","purple_exp"
"17905",40710,"Chicago/Franklin","04/18/2018","W",7272,"(41.89681, -87.635924)","purple_exp"
"18172",40710,"Chicago/Franklin","06/12/2018","W",7751,"(41.89681, -87.635924)","purple_exp"
"18332",40710,"Chicago/Franklin","06/08/2018","W",7152,"(41.89681, -87.635924)","purple_exp"
