"","station_id","stationname","date","daytype","rides","loc","lineColor"
"465",40880,"Thorndale","12/17/2017","U",1472,"(41.990259, -87.659076)","red"
"629",40880,"Thorndale","12/16/2017","A",2135,"(41.990259, -87.659076)","red"
"660",40880,"Thorndale","12/24/2017","U",1114,"(41.990259, -87.659076)","red"
"891",40880,"Thorndale","12/06/2017","W",3374,"(41.990259, -87.659076)","red"
"1117",40880,"Thorndale","12/04/2017","W",3250,"(41.990259, -87.659076)","red"
"1198",40880,"Thorndale","12/12/2017","W",3271,"(41.990259, -87.659076)","red"
"1600",40880,"Thorndale","12/25/2017","U",616,"(41.990259, -87.659076)","red"
"1664",40880,"Thorndale","12/19/2017","W",3135,"(41.990259, -87.659076)","red"
"1940",40880,"Thorndale","12/05/2017","W",3251,"(41.990259, -87.659076)","red"
"2133",40880,"Thorndale","12/20/2017","W",3083,"(41.990259, -87.659076)","red"
"2136",40880,"Thorndale","12/01/2017","W",3521,"(41.990259, -87.659076)","red"
"2184",40880,"Thorndale","12/11/2017","W",3152,"(41.990259, -87.659076)","red"
"2185",40880,"Thorndale","12/29/2017","W",1955,"(41.990259, -87.659076)","red"
"2395",40880,"Thorndale","12/27/2017","W",1620,"(41.990259, -87.659076)","red"
"2625",40880,"Thorndale","12/18/2017","W",3077,"(41.990259, -87.659076)","red"
"2664",40880,"Thorndale","12/13/2017","W",3202,"(41.990259, -87.659076)","red"
"2790",40880,"Thorndale","12/08/2017","W",3248,"(41.990259, -87.659076)","red"
"2955",40880,"Thorndale","12/31/2017","U",1441,"(41.990259, -87.659076)","red"
"2981",40880,"Thorndale","12/14/2017","W",3328,"(41.990259, -87.659076)","red"
"3092",40880,"Thorndale","12/23/2017","A",1583,"(41.990259, -87.659076)","red"
"3204",40880,"Thorndale","12/28/2017","W",1797,"(41.990259, -87.659076)","red"
"3342",40880,"Thorndale","12/07/2017","W",3393,"(41.990259, -87.659076)","red"
"3519",40880,"Thorndale","12/09/2017","A",2094,"(41.990259, -87.659076)","red"
"3533",40880,"Thorndale","12/22/2017","W",2703,"(41.990259, -87.659076)","red"
"3544",40880,"Thorndale","12/26/2017","W",1374,"(41.990259, -87.659076)","red"
"3553",40880,"Thorndale","12/21/2017","W",3004,"(41.990259, -87.659076)","red"
"3696",40880,"Thorndale","12/30/2017","A",1430,"(41.990259, -87.659076)","red"
"3717",40880,"Thorndale","12/15/2017","W",3272,"(41.990259, -87.659076)","red"
"3801",40880,"Thorndale","12/02/2017","A",2159,"(41.990259, -87.659076)","red"
"3965",40880,"Thorndale","12/03/2017","U",1670,"(41.990259, -87.659076)","red"
"4427",40880,"Thorndale","12/10/2017","U",1482,"(41.990259, -87.659076)","red"
"4633",40880,"Thorndale","03/15/2018","W",3395,"(41.990259, -87.659076)","red"
"4640",40880,"Thorndale","03/13/2018","W",3283,"(41.990259, -87.659076)","red"
"4726",40880,"Thorndale","01/05/2018","W",2281,"(41.990259, -87.659076)","red"
"4796",40880,"Thorndale","03/07/2018","W",3243,"(41.990259, -87.659076)","red"
"4813",40880,"Thorndale","01/20/2018","A",2099,"(41.990259, -87.659076)","red"
"4833",40880,"Thorndale","03/12/2018","W",3150,"(41.990259, -87.659076)","red"
"4945",40880,"Thorndale","02/03/2018","A",1920,"(41.990259, -87.659076)","red"
"5246",40880,"Thorndale","03/29/2018","W",2686,"(41.990259, -87.659076)","red"
"5383",40880,"Thorndale","02/17/2018","A",2024,"(41.990259, -87.659076)","red"
"5428",40880,"Thorndale","01/29/2018","W",3244,"(41.990259, -87.659076)","red"
"5566",40880,"Thorndale","01/10/2018","W",3030,"(41.990259, -87.659076)","red"
"5601",40880,"Thorndale","02/02/2018","W",2654,"(41.990259, -87.659076)","red"
"5850",40880,"Thorndale","01/26/2018","W",3293,"(41.990259, -87.659076)","red"
"5946",40880,"Thorndale","03/23/2018","W",3192,"(41.990259, -87.659076)","red"
"6006",40880,"Thorndale","02/18/2018","U",1528,"(41.990259, -87.659076)","red"
"6112",40880,"Thorndale","02/19/2018","W",2164,"(41.990259, -87.659076)","red"
"6293",40880,"Thorndale","02/15/2018","W",3352,"(41.990259, -87.659076)","red"
"6354",40880,"Thorndale","03/20/2018","W",3335,"(41.990259, -87.659076)","red"
"6548",40880,"Thorndale","02/10/2018","A",2001,"(41.990259, -87.659076)","red"
"6753",40880,"Thorndale","02/16/2018","W",3299,"(41.990259, -87.659076)","red"
"6868",40880,"Thorndale","01/03/2018","W",2247,"(41.990259, -87.659076)","red"
"7107",40880,"Thorndale","03/01/2018","W",3236,"(41.990259, -87.659076)","red"
"7280",40880,"Thorndale","02/12/2018","W",3147,"(41.990259, -87.659076)","red"
"7314",40880,"Thorndale","01/21/2018","U",1372,"(41.990259, -87.659076)","red"
"7619",40880,"Thorndale","02/08/2018","W",3367,"(41.990259, -87.659076)","red"
"7725",40880,"Thorndale","01/18/2018","W",3233,"(41.990259, -87.659076)","red"
"7791",40880,"Thorndale","02/24/2018","A",2058,"(41.990259, -87.659076)","red"
"7936",40880,"Thorndale","03/22/2018","W",3412,"(41.990259, -87.659076)","red"
"8113",40880,"Thorndale","01/28/2018","U",1430,"(41.990259, -87.659076)","red"
"8296",40880,"Thorndale","01/24/2018","W",3244,"(41.990259, -87.659076)","red"
"8337",40880,"Thorndale","02/11/2018","U",1565,"(41.990259, -87.659076)","red"
"8519",40880,"Thorndale","03/27/2018","W",2603,"(41.990259, -87.659076)","red"
"8526",40880,"Thorndale","01/27/2018","A",2018,"(41.990259, -87.659076)","red"
"8685",40880,"Thorndale","03/14/2018","W",3300,"(41.990259, -87.659076)","red"
"8730",40880,"Thorndale","03/24/2018","A",1883,"(41.990259, -87.659076)","red"
"9041",40880,"Thorndale","02/09/2018","W",2294,"(41.990259, -87.659076)","red"
"9057",40880,"Thorndale","02/20/2018","W",3226,"(41.990259, -87.659076)","red"
"9083",40880,"Thorndale","01/23/2018","W",3232,"(41.990259, -87.659076)","red"
"9156",40880,"Thorndale","02/01/2018","W",3332,"(41.990259, -87.659076)","red"
"9221",40880,"Thorndale","03/31/2018","A",1730,"(41.990259, -87.659076)","red"
"9352",40880,"Thorndale","02/28/2018","W",3136,"(41.990259, -87.659076)","red"
"9706",40880,"Thorndale","01/11/2018","W",3157,"(41.990259, -87.659076)","red"
"9853",40880,"Thorndale","01/09/2018","W",3066,"(41.990259, -87.659076)","red"
"10172",40880,"Thorndale","01/30/2018","W",3266,"(41.990259, -87.659076)","red"
"10546",40880,"Thorndale","03/02/2018","W",3219,"(41.990259, -87.659076)","red"
"10829",40880,"Thorndale","02/06/2018","W",3111,"(41.990259, -87.659076)","red"
"10855",40880,"Thorndale","03/03/2018","A",2009,"(41.990259, -87.659076)","red"
"11166",40880,"Thorndale","03/06/2018","W",3292,"(41.990259, -87.659076)","red"
"11274",40880,"Thorndale","01/22/2018","W",3129,"(41.990259, -87.659076)","red"
"12008",40880,"Thorndale","01/15/2018","W",1868,"(41.990259, -87.659076)","red"
"12037",40880,"Thorndale","02/04/2018","U",1374,"(41.990259, -87.659076)","red"
"12200",40880,"Thorndale","03/10/2018","A",1884,"(41.990259, -87.659076)","red"
"12380",40880,"Thorndale","02/23/2018","W",3252,"(41.990259, -87.659076)","red"
"12453",40880,"Thorndale","02/07/2018","W",3270,"(41.990259, -87.659076)","red"
"12893",40880,"Thorndale","02/22/2018","W",3259,"(41.990259, -87.659076)","red"
"12999",40880,"Thorndale","02/21/2018","W",3237,"(41.990259, -87.659076)","red"
"13100",40880,"Thorndale","03/21/2018","W",3265,"(41.990259, -87.659076)","red"
"13222",40880,"Thorndale","02/25/2018","U",1467,"(41.990259, -87.659076)","red"
"13296",40880,"Thorndale","03/09/2018","W",3246,"(41.990259, -87.659076)","red"
"13541",40880,"Thorndale","03/08/2018","W",3341,"(41.990259, -87.659076)","red"
"13563",40880,"Thorndale","01/17/2018","W",3130,"(41.990259, -87.659076)","red"
"13690",40880,"Thorndale","03/25/2018","U",1546,"(41.990259, -87.659076)","red"
"13749",40880,"Thorndale","03/11/2018","U",1444,"(41.990259, -87.659076)","red"
"13793",40880,"Thorndale","01/04/2018","W",2313,"(41.990259, -87.659076)","red"
"13838",40880,"Thorndale","02/13/2018","W",3340,"(41.990259, -87.659076)","red"
"13932",40880,"Thorndale","02/05/2018","W",3035,"(41.990259, -87.659076)","red"
"14109",40880,"Thorndale","02/14/2018","W",3379,"(41.990259, -87.659076)","red"
"14167",40880,"Thorndale","01/14/2018","U",1389,"(41.990259, -87.659076)","red"
"14174",40880,"Thorndale","03/18/2018","U",1534,"(41.990259, -87.659076)","red"
"14272",40880,"Thorndale","03/30/2018","W",2459,"(41.990259, -87.659076)","red"
"14421",40880,"Thorndale","03/19/2018","W",3256,"(41.990259, -87.659076)","red"
"14873",40880,"Thorndale","01/08/2018","W",3004,"(41.990259, -87.659076)","red"
"15030",40880,"Thorndale","01/13/2018","A",1709,"(41.990259, -87.659076)","red"
"15164",40880,"Thorndale","01/31/2018","W",3204,"(41.990259, -87.659076)","red"
"15328",40880,"Thorndale","03/16/2018","W",3330,"(41.990259, -87.659076)","red"
"15733",40880,"Thorndale","03/26/2018","W",2474,"(41.990259, -87.659076)","red"
"15830",40880,"Thorndale","01/07/2018","U",1301,"(41.990259, -87.659076)","red"
"15970",40880,"Thorndale","02/27/2018","W",3245,"(41.990259, -87.659076)","red"
"16196",40880,"Thorndale","01/19/2018","W",3238,"(41.990259, -87.659076)","red"
"16251",40880,"Thorndale","01/06/2018","A",1478,"(41.990259, -87.659076)","red"
"16632",40880,"Thorndale","03/28/2018","W",2669,"(41.990259, -87.659076)","red"
"16663",40880,"Thorndale","02/26/2018","W",3132,"(41.990259, -87.659076)","red"
"16712",40880,"Thorndale","01/12/2018","W",2584,"(41.990259, -87.659076)","red"
"16822",40880,"Thorndale","01/25/2018","W",3324,"(41.990259, -87.659076)","red"
"17166",40880,"Thorndale","01/02/2018","W",1988,"(41.990259, -87.659076)","red"
"17216",40880,"Thorndale","03/04/2018","U",1486,"(41.990259, -87.659076)","red"
"17343",40880,"Thorndale","03/17/2018","A",2387,"(41.990259, -87.659076)","red"
"17363",40880,"Thorndale","01/01/2018","U",965,"(41.990259, -87.659076)","red"
"17495",40880,"Thorndale","01/16/2018","W",3182,"(41.990259, -87.659076)","red"
"17502",40880,"Thorndale","03/05/2018","W",3111,"(41.990259, -87.659076)","red"
"17550",40880,"Thorndale","06/30/2018","A",2272,"(41.990259, -87.659076)","red"
"17560",40880,"Thorndale","04/18/2018","W",3073,"(41.990259, -87.659076)","red"
"17571",40880,"Thorndale","06/15/2018","W",3108,"(41.990259, -87.659076)","red"
"17609",40880,"Thorndale","06/06/2018","W",3222,"(41.990259, -87.659076)","red"
"17690",40880,"Thorndale","05/19/2018","A",1999,"(41.990259, -87.659076)","red"
"17947",40880,"Thorndale","04/09/2018","W",3122,"(41.990259, -87.659076)","red"
"18134",40880,"Thorndale","05/31/2018","W",3326,"(41.990259, -87.659076)","red"
"18168",40880,"Thorndale","05/05/2018","A",2106,"(41.990259, -87.659076)","red"
"18333",40880,"Thorndale","04/05/2018","W",3352,"(41.990259, -87.659076)","red"
"18509",40880,"Thorndale","05/14/2018","W",2878,"(41.990259, -87.659076)","red"
"18667",40880,"Thorndale","06/26/2018","W",2761,"(41.990259, -87.659076)","red"
"18719",40880,"Thorndale","05/10/2018","W",3295,"(41.990259, -87.659076)","red"
"18725",40880,"Thorndale","05/27/2018","U",1659,"(41.990259, -87.659076)","red"
"18976",40880,"Thorndale","06/25/2018","W",2666,"(41.990259, -87.659076)","red"
"19209",40880,"Thorndale","05/06/2018","U",1482,"(41.990259, -87.659076)","red"
"19388",40880,"Thorndale","04/03/2018","W",3267,"(41.990259, -87.659076)","red"
"19597",40880,"Thorndale","04/21/2018","A",1939,"(41.990259, -87.659076)","red"
"19683",40880,"Thorndale","06/19/2018","W",3120,"(41.990259, -87.659076)","red"
"19995",40880,"Thorndale","04/24/2018","W",3272,"(41.990259, -87.659076)","red"
"20051",40880,"Thorndale","06/03/2018","U",1525,"(41.990259, -87.659076)","red"
"20066",40880,"Thorndale","06/18/2018","W",2929,"(41.990259, -87.659076)","red"
"20089",40880,"Thorndale","04/11/2018","W",3332,"(41.990259, -87.659076)","red"
"20188",40880,"Thorndale","04/29/2018","U",1553,"(41.990259, -87.659076)","red"
"20229",40880,"Thorndale","04/15/2018","U",1352,"(41.990259, -87.659076)","red"
"20534",40880,"Thorndale","06/21/2018","W",2787,"(41.990259, -87.659076)","red"
"20538",40880,"Thorndale","04/19/2018","W",2967,"(41.990259, -87.659076)","red"
"20728",40880,"Thorndale","05/08/2018","W",3259,"(41.990259, -87.659076)","red"
"20780",40880,"Thorndale","04/17/2018","W",3267,"(41.990259, -87.659076)","red"
"20888",40880,"Thorndale","05/18/2018","W",3198,"(41.990259, -87.659076)","red"
"20892",40880,"Thorndale","06/11/2018","W",3131,"(41.990259, -87.659076)","red"
"21035",40880,"Thorndale","06/05/2018","W",3410,"(41.990259, -87.659076)","red"
"21119",40880,"Thorndale","04/20/2018","W",3209,"(41.990259, -87.659076)","red"
"21290",40880,"Thorndale","04/06/2018","W",3295,"(41.990259, -87.659076)","red"
"21465",40880,"Thorndale","06/28/2018","W",2901,"(41.990259, -87.659076)","red"
"21583",40880,"Thorndale","05/30/2018","W",3200,"(41.990259, -87.659076)","red"
"21892",40880,"Thorndale","05/07/2018","W",3009,"(41.990259, -87.659076)","red"
"22059",40880,"Thorndale","04/10/2018","W",2976,"(41.990259, -87.659076)","red"
"22313",40880,"Thorndale","06/08/2018","W",3260,"(41.990259, -87.659076)","red"
"22397",40880,"Thorndale","06/27/2018","W",2782,"(41.990259, -87.659076)","red"
"22464",40880,"Thorndale","06/24/2018","U",2297,"(41.990259, -87.659076)","red"
"22494",40880,"Thorndale","05/01/2018","W",3316,"(41.990259, -87.659076)","red"
"22650",40880,"Thorndale","04/02/2018","W",3037,"(41.990259, -87.659076)","red"
"22872",40880,"Thorndale","04/12/2018","W",3289,"(41.990259, -87.659076)","red"
"23079",40880,"Thorndale","04/30/2018","W",3104,"(41.990259, -87.659076)","red"
"23594",40880,"Thorndale","04/14/2018","A",1887,"(41.990259, -87.659076)","red"
"23767",40880,"Thorndale","04/13/2018","W",2738,"(41.990259, -87.659076)","red"
"23833",40880,"Thorndale","05/13/2018","U",1458,"(41.990259, -87.659076)","red"
"23884",40880,"Thorndale","05/23/2018","W",3253,"(41.990259, -87.659076)","red"
"24059",40880,"Thorndale","06/02/2018","A",2016,"(41.990259, -87.659076)","red"
"24096",40880,"Thorndale","06/04/2018","W",3008,"(41.990259, -87.659076)","red"
"24143",40880,"Thorndale","04/22/2018","U",1417,"(41.990259, -87.659076)","red"
"24193",40880,"Thorndale","06/20/2018","W",2810,"(41.990259, -87.659076)","red"
"24419",40880,"Thorndale","06/23/2018","A",2134,"(41.990259, -87.659076)","red"
"24448",40880,"Thorndale","05/28/2018","U",1510,"(41.990259, -87.659076)","red"
"24520",40880,"Thorndale","04/27/2018","W",3270,"(41.990259, -87.659076)","red"
"24555",40880,"Thorndale","06/14/2018","W",3176,"(41.990259, -87.659076)","red"
"24629",40880,"Thorndale","05/20/2018","U",1375,"(41.990259, -87.659076)","red"
"25024",40880,"Thorndale","06/17/2018","U",1594,"(41.990259, -87.659076)","red"
"25170",40880,"Thorndale","04/08/2018","U",1439,"(41.990259, -87.659076)","red"
"25483",40880,"Thorndale","04/23/2018","W",3097,"(41.990259, -87.659076)","red"
"25603",40880,"Thorndale","06/16/2018","A",2226,"(41.990259, -87.659076)","red"
"25638",40880,"Thorndale","06/29/2018","W",2877,"(41.990259, -87.659076)","red"
"25830",40880,"Thorndale","04/04/2018","W",3156,"(41.990259, -87.659076)","red"
"25950",40880,"Thorndale","05/25/2018","W",3095,"(41.990259, -87.659076)","red"
"26010",40880,"Thorndale","06/07/2018","W",3303,"(41.990259, -87.659076)","red"
"26243",40880,"Thorndale","04/07/2018","A",1915,"(41.990259, -87.659076)","red"
"26365",40880,"Thorndale","05/16/2018","W",3222,"(41.990259, -87.659076)","red"
"26651",40880,"Thorndale","05/09/2018","W",3236,"(41.990259, -87.659076)","red"
"26686",40880,"Thorndale","04/16/2018","W",3118,"(41.990259, -87.659076)","red"
"26729",40880,"Thorndale","04/28/2018","A",2020,"(41.990259, -87.659076)","red"
"26773",40880,"Thorndale","05/02/2018","W",3194,"(41.990259, -87.659076)","red"
"26840",40880,"Thorndale","05/22/2018","W",3221,"(41.990259, -87.659076)","red"
"26936",40880,"Thorndale","04/01/2018","U",1285,"(41.990259, -87.659076)","red"
"27050",40880,"Thorndale","05/04/2018","W",3307,"(41.990259, -87.659076)","red"
"27180",40880,"Thorndale","05/26/2018","A",2121,"(41.990259, -87.659076)","red"
"27199",40880,"Thorndale","05/17/2018","W",3201,"(41.990259, -87.659076)","red"
"27414",40880,"Thorndale","06/12/2018","W",3087,"(41.990259, -87.659076)","red"
"27711",40880,"Thorndale","06/10/2018","U",1503,"(41.990259, -87.659076)","red"
"27715",40880,"Thorndale","06/09/2018","A",2010,"(41.990259, -87.659076)","red"
"27889",40880,"Thorndale","05/03/2018","W",3398,"(41.990259, -87.659076)","red"
"28144",40880,"Thorndale","04/25/2018","W",3246,"(41.990259, -87.659076)","red"
"28179",40880,"Thorndale","06/22/2018","W",2765,"(41.990259, -87.659076)","red"
"28464",40880,"Thorndale","05/21/2018","W",2916,"(41.990259, -87.659076)","red"
"28794",40880,"Thorndale","05/29/2018","W",3066,"(41.990259, -87.659076)","red"
"28981",40880,"Thorndale","06/01/2018","W",3337,"(41.990259, -87.659076)","red"
"29108",40880,"Thorndale","05/15/2018","W",3226,"(41.990259, -87.659076)","red"
"29149",40880,"Thorndale","04/26/2018","W",3356,"(41.990259, -87.659076)","red"
"29877",40880,"Thorndale","06/13/2018","W",3145,"(41.990259, -87.659076)","red"
"29879",40880,"Thorndale","05/11/2018","W",3151,"(41.990259, -87.659076)","red"
"30246",40880,"Thorndale","05/12/2018","A",1814,"(41.990259, -87.659076)","red"
"30484",40880,"Thorndale","05/24/2018","W",3353,"(41.990259, -87.659076)","red"
"33141",40880,"Thorndale","07/01/2018","U",1557,"(41.990259, -87.659076)","red"
"33142",40880,"Thorndale","07/02/2018","W",2681,"(41.990259, -87.659076)","red"
"33143",40880,"Thorndale","07/03/2018","W",2740,"(41.990259, -87.659076)","red"
"33144",40880,"Thorndale","07/04/2018","U",1697,"(41.990259, -87.659076)","red"
"33145",40880,"Thorndale","07/05/2018","W",2525,"(41.990259, -87.659076)","red"
"33146",40880,"Thorndale","07/06/2018","W",2740,"(41.990259, -87.659076)","red"
"33147",40880,"Thorndale","07/07/2018","A",1964,"(41.990259, -87.659076)","red"
"33148",40880,"Thorndale","07/08/2018","U",1487,"(41.990259, -87.659076)","red"
"33149",40880,"Thorndale","07/09/2018","W",2628,"(41.990259, -87.659076)","red"
"33150",40880,"Thorndale","07/10/2018","W",2869,"(41.990259, -87.659076)","red"
"33151",40880,"Thorndale","07/11/2018","W",2821,"(41.990259, -87.659076)","red"
"33152",40880,"Thorndale","07/12/2018","W",2962,"(41.990259, -87.659076)","red"
"33153",40880,"Thorndale","07/13/2018","W",2993,"(41.990259, -87.659076)","red"
"33154",40880,"Thorndale","07/14/2018","A",1995,"(41.990259, -87.659076)","red"
"33155",40880,"Thorndale","07/15/2018","U",1600,"(41.990259, -87.659076)","red"
"33156",40880,"Thorndale","07/16/2018","W",2727,"(41.990259, -87.659076)","red"
"33157",40880,"Thorndale","07/17/2018","W",2775,"(41.990259, -87.659076)","red"
"33158",40880,"Thorndale","07/18/2018","W",2777,"(41.990259, -87.659076)","red"
"33159",40880,"Thorndale","07/19/2018","W",2835,"(41.990259, -87.659076)","red"
"33160",40880,"Thorndale","07/20/2018","W",2829,"(41.990259, -87.659076)","red"
"33161",40880,"Thorndale","07/21/2018","A",2146,"(41.990259, -87.659076)","red"
"33162",40880,"Thorndale","07/22/2018","U",1491,"(41.990259, -87.659076)","red"
"33163",40880,"Thorndale","07/23/2018","W",2661,"(41.990259, -87.659076)","red"
"33164",40880,"Thorndale","07/24/2018","W",2828,"(41.990259, -87.659076)","red"
"33165",40880,"Thorndale","07/25/2018","W",2764,"(41.990259, -87.659076)","red"
"33166",40880,"Thorndale","07/26/2018","W",2946,"(41.990259, -87.659076)","red"
"33167",40880,"Thorndale","07/27/2018","W",2767,"(41.990259, -87.659076)","red"
"33168",40880,"Thorndale","07/28/2018","A",2042,"(41.990259, -87.659076)","red"
"33169",40880,"Thorndale","07/29/2018","U",1603,"(41.990259, -87.659076)","red"
"33170",40880,"Thorndale","07/30/2018","W",2618,"(41.990259, -87.659076)","red"
