"","station_id","stationname","date","daytype","rides","loc","lineColor"
"212",40850,"Library","12/25/2017","U",392,"(41.876862, -87.628196)","brown"
"317",40850,"Library","12/15/2017","W",3109,"(41.876862, -87.628196)","brown"
"533",40850,"Library","12/05/2017","W",3767,"(41.876862, -87.628196)","brown"
"822",40850,"Library","12/31/2017","U",778,"(41.876862, -87.628196)","brown"
"862",40850,"Library","12/23/2017","A",1033,"(41.876862, -87.628196)","brown"
"943",40850,"Library","12/11/2017","W",3495,"(41.876862, -87.628196)","brown"
"1213",40850,"Library","12/02/2017","A",1868,"(41.876862, -87.628196)","brown"
"1488",40850,"Library","12/04/2017","W",3681,"(41.876862, -87.628196)","brown"
"1577",40850,"Library","12/08/2017","W",3360,"(41.876862, -87.628196)","brown"
"1809",40850,"Library","12/24/2017","U",706,"(41.876862, -87.628196)","brown"
"1839",40850,"Library","12/27/2017","W",1656,"(41.876862, -87.628196)","brown"
"1850",40850,"Library","12/10/2017","U",1146,"(41.876862, -87.628196)","brown"
"1884",40850,"Library","12/01/2017","W",3569,"(41.876862, -87.628196)","brown"
"2069",40850,"Library","12/03/2017","U",1480,"(41.876862, -87.628196)","brown"
"2082",40850,"Library","12/17/2017","U",1059,"(41.876862, -87.628196)","brown"
"2107",40850,"Library","12/19/2017","W",3110,"(41.876862, -87.628196)","brown"
"2180",40850,"Library","12/13/2017","W",3489,"(41.876862, -87.628196)","brown"
"2406",40850,"Library","12/12/2017","W",3514,"(41.876862, -87.628196)","brown"
"2849",40850,"Library","12/30/2017","A",1056,"(41.876862, -87.628196)","brown"
"3008",40850,"Library","12/18/2017","W",3045,"(41.876862, -87.628196)","brown"
"3091",40850,"Library","12/14/2017","W",3659,"(41.876862, -87.628196)","brown"
"3140",40850,"Library","12/20/2017","W",2969,"(41.876862, -87.628196)","brown"
"3257",40850,"Library","12/07/2017","W",3721,"(41.876862, -87.628196)","brown"
"3356",40850,"Library","12/21/2017","W",2871,"(41.876862, -87.628196)","brown"
"3459",40850,"Library","12/06/2017","W",3681,"(41.876862, -87.628196)","brown"
"3509",40850,"Library","12/09/2017","A",1823,"(41.876862, -87.628196)","brown"
"3623",40850,"Library","12/29/2017","W",1809,"(41.876862, -87.628196)","brown"
"3704",40850,"Library","12/26/2017","W",1342,"(41.876862, -87.628196)","brown"
"3911",40850,"Library","12/28/2017","W",1897,"(41.876862, -87.628196)","brown"
