"","station_id","stationname","date","daytype","rides","date_ymd","month","month_char","year","day","day_of_week","loc","lineColor"
"6451",41210,"Wellington","01/08/2018","W",3067,2018-01-08,1,"Jan",2018,8,"Monday","(41.936033, -87.653266)","purple_exp"
"6459",41210,"Wellington","01/05/2018","W",2654,2018-01-05,1,"Jan",2018,5,"Friday","(41.936033, -87.653266)","purple_exp"
"6494",41210,"Wellington","02/25/2018","U",843,2018-02-25,2,"Feb",2018,25,"Sunday","(41.936033, -87.653266)","purple_exp"
"6630",41210,"Wellington","02/27/2018","W",3249,2018-02-27,2,"Feb",2018,27,"Tuesday","(41.936033, -87.653266)","purple_exp"
"6685",41210,"Wellington","02/20/2018","W",3093,2018-02-20,2,"Feb",2018,20,"Tuesday","(41.936033, -87.653266)","purple_exp"
"6933",41210,"Wellington","02/01/2018","W",3212,2018-02-01,2,"Feb",2018,1,"Thursday","(41.936033, -87.653266)","purple_exp"
"7031",41210,"Wellington","02/16/2018","W",2936,2018-02-16,2,"Feb",2018,16,"Friday","(41.936033, -87.653266)","purple_exp"
"7038",41210,"Wellington","01/01/2018","U",507,2018-01-01,1,"Jan",2018,1,"Monday","(41.936033, -87.653266)","purple_exp"
"7044",41210,"Wellington","03/30/2018","W",2562,2018-03-30,3,"Mar",2018,30,"Friday","(41.936033, -87.653266)","purple_exp"
"7125",41210,"Wellington","01/27/2018","A",1417,2018-01-27,1,"Jan",2018,27,"Saturday","(41.936033, -87.653266)","purple_exp"
"7154",41210,"Wellington","03/26/2018","W",2894,2018-03-26,3,"Mar",2018,26,"Monday","(41.936033, -87.653266)","purple_exp"
"7187",41210,"Wellington","03/28/2018","W",3171,2018-03-28,3,"Mar",2018,28,"Wednesday","(41.936033, -87.653266)","purple_exp"
"7580",41210,"Wellington","01/26/2018","W",3106,2018-01-26,1,"Jan",2018,26,"Friday","(41.936033, -87.653266)","purple_exp"
"8096",41210,"Wellington","02/17/2018","A",1272,2018-02-17,2,"Feb",2018,17,"Saturday","(41.936033, -87.653266)","purple_exp"
"8119",41210,"Wellington","03/22/2018","W",3100,2018-03-22,3,"Mar",2018,22,"Thursday","(41.936033, -87.653266)","purple_exp"
"8122",41210,"Wellington","01/23/2018","W",3253,2018-01-23,1,"Jan",2018,23,"Tuesday","(41.936033, -87.653266)","purple_exp"
"8588",41210,"Wellington","01/11/2018","W",3213,2018-01-11,1,"Jan",2018,11,"Thursday","(41.936033, -87.653266)","purple_exp"
"8594",41210,"Wellington","03/06/2018","W",3119,2018-03-06,3,"Mar",2018,6,"Tuesday","(41.936033, -87.653266)","purple_exp"
"9146",41210,"Wellington","02/08/2018","W",3207,2018-02-08,2,"Feb",2018,8,"Thursday","(41.936033, -87.653266)","purple_exp"
"9547",41210,"Wellington","01/28/2018","U",850,2018-01-28,1,"Jan",2018,28,"Sunday","(41.936033, -87.653266)","purple_exp"
"9551",41210,"Wellington","03/17/2018","A",2646,2018-03-17,3,"Mar",2018,17,"Saturday","(41.936033, -87.653266)","purple_exp"
"9614",41210,"Wellington","01/19/2018","W",3065,2018-01-19,1,"Jan",2018,19,"Friday","(41.936033, -87.653266)","purple_exp"
"9720",41210,"Wellington","01/07/2018","U",777,2018-01-07,1,"Jan",2018,7,"Sunday","(41.936033, -87.653266)","purple_exp"
"9944",41210,"Wellington","03/31/2018","A",1085,2018-03-31,3,"Mar",2018,31,"Saturday","(41.936033, -87.653266)","purple_exp"
"9984",41210,"Wellington","01/09/2018","W",3116,2018-01-09,1,"Jan",2018,9,"Tuesday","(41.936033, -87.653266)","purple_exp"
"10615",41210,"Wellington","02/22/2018","W",3224,2018-02-22,2,"Feb",2018,22,"Thursday","(41.936033, -87.653266)","purple_exp"
"10782",41210,"Wellington","02/02/2018","W",2887,2018-02-02,2,"Feb",2018,2,"Friday","(41.936033, -87.653266)","purple_exp"
"10868",41210,"Wellington","03/21/2018","W",3093,2018-03-21,3,"Mar",2018,21,"Wednesday","(41.936033, -87.653266)","purple_exp"
"10935",41210,"Wellington","01/13/2018","A",1276,2018-01-13,1,"Jan",2018,13,"Saturday","(41.936033, -87.653266)","purple_exp"
"11259",41210,"Wellington","01/29/2018","W",3053,2018-01-29,1,"Jan",2018,29,"Monday","(41.936033, -87.653266)","purple_exp"
"11264",41210,"Wellington","01/06/2018","A",1082,2018-01-06,1,"Jan",2018,6,"Saturday","(41.936033, -87.653266)","purple_exp"
"11785",41210,"Wellington","03/08/2018","W",3236,2018-03-08,3,"Mar",2018,8,"Thursday","(41.936033, -87.653266)","purple_exp"
"11881",41210,"Wellington","02/15/2018","W",3243,2018-02-15,2,"Feb",2018,15,"Thursday","(41.936033, -87.653266)","purple_exp"
