"","station_id","stationname","date","daytype","rides","loc","lineColor"
"153",41170,"Garfield-Dan Ryan","12/22/2017","W",3040,"(41.79542, -87.631157)","red"
"501",41170,"Garfield-Dan Ryan","12/05/2017","W",3217,"(41.79542, -87.631157)","red"
"645",41170,"Garfield-Dan Ryan","12/27/2017","W",2016,"(41.79542, -87.631157)","red"
"910",41170,"Garfield-Dan Ryan","12/02/2017","A",2624,"(41.79542, -87.631157)","red"
"1034",41170,"Garfield-Dan Ryan","12/19/2017","W",2958,"(41.79542, -87.631157)","red"
"1048",41170,"Garfield-Dan Ryan","12/31/2017","U",1415,"(41.79542, -87.631157)","red"
"1097",41170,"Garfield-Dan Ryan","12/28/2017","W",2114,"(41.79542, -87.631157)","red"
"1242",41170,"Garfield-Dan Ryan","12/17/2017","U",1580,"(41.79542, -87.631157)","red"
"1465",41170,"Garfield-Dan Ryan","12/14/2017","W",3043,"(41.79542, -87.631157)","red"
"1601",41170,"Garfield-Dan Ryan","12/15/2017","W",3205,"(41.79542, -87.631157)","red"
"1685",41170,"Garfield-Dan Ryan","12/24/2017","U",1461,"(41.79542, -87.631157)","red"
"1785",41170,"Garfield-Dan Ryan","12/10/2017","U",1537,"(41.79542, -87.631157)","red"
"1885",41170,"Garfield-Dan Ryan","12/26/2017","W",1784,"(41.79542, -87.631157)","red"
"2024",41170,"Garfield-Dan Ryan","12/20/2017","W",3076,"(41.79542, -87.631157)","red"
"2310",41170,"Garfield-Dan Ryan","12/03/2017","U",1866,"(41.79542, -87.631157)","red"
"2314",41170,"Garfield-Dan Ryan","12/08/2017","W",3502,"(41.79542, -87.631157)","red"
"2351",41170,"Garfield-Dan Ryan","12/06/2017","W",3231,"(41.79542, -87.631157)","red"
"2360",41170,"Garfield-Dan Ryan","12/04/2017","W",3226,"(41.79542, -87.631157)","red"
"2705",41170,"Garfield-Dan Ryan","12/16/2017","A",2265,"(41.79542, -87.631157)","red"
"3330",41170,"Garfield-Dan Ryan","12/25/2017","U",831,"(41.79542, -87.631157)","red"
"3332",41170,"Garfield-Dan Ryan","12/18/2017","W",2945,"(41.79542, -87.631157)","red"
"3415",41170,"Garfield-Dan Ryan","12/23/2017","A",2075,"(41.79542, -87.631157)","red"
"3517",41170,"Garfield-Dan Ryan","12/13/2017","W",3094,"(41.79542, -87.631157)","red"
"3521",41170,"Garfield-Dan Ryan","12/01/2017","W",3642,"(41.79542, -87.631157)","red"
"3534",41170,"Garfield-Dan Ryan","12/21/2017","W",3012,"(41.79542, -87.631157)","red"
"3830",41170,"Garfield-Dan Ryan","12/07/2017","W",3204,"(41.79542, -87.631157)","red"
"3839",41170,"Garfield-Dan Ryan","12/09/2017","A",2213,"(41.79542, -87.631157)","red"
"4001",41170,"Garfield-Dan Ryan","12/12/2017","W",3022,"(41.79542, -87.631157)","red"
"4037",41170,"Garfield-Dan Ryan","12/11/2017","W",3011,"(41.79542, -87.631157)","red"
"4363",41170,"Garfield-Dan Ryan","12/30/2017","A",1637,"(41.79542, -87.631157)","red"
"4456",41170,"Garfield-Dan Ryan","12/29/2017","W",2494,"(41.79542, -87.631157)","red"
"4746",41170,"Garfield-Dan Ryan","01/31/2018","W",3067,"(41.79542, -87.631157)","red"
"4783",41170,"Garfield-Dan Ryan","03/17/2018","A",2310,"(41.79542, -87.631157)","red"
"5097",41170,"Garfield-Dan Ryan","02/25/2018","U",1690,"(41.79542, -87.631157)","red"
"5374",41170,"Garfield-Dan Ryan","03/12/2018","W",2861,"(41.79542, -87.631157)","red"
"5578",41170,"Garfield-Dan Ryan","03/03/2018","A",2576,"(41.79542, -87.631157)","red"
