"","station_id","stationname","date","daytype","rides","loc","lineColor"
"234",40970,"Cicero-Forest Park","12/10/2017","U",635,"(41.871574, -87.745154)","blue"
"289",40970,"Cicero-Forest Park","12/04/2017","W",1394,"(41.871574, -87.745154)","blue"
"548",40970,"Cicero-Forest Park","12/28/2017","W",939,"(41.871574, -87.745154)","blue"
"894",40970,"Cicero-Forest Park","12/05/2017","W",1353,"(41.871574, -87.745154)","blue"
"911",40970,"Cicero-Forest Park","12/16/2017","A",933,"(41.871574, -87.745154)","blue"
"974",40970,"Cicero-Forest Park","12/13/2017","W",1297,"(41.871574, -87.745154)","blue"
"990",40970,"Cicero-Forest Park","12/17/2017","U",700,"(41.871574, -87.745154)","blue"
"1223",40970,"Cicero-Forest Park","12/30/2017","A",689,"(41.871574, -87.745154)","blue"
"1265",40970,"Cicero-Forest Park","12/14/2017","W",1394,"(41.871574, -87.745154)","blue"
"1280",40970,"Cicero-Forest Park","12/22/2017","W",1271,"(41.871574, -87.745154)","blue"
"1391",40970,"Cicero-Forest Park","12/07/2017","W",1331,"(41.871574, -87.745154)","blue"
"1399",40970,"Cicero-Forest Park","12/02/2017","A",962,"(41.871574, -87.745154)","blue"
"1605",40970,"Cicero-Forest Park","12/03/2017","U",766,"(41.871574, -87.745154)","blue"
"1607",40970,"Cicero-Forest Park","12/15/2017","W",1271,"(41.871574, -87.745154)","blue"
"1644",40970,"Cicero-Forest Park","12/25/2017","U",492,"(41.871574, -87.745154)","blue"
"2241",40970,"Cicero-Forest Park","12/01/2017","W",1393,"(41.871574, -87.745154)","blue"
"2337",40970,"Cicero-Forest Park","12/11/2017","W",1271,"(41.871574, -87.745154)","blue"
"2425",40970,"Cicero-Forest Park","12/08/2017","W",1369,"(41.871574, -87.745154)","blue"
"2603",40970,"Cicero-Forest Park","12/21/2017","W",1228,"(41.871574, -87.745154)","blue"
"2775",40970,"Cicero-Forest Park","12/24/2017","U",554,"(41.871574, -87.745154)","blue"
"3093",40970,"Cicero-Forest Park","12/26/2017","W",770,"(41.871574, -87.745154)","blue"
"3180",40970,"Cicero-Forest Park","12/27/2017","W",944,"(41.871574, -87.745154)","blue"
"3243",40970,"Cicero-Forest Park","12/23/2017","A",761,"(41.871574, -87.745154)","blue"
"3394",40970,"Cicero-Forest Park","12/20/2017","W",1275,"(41.871574, -87.745154)","blue"
"3429",40970,"Cicero-Forest Park","12/18/2017","W",1222,"(41.871574, -87.745154)","blue"
"3449",40970,"Cicero-Forest Park","12/09/2017","A",890,"(41.871574, -87.745154)","blue"
"3671",40970,"Cicero-Forest Park","12/12/2017","W",1230,"(41.871574, -87.745154)","blue"
"3756",40970,"Cicero-Forest Park","12/29/2017","W",1058,"(41.871574, -87.745154)","blue"
"3852",40970,"Cicero-Forest Park","12/31/2017","U",539,"(41.871574, -87.745154)","blue"
"4018",40970,"Cicero-Forest Park","12/06/2017","W",1370,"(41.871574, -87.745154)","blue"
"4473",40970,"Cicero-Forest Park","12/19/2017","W",1360,"(41.871574, -87.745154)","blue"
"4609",40970,"Cicero-Forest Park","01/13/2018","A",715,"(41.871574, -87.745154)","blue"
"4895",40970,"Cicero-Forest Park","03/18/2018","U",589,"(41.871574, -87.745154)","blue"
"5050",40970,"Cicero-Forest Park","02/15/2018","W",1252,"(41.871574, -87.745154)","blue"
"5648",40970,"Cicero-Forest Park","01/01/2018","U",430,"(41.871574, -87.745154)","blue"
"6134",40970,"Cicero-Forest Park","03/20/2018","W",1249,"(41.871574, -87.745154)","blue"
"6245",40970,"Cicero-Forest Park","03/04/2018","U",609,"(41.871574, -87.745154)","blue"
"6253",40970,"Cicero-Forest Park","03/24/2018","A",806,"(41.871574, -87.745154)","blue"
"6676",40970,"Cicero-Forest Park","03/12/2018","W",1167,"(41.871574, -87.745154)","blue"
"6932",40970,"Cicero-Forest Park","03/09/2018","W",1176,"(41.871574, -87.745154)","blue"
"7059",40970,"Cicero-Forest Park","01/18/2018","W",1242,"(41.871574, -87.745154)","blue"
"7129",40970,"Cicero-Forest Park","03/05/2018","W",1184,"(41.871574, -87.745154)","blue"
"7145",40970,"Cicero-Forest Park","03/02/2018","W",1276,"(41.871574, -87.745154)","blue"
"7199",40970,"Cicero-Forest Park","02/11/2018","U",536,"(41.871574, -87.745154)","blue"
"7300",40970,"Cicero-Forest Park","01/28/2018","U",619,"(41.871574, -87.745154)","blue"
"7460",40970,"Cicero-Forest Park","01/17/2018","W",1215,"(41.871574, -87.745154)","blue"
"7652",40970,"Cicero-Forest Park","03/31/2018","A",751,"(41.871574, -87.745154)","blue"
"7669",40970,"Cicero-Forest Park","03/13/2018","W",1254,"(41.871574, -87.745154)","blue"
"7729",40970,"Cicero-Forest Park","01/07/2018","U",535,"(41.871574, -87.745154)","blue"
"7735",40970,"Cicero-Forest Park","01/19/2018","W",1256,"(41.871574, -87.745154)","blue"
"7987",40970,"Cicero-Forest Park","02/04/2018","U",498,"(41.871574, -87.745154)","blue"
"8063",40970,"Cicero-Forest Park","03/27/2018","W",1240,"(41.871574, -87.745154)","blue"
"8600",40970,"Cicero-Forest Park","02/14/2018","W",1299,"(41.871574, -87.745154)","blue"
"8678",40970,"Cicero-Forest Park","03/16/2018","W",1245,"(41.871574, -87.745154)","blue"
"8720",40970,"Cicero-Forest Park","03/30/2018","W",1079,"(41.871574, -87.745154)","blue"
"8783",40970,"Cicero-Forest Park","03/10/2018","A",839,"(41.871574, -87.745154)","blue"
"8848",40970,"Cicero-Forest Park","02/21/2018","W",1293,"(41.871574, -87.745154)","blue"
"9087",40970,"Cicero-Forest Park","02/27/2018","W",1270,"(41.871574, -87.745154)","blue"
"9173",40970,"Cicero-Forest Park","03/11/2018","U",600,"(41.871574, -87.745154)","blue"
"9246",40970,"Cicero-Forest Park","02/07/2018","W",1191,"(41.871574, -87.745154)","blue"
"9262",40970,"Cicero-Forest Park","02/18/2018","U",599,"(41.871574, -87.745154)","blue"
