"","station_id","stationname","date","daytype","rides","date_ymd","month","month_char","year","day","day_of_week","loc","lineColor","X"
"200",40170,"Ashland-Lake",NA,NA,2568,2017-12-01,12,"Dec",2017,1,"Friday","(41.885269, -87.666969)","001000100",NA
"291",40170,"Ashland-Lake",NA,NA,1457,2017-12-28,12,"Dec",2017,28,"Thursday","(41.885269, -87.666969)","001000100",NA
"473",40170,"Ashland-Lake",NA,NA,1547,2017-12-29,12,"Dec",2017,29,"Friday","(41.885269, -87.666969)","001000100",NA
"707",40170,"Ashland-Lake",NA,NA,2382,2017-12-07,12,"Dec",2017,7,"Thursday","(41.885269, -87.666969)","001000100",NA
"947",40170,"Ashland-Lake",NA,NA,1164,2017-12-09,12,"Dec",2017,9,"Saturday","(41.885269, -87.666969)","001000100",NA
"980",40170,"Ashland-Lake",NA,NA,1855,2017-12-22,12,"Dec",2017,22,"Friday","(41.885269, -87.666969)","001000100",NA
"996",40170,"Ashland-Lake",NA,NA,930,2017-12-03,12,"Dec",2017,3,"Sunday","(41.885269, -87.666969)","001000100",NA
"1067",40170,"Ashland-Lake",NA,NA,2530,2017-12-05,12,"Dec",2017,5,"Tuesday","(41.885269, -87.666969)","001000100",NA
"1218",40170,"Ashland-Lake",NA,NA,2455,2017-12-08,12,"Dec",2017,8,"Friday","(41.885269, -87.666969)","001000100",NA
"1340",40170,"Ashland-Lake",NA,NA,1249,2017-12-16,12,"Dec",2017,16,"Saturday","(41.885269, -87.666969)","001000100",NA
"1792",40170,"Ashland-Lake",NA,NA,971,2017-12-26,12,"Dec",2017,26,"Tuesday","(41.885269, -87.666969)","001000100",NA
"1829",40170,"Ashland-Lake",NA,NA,2487,2017-12-13,12,"Dec",2017,13,"Wednesday","(41.885269, -87.666969)","001000100",NA
"1864",40170,"Ashland-Lake",NA,NA,2495,2017-12-11,12,"Dec",2017,11,"Monday","(41.885269, -87.666969)","001000100",NA
"1917",40170,"Ashland-Lake",NA,NA,750,2017-12-30,12,"Dec",2017,30,"Saturday","(41.885269, -87.666969)","001000100",NA
"2025",40170,"Ashland-Lake",NA,NA,1333,2017-12-27,12,"Dec",2017,27,"Wednesday","(41.885269, -87.666969)","001000100",NA
"2172",40170,"Ashland-Lake",NA,NA,519,2017-12-31,12,"Dec",2017,31,"Sunday","(41.885269, -87.666969)","001000100",NA
"2323",40170,"Ashland-Lake",NA,NA,2629,2017-12-04,12,"Dec",2017,4,"Monday","(41.885269, -87.666969)","001000100",NA
"2368",40170,"Ashland-Lake",NA,NA,793,2017-12-10,12,"Dec",2017,10,"Sunday","(41.885269, -87.666969)","001000100",NA
"2433",40170,"Ashland-Lake",NA,NA,2433,2017-12-18,12,"Dec",2017,18,"Monday","(41.885269, -87.666969)","001000100",NA
"2482",40170,"Ashland-Lake",NA,NA,897,2017-12-23,12,"Dec",2017,23,"Saturday","(41.885269, -87.666969)","001000100",NA
"2616",40170,"Ashland-Lake",NA,NA,2244,2017-12-21,12,"Dec",2017,21,"Thursday","(41.885269, -87.666969)","001000100",NA
"2680",40170,"Ashland-Lake",NA,NA,808,2017-12-17,12,"Dec",2017,17,"Sunday","(41.885269, -87.666969)","001000100",NA
"2781",40170,"Ashland-Lake",NA,NA,2398,2017-12-20,12,"Dec",2017,20,"Wednesday","(41.885269, -87.666969)","001000100",NA
