"","station_id","stationname","date","daytype","rides","loc","lineColor"
"230",40840,"South Boulevard","12/27/2017","W",391,"(42.027612, -87.678329)","purple_exp"
"411",40840,"South Boulevard","12/08/2017","W",763,"(42.027612, -87.678329)","purple_exp"
"616",40840,"South Boulevard","12/26/2017","W",324,"(42.027612, -87.678329)","purple_exp"
"725",40840,"South Boulevard","12/22/2017","W",616,"(42.027612, -87.678329)","purple_exp"
"791",40840,"South Boulevard","12/31/2017","U",218,"(42.027612, -87.678329)","purple_exp"
"950",40840,"South Boulevard","12/10/2017","U",260,"(42.027612, -87.678329)","purple_exp"
"1294",40840,"South Boulevard","12/18/2017","W",680,"(42.027612, -87.678329)","purple_exp"
"1314",40840,"South Boulevard","12/16/2017","A",417,"(42.027612, -87.678329)","purple_exp"
"1776",40840,"South Boulevard","12/23/2017","A",298,"(42.027612, -87.678329)","purple_exp"
"1798",40840,"South Boulevard","12/04/2017","W",789,"(42.027612, -87.678329)","purple_exp"
"1860",40840,"South Boulevard","12/11/2017","W",756,"(42.027612, -87.678329)","purple_exp"
"2003",40840,"South Boulevard","12/15/2017","W",816,"(42.027612, -87.678329)","purple_exp"
"2238",40840,"South Boulevard","12/12/2017","W",759,"(42.027612, -87.678329)","purple_exp"
"2259",40840,"South Boulevard","12/17/2017","U",236,"(42.027612, -87.678329)","purple_exp"
"2373",40840,"South Boulevard","12/25/2017","U",117,"(42.027612, -87.678329)","purple_exp"
"2405",40840,"South Boulevard","12/02/2017","A",413,"(42.027612, -87.678329)","purple_exp"
"2624",40840,"South Boulevard","12/09/2017","A",357,"(42.027612, -87.678329)","purple_exp"
"2719",40840,"South Boulevard","12/13/2017","W",777,"(42.027612, -87.678329)","purple_exp"
"2728",40840,"South Boulevard","12/21/2017","W",769,"(42.027612, -87.678329)","purple_exp"
"2896",40840,"South Boulevard","12/19/2017","W",729,"(42.027612, -87.678329)","purple_exp"
"2925",40840,"South Boulevard","12/24/2017","U",227,"(42.027612, -87.678329)","purple_exp"
"2945",40840,"South Boulevard","12/01/2017","W",788,"(42.027612, -87.678329)","purple_exp"
"3042",40840,"South Boulevard","12/05/2017","W",775,"(42.027612, -87.678329)","purple_exp"
"3636",40840,"South Boulevard","12/20/2017","W",749,"(42.027612, -87.678329)","purple_exp"
"3662",40840,"South Boulevard","12/28/2017","W",495,"(42.027612, -87.678329)","purple_exp"
"3674",40840,"South Boulevard","12/06/2017","W",806,"(42.027612, -87.678329)","purple_exp"
"3818",40840,"South Boulevard","12/03/2017","U",248,"(42.027612, -87.678329)","purple_exp"
"4094",40840,"South Boulevard","12/30/2017","A",231,"(42.027612, -87.678329)","purple_exp"
"4105",40840,"South Boulevard","12/14/2017","W",720,"(42.027612, -87.678329)","purple_exp"
"4413",40840,"South Boulevard","12/07/2017","W",737,"(42.027612, -87.678329)","purple_exp"
"4442",40840,"South Boulevard","12/29/2017","W",493,"(42.027612, -87.678329)","purple_exp"
"4617",40840,"South Boulevard","01/23/2018","W",821,"(42.027612, -87.678329)","purple_exp"
"5075",40840,"South Boulevard","02/26/2018","W",775,"(42.027612, -87.678329)","purple_exp"
"5104",40840,"South Boulevard","03/18/2018","U",257,"(42.027612, -87.678329)","purple_exp"
"5131",40840,"South Boulevard","03/05/2018","W",750,"(42.027612, -87.678329)","purple_exp"
"5174",40840,"South Boulevard","03/12/2018","W",773,"(42.027612, -87.678329)","purple_exp"
"5175",40840,"South Boulevard","01/07/2018","U",222,"(42.027612, -87.678329)","purple_exp"
"5184",40840,"South Boulevard","02/11/2018","U",291,"(42.027612, -87.678329)","purple_exp"
"5207",40840,"South Boulevard","03/02/2018","W",791,"(42.027612, -87.678329)","purple_exp"
"5241",40840,"South Boulevard","03/16/2018","W",776,"(42.027612, -87.678329)","purple_exp"
"5310",40840,"South Boulevard","02/24/2018","A",338,"(42.027612, -87.678329)","purple_exp"
"5833",40840,"South Boulevard","03/15/2018","W",809,"(42.027612, -87.678329)","purple_exp"
"5881",40840,"South Boulevard","01/11/2018","W",767,"(42.027612, -87.678329)","purple_exp"
"5938",40840,"South Boulevard","01/29/2018","W",750,"(42.027612, -87.678329)","purple_exp"
"6320",40840,"South Boulevard","03/03/2018","A",390,"(42.027612, -87.678329)","purple_exp"
"6661",40840,"South Boulevard","02/21/2018","W",812,"(42.027612, -87.678329)","purple_exp"
"6828",40840,"South Boulevard","01/25/2018","W",791,"(42.027612, -87.678329)","purple_exp"
"6938",40840,"South Boulevard","03/31/2018","A",337,"(42.027612, -87.678329)","purple_exp"
"7470",40840,"South Boulevard","03/01/2018","W",790,"(42.027612, -87.678329)","purple_exp"
"7570",40840,"South Boulevard","01/19/2018","W",791,"(42.027612, -87.678329)","purple_exp"
"7672",40840,"South Boulevard","02/17/2018","A",371,"(42.027612, -87.678329)","purple_exp"
"7751",40840,"South Boulevard","03/06/2018","W",794,"(42.027612, -87.678329)","purple_exp"
"8084",40840,"South Boulevard","02/08/2018","W",785,"(42.027612, -87.678329)","purple_exp"
"8480",40840,"South Boulevard","02/19/2018","W",609,"(42.027612, -87.678329)","purple_exp"
