"","station_id","stationname","date","daytype","rides","date_ymd","month","month_char","year","day","day_of_week","loc","lineColor"
"117",40150,"Pulaski-Cermak","12/16/2017","A",715,2017-12-16,12,"Dec",2017,16,"Saturday","(41.853732, -87.724311)","pink"
"298",40150,"Pulaski-Cermak","12/13/2017","W",1102,2017-12-13,12,"Dec",2017,13,"Wednesday","(41.853732, -87.724311)","pink"
"341",40150,"Pulaski-Cermak","12/23/2017","A",639,2017-12-23,12,"Dec",2017,23,"Saturday","(41.853732, -87.724311)","pink"
"427",40150,"Pulaski-Cermak","12/10/2017","U",507,2017-12-10,12,"Dec",2017,10,"Sunday","(41.853732, -87.724311)","pink"
"593",40150,"Pulaski-Cermak","12/07/2017","W",1133,2017-12-07,12,"Dec",2017,7,"Thursday","(41.853732, -87.724311)","pink"
"1038",40150,"Pulaski-Cermak","12/06/2017","W",1192,2017-12-06,12,"Dec",2017,6,"Wednesday","(41.853732, -87.724311)","pink"
"1076",40150,"Pulaski-Cermak","12/30/2017","A",498,2017-12-30,12,"Dec",2017,30,"Saturday","(41.853732, -87.724311)","pink"
"1274",40150,"Pulaski-Cermak","12/31/2017","U",451,2017-12-31,12,"Dec",2017,31,"Sunday","(41.853732, -87.724311)","pink"
"1561",40150,"Pulaski-Cermak","12/22/2017","W",989,2017-12-22,12,"Dec",2017,22,"Friday","(41.853732, -87.724311)","pink"
"1653",40150,"Pulaski-Cermak","12/29/2017","W",833,2017-12-29,12,"Dec",2017,29,"Friday","(41.853732, -87.724311)","pink"
"1693",40150,"Pulaski-Cermak","12/28/2017","W",765,2017-12-28,12,"Dec",2017,28,"Thursday","(41.853732, -87.724311)","pink"
"1759",40150,"Pulaski-Cermak","12/26/2017","W",576,2017-12-26,12,"Dec",2017,26,"Tuesday","(41.853732, -87.724311)","pink"
"2486",40150,"Pulaski-Cermak","12/04/2017","W",1150,2017-12-04,12,"Dec",2017,4,"Monday","(41.853732, -87.724311)","pink"
"2991",40150,"Pulaski-Cermak","12/01/2017","W",1211,2017-12-01,12,"Dec",2017,1,"Friday","(41.853732, -87.724311)","pink"
"3051",40150,"Pulaski-Cermak","12/11/2017","W",1087,2017-12-11,12,"Dec",2017,11,"Monday","(41.853732, -87.724311)","pink"
"3052",40150,"Pulaski-Cermak","12/14/2017","W",1130,2017-12-14,12,"Dec",2017,14,"Thursday","(41.853732, -87.724311)","pink"
"3077",40150,"Pulaski-Cermak","12/20/2017","W",1044,2017-12-20,12,"Dec",2017,20,"Wednesday","(41.853732, -87.724311)","pink"
"3119",40150,"Pulaski-Cermak","12/08/2017","W",1072,2017-12-08,12,"Dec",2017,8,"Friday","(41.853732, -87.724311)","pink"
"3170",40150,"Pulaski-Cermak","12/27/2017","W",700,2017-12-27,12,"Dec",2017,27,"Wednesday","(41.853732, -87.724311)","pink"
"3176",40150,"Pulaski-Cermak","12/05/2017","W",1102,2017-12-05,12,"Dec",2017,5,"Tuesday","(41.853732, -87.724311)","pink"
"3514",40150,"Pulaski-Cermak","12/17/2017","U",494,2017-12-17,12,"Dec",2017,17,"Sunday","(41.853732, -87.724311)","pink"
"3612",40150,"Pulaski-Cermak","12/02/2017","A",758,2017-12-02,12,"Dec",2017,2,"Saturday","(41.853732, -87.724311)","pink"
"3647",40150,"Pulaski-Cermak","12/09/2017","A",662,2017-12-09,12,"Dec",2017,9,"Saturday","(41.853732, -87.724311)","pink"
"3761",40150,"Pulaski-Cermak","12/18/2017","W",1034,2017-12-18,12,"Dec",2017,18,"Monday","(41.853732, -87.724311)","pink"
"4016",40150,"Pulaski-Cermak","12/12/2017","W",1086,2017-12-12,12,"Dec",2017,12,"Tuesday","(41.853732, -87.724311)","pink"
"4039",40150,"Pulaski-Cermak","12/24/2017","U",433,2017-12-24,12,"Dec",2017,24,"Sunday","(41.853732, -87.724311)","pink"
"4193",40150,"Pulaski-Cermak","12/21/2017","W",1066,2017-12-21,12,"Dec",2017,21,"Thursday","(41.853732, -87.724311)","pink"
"4207",40150,"Pulaski-Cermak","12/15/2017","W",1060,2017-12-15,12,"Dec",2017,15,"Friday","(41.853732, -87.724311)","pink"
"4271",40150,"Pulaski-Cermak","12/03/2017","U",603,2017-12-03,12,"Dec",2017,3,"Sunday","(41.853732, -87.724311)","pink"
"4370",40150,"Pulaski-Cermak","12/19/2017","W",1063,2017-12-19,12,"Dec",2017,19,"Tuesday","(41.853732, -87.724311)","pink"
"4462",40150,"Pulaski-Cermak","12/25/2017","U",324,2017-12-25,12,"Dec",2017,25,"Monday","(41.853732, -87.724311)","pink"
"5120",40150,"Pulaski-Cermak","02/07/2018","W",1052,2018-02-07,2,"Feb",2018,7,"Wednesday","(41.853732, -87.724311)","pink"
"5133",40150,"Pulaski-Cermak","03/23/2018","W",994,2018-03-23,3,"Mar",2018,23,"Friday","(41.853732, -87.724311)","pink"
"5137",40150,"Pulaski-Cermak","01/12/2018","W",902,2018-01-12,1,"Jan",2018,12,"Friday","(41.853732, -87.724311)","pink"
"5171",40150,"Pulaski-Cermak","01/01/2018","U",368,2018-01-01,1,"Jan",2018,1,"Monday","(41.853732, -87.724311)","pink"
"5342",40150,"Pulaski-Cermak","02/16/2018","W",965,2018-02-16,2,"Feb",2018,16,"Friday","(41.853732, -87.724311)","pink"
"5400",40150,"Pulaski-Cermak","03/30/2018","W",876,2018-03-30,3,"Mar",2018,30,"Friday","(41.853732, -87.724311)","pink"
"5430",40150,"Pulaski-Cermak","03/19/2018","W",984,2018-03-19,3,"Mar",2018,19,"Monday","(41.853732, -87.724311)","pink"
"5563",40150,"Pulaski-Cermak","02/01/2018","W",1050,2018-02-01,2,"Feb",2018,1,"Thursday","(41.853732, -87.724311)","pink"
"5887",40150,"Pulaski-Cermak","01/11/2018","W",1025,2018-01-11,1,"Jan",2018,11,"Thursday","(41.853732, -87.724311)","pink"
"5912",40150,"Pulaski-Cermak","01/29/2018","W",1016,2018-01-29,1,"Jan",2018,29,"Monday","(41.853732, -87.724311)","pink"
"6122",40150,"Pulaski-Cermak","03/22/2018","W",1017,2018-03-22,3,"Mar",2018,22,"Thursday","(41.853732, -87.724311)","pink"
"6342",40150,"Pulaski-Cermak","01/26/2018","W",1016,2018-01-26,1,"Jan",2018,26,"Friday","(41.853732, -87.724311)","pink"
"6708",40150,"Pulaski-Cermak","03/24/2018","A",625,2018-03-24,3,"Mar",2018,24,"Saturday","(41.853732, -87.724311)","pink"
"6726",40150,"Pulaski-Cermak","02/19/2018","W",777,2018-02-19,2,"Feb",2018,19,"Monday","(41.853732, -87.724311)","pink"
"7244",40150,"Pulaski-Cermak","01/09/2018","W",974,2018-01-09,1,"Jan",2018,9,"Tuesday","(41.853732, -87.724311)","pink"
"8074",40150,"Pulaski-Cermak","01/04/2018","W",824,2018-01-04,1,"Jan",2018,4,"Thursday","(41.853732, -87.724311)","pink"
"8213",40150,"Pulaski-Cermak","01/10/2018","W",1034,2018-01-10,1,"Jan",2018,10,"Wednesday","(41.853732, -87.724311)","pink"
"8413",40150,"Pulaski-Cermak","01/25/2018","W",1062,2018-01-25,1,"Jan",2018,25,"Thursday","(41.853732, -87.724311)","pink"
"8571",40150,"Pulaski-Cermak","03/09/2018","W",993,2018-03-09,3,"Mar",2018,9,"Friday","(41.853732, -87.724311)","pink"
"8581",40150,"Pulaski-Cermak","02/18/2018","U",461,2018-02-18,2,"Feb",2018,18,"Sunday","(41.853732, -87.724311)","pink"
"9123",40150,"Pulaski-Cermak","01/30/2018","W",1043,2018-01-30,1,"Jan",2018,30,"Tuesday","(41.853732, -87.724311)","pink"
"9268",40150,"Pulaski-Cermak","02/12/2018","W",989,2018-02-12,2,"Feb",2018,12,"Monday","(41.853732, -87.724311)","pink"
"9322",40150,"Pulaski-Cermak","01/27/2018","A",661,2018-01-27,1,"Jan",2018,27,"Saturday","(41.853732, -87.724311)","pink"
"9524",40150,"Pulaski-Cermak","03/18/2018","U",498,2018-03-18,3,"Mar",2018,18,"Sunday","(41.853732, -87.724311)","pink"
"9646",40150,"Pulaski-Cermak","03/11/2018","U",432,2018-03-11,3,"Mar",2018,11,"Sunday","(41.853732, -87.724311)","pink"
"9857",40150,"Pulaski-Cermak","02/15/2018","W",1069,2018-02-15,2,"Feb",2018,15,"Thursday","(41.853732, -87.724311)","pink"
"9861",40150,"Pulaski-Cermak","03/07/2018","W",1048,2018-03-07,3,"Mar",2018,7,"Wednesday","(41.853732, -87.724311)","pink"
"9884",40150,"Pulaski-Cermak","02/28/2018","W",1086,2018-02-28,2,"Feb",2018,28,"Wednesday","(41.853732, -87.724311)","pink"
