"","station_id","stationname","date","daytype","rides","loc","lineColor"
"496",41480,"Western-Brown","12/06/2017","W",4210,"(41.966163, -87.688502)","brown"
"531",41480,"Western-Brown","12/03/2017","U",2086,"(41.966163, -87.688502)","brown"
"535",41480,"Western-Brown","12/30/2017","A",1738,"(41.966163, -87.688502)","brown"
"553",41480,"Western-Brown","12/22/2017","W",3592,"(41.966163, -87.688502)","brown"
"730",41480,"Western-Brown","12/25/2017","U",600,"(41.966163, -87.688502)","brown"
"738",41480,"Western-Brown","12/04/2017","W",4191,"(41.966163, -87.688502)","brown"
"849",41480,"Western-Brown","12/07/2017","W",4156,"(41.966163, -87.688502)","brown"
"1114",41480,"Western-Brown","12/08/2017","W",4132,"(41.966163, -87.688502)","brown"
"1505",41480,"Western-Brown","12/26/2017","W",1851,"(41.966163, -87.688502)","brown"
"1603",41480,"Western-Brown","12/28/2017","W",2697,"(41.966163, -87.688502)","brown"
"1713",41480,"Western-Brown","12/15/2017","W",4114,"(41.966163, -87.688502)","brown"
"1813",41480,"Western-Brown","12/17/2017","U",1878,"(41.966163, -87.688502)","brown"
"1924",41480,"Western-Brown","12/27/2017","W",2395,"(41.966163, -87.688502)","brown"
"2315",41480,"Western-Brown","12/13/2017","W",4231,"(41.966163, -87.688502)","brown"
"2628",41480,"Western-Brown","12/20/2017","W",4082,"(41.966163, -87.688502)","brown"
"3076",41480,"Western-Brown","12/24/2017","U",1222,"(41.966163, -87.688502)","brown"
"3135",41480,"Western-Brown","12/23/2017","A",2122,"(41.966163, -87.688502)","brown"
"3388",41480,"Western-Brown","12/16/2017","A",2839,"(41.966163, -87.688502)","brown"
"3561",41480,"Western-Brown","12/29/2017","W",2707,"(41.966163, -87.688502)","brown"
"3573",41480,"Western-Brown","12/01/2017","W",4397,"(41.966163, -87.688502)","brown"
"3723",41480,"Western-Brown","12/21/2017","W",3954,"(41.966163, -87.688502)","brown"
"3788",41480,"Western-Brown","12/02/2017","A",3114,"(41.966163, -87.688502)","brown"
"3840",41480,"Western-Brown","12/31/2017","U",1473,"(41.966163, -87.688502)","brown"
"3875",41480,"Western-Brown","12/09/2017","A",2747,"(41.966163, -87.688502)","brown"
"3925",41480,"Western-Brown","12/11/2017","W",3969,"(41.966163, -87.688502)","brown"
"4065",41480,"Western-Brown","12/14/2017","W",4150,"(41.966163, -87.688502)","brown"
"4320",41480,"Western-Brown","12/12/2017","W",3979,"(41.966163, -87.688502)","brown"
"4360",41480,"Western-Brown","12/19/2017","W",4167,"(41.966163, -87.688502)","brown"
"4361",41480,"Western-Brown","12/05/2017","W",4140,"(41.966163, -87.688502)","brown"
"4381",41480,"Western-Brown","12/10/2017","U",1876,"(41.966163, -87.688502)","brown"
"4441",41480,"Western-Brown","12/18/2017","W",3931,"(41.966163, -87.688502)","brown"
"4938",41480,"Western-Brown","01/24/2018","W",4254,"(41.966163, -87.688502)","brown"
"4983",41480,"Western-Brown","01/31/2018","W",4136,"(41.966163, -87.688502)","brown"
"5229",41480,"Western-Brown","03/02/2018","W",4063,"(41.966163, -87.688502)","brown"
"5260",41480,"Western-Brown","03/24/2018","A",2451,"(41.966163, -87.688502)","brown"
"5368",41480,"Western-Brown","03/05/2018","W",3820,"(41.966163, -87.688502)","brown"
"5619",41480,"Western-Brown","01/25/2018","W",4164,"(41.966163, -87.688502)","brown"
"5712",41480,"Western-Brown","02/05/2018","W",3817,"(41.966163, -87.688502)","brown"
"5741",41480,"Western-Brown","02/19/2018","W",3044,"(41.966163, -87.688502)","brown"
"5880",41480,"Western-Brown","01/22/2018","W",3913,"(41.966163, -87.688502)","brown"
"6110",41480,"Western-Brown","01/15/2018","W",2605,"(41.966163, -87.688502)","brown"
"6205",41480,"Western-Brown","03/20/2018","W",3988,"(41.966163, -87.688502)","brown"
"6306",41480,"Western-Brown","01/18/2018","W",3980,"(41.966163, -87.688502)","brown"
"6680",41480,"Western-Brown","01/05/2018","W",3323,"(41.966163, -87.688502)","brown"
"6702",41480,"Western-Brown","02/08/2018","W",4057,"(41.966163, -87.688502)","brown"
"6731",41480,"Western-Brown","03/04/2018","U",1684,"(41.966163, -87.688502)","brown"
"6981",41480,"Western-Brown","01/28/2018","U",1652,"(41.966163, -87.688502)","brown"
"7191",41480,"Western-Brown","03/25/2018","U",1797,"(41.966163, -87.688502)","brown"
"7403",41480,"Western-Brown","02/02/2018","W",3610,"(41.966163, -87.688502)","brown"
"7519",41480,"Western-Brown","02/01/2018","W",4090,"(41.966163, -87.688502)","brown"
"7610",41480,"Western-Brown","02/24/2018","A",2546,"(41.966163, -87.688502)","brown"
"7618",41480,"Western-Brown","03/15/2018","W",4247,"(41.966163, -87.688502)","brown"
"7676",41480,"Western-Brown","02/23/2018","W",3927,"(41.966163, -87.688502)","brown"
"7796",41480,"Western-Brown","01/20/2018","A",3001,"(41.966163, -87.688502)","brown"
"7883",41480,"Western-Brown","02/10/2018","A",2488,"(41.966163, -87.688502)","brown"
"8297",41480,"Western-Brown","02/25/2018","U",1781,"(41.966163, -87.688502)","brown"
"8446",41480,"Western-Brown","03/06/2018","W",4133,"(41.966163, -87.688502)","brown"
"8452",41480,"Western-Brown","03/16/2018","W",3969,"(41.966163, -87.688502)","brown"
"8715",41480,"Western-Brown","01/07/2018","U",1393,"(41.966163, -87.688502)","brown"
"8997",41480,"Western-Brown","03/30/2018","W",3418,"(41.966163, -87.688502)","brown"
"9155",41480,"Western-Brown","03/23/2018","W",3959,"(41.966163, -87.688502)","brown"
"9482",41480,"Western-Brown","02/20/2018","W",3969,"(41.966163, -87.688502)","brown"
"9659",41480,"Western-Brown","03/10/2018","A",2562,"(41.966163, -87.688502)","brown"
"9687",41480,"Western-Brown","03/26/2018","W",3654,"(41.966163, -87.688502)","brown"
"9689",41480,"Western-Brown","01/23/2018","W",4073,"(41.966163, -87.688502)","brown"
"9799",41480,"Western-Brown","03/12/2018","W",3890,"(41.966163, -87.688502)","brown"
"10000",41480,"Western-Brown","02/18/2018","U",1945,"(41.966163, -87.688502)","brown"
"10030",41480,"Western-Brown","01/29/2018","W",3870,"(41.966163, -87.688502)","brown"
"10084",41480,"Western-Brown","02/04/2018","U",1443,"(41.966163, -87.688502)","brown"
"10159",41480,"Western-Brown","03/11/2018","U",1769,"(41.966163, -87.688502)","brown"
"10617",41480,"Western-Brown","03/21/2018","W",4182,"(41.966163, -87.688502)","brown"
"10821",41480,"Western-Brown","02/15/2018","W",4149,"(41.966163, -87.688502)","brown"
"10884",41480,"Western-Brown","02/22/2018","W",4113,"(41.966163, -87.688502)","brown"
"10904",41480,"Western-Brown","02/27/2018","W",4203,"(41.966163, -87.688502)","brown"
"10920",41480,"Western-Brown","02/14/2018","W",4335,"(41.966163, -87.688502)","brown"
"11445",41480,"Western-Brown","01/02/2018","W",2915,"(41.966163, -87.688502)","brown"
"11529",41480,"Western-Brown","03/09/2018","W",3987,"(41.966163, -87.688502)","brown"
"11608",41480,"Western-Brown","02/28/2018","W",4266,"(41.966163, -87.688502)","brown"
"11630",41480,"Western-Brown","03/28/2018","W",4007,"(41.966163, -87.688502)","brown"
"11754",41480,"Western-Brown","01/06/2018","A",1976,"(41.966163, -87.688502)","brown"
"11828",41480,"Western-Brown","03/08/2018","W",4175,"(41.966163, -87.688502)","brown"
"11884",41480,"Western-Brown","01/21/2018","U",1621,"(41.966163, -87.688502)","brown"
"12053",41480,"Western-Brown","01/14/2018","U",1563,"(41.966163, -87.688502)","brown"
"12141",41480,"Western-Brown","01/11/2018","W",4027,"(41.966163, -87.688502)","brown"
"12174",41480,"Western-Brown","03/14/2018","W",4167,"(41.966163, -87.688502)","brown"
"12196",41480,"Western-Brown","03/07/2018","W",4177,"(41.966163, -87.688502)","brown"
"12385",41480,"Western-Brown","03/03/2018","A",2504,"(41.966163, -87.688502)","brown"
"12414",41480,"Western-Brown","03/18/2018","U",1836,"(41.966163, -87.688502)","brown"
"12805",41480,"Western-Brown","01/19/2018","W",3947,"(41.966163, -87.688502)","brown"
"12853",41480,"Western-Brown","02/11/2018","U",1678,"(41.966163, -87.688502)","brown"
"12973",41480,"Western-Brown","01/10/2018","W",4102,"(41.966163, -87.688502)","brown"
"13184",41480,"Western-Brown","01/13/2018","A",2222,"(41.966163, -87.688502)","brown"
"13267",41480,"Western-Brown","01/12/2018","W",3778,"(41.966163, -87.688502)","brown"
"13268",41480,"Western-Brown","03/31/2018","A",2156,"(41.966163, -87.688502)","brown"
"13376",41480,"Western-Brown","02/03/2018","A",2253,"(41.966163, -87.688502)","brown"
"13621",41480,"Western-Brown","03/22/2018","W",4122,"(41.966163, -87.688502)","brown"
"13651",41480,"Western-Brown","01/16/2018","W",3977,"(41.966163, -87.688502)","brown"
"13923",41480,"Western-Brown","03/01/2018","W",4063,"(41.966163, -87.688502)","brown"
"14096",41480,"Western-Brown","03/17/2018","A",3388,"(41.966163, -87.688502)","brown"
"14131",41480,"Western-Brown","03/29/2018","W",3920,"(41.966163, -87.688502)","brown"
"14341",41480,"Western-Brown","02/13/2018","W",4190,"(41.966163, -87.688502)","brown"
"14405",41480,"Western-Brown","01/09/2018","W",3988,"(41.966163, -87.688502)","brown"
"14534",41480,"Western-Brown","01/30/2018","W",3978,"(41.966163, -87.688502)","brown"
"14556",41480,"Western-Brown","01/08/2018","W",3881,"(41.966163, -87.688502)","brown"
"14775",41480,"Western-Brown","03/19/2018","W",3901,"(41.966163, -87.688502)","brown"
"14975",41480,"Western-Brown","01/26/2018","W",3997,"(41.966163, -87.688502)","brown"
"15169",41480,"Western-Brown","02/26/2018","W",3969,"(41.966163, -87.688502)","brown"
"15318",41480,"Western-Brown","03/13/2018","W",4110,"(41.966163, -87.688502)","brown"
"15367",41480,"Western-Brown","03/27/2018","W",3851,"(41.966163, -87.688502)","brown"
"15531",41480,"Western-Brown","01/03/2018","W",3389,"(41.966163, -87.688502)","brown"
"15892",41480,"Western-Brown","02/09/2018","W",3035,"(41.966163, -87.688502)","brown"
"15933",41480,"Western-Brown","02/21/2018","W",4147,"(41.966163, -87.688502)","brown"
"15947",41480,"Western-Brown","02/07/2018","W",4107,"(41.966163, -87.688502)","brown"
"15968",41480,"Western-Brown","02/12/2018","W",3958,"(41.966163, -87.688502)","brown"
"16518",41480,"Western-Brown","01/27/2018","A",2660,"(41.966163, -87.688502)","brown"
"16742",41480,"Western-Brown","02/17/2018","A",2571,"(41.966163, -87.688502)","brown"
"16751",41480,"Western-Brown","01/04/2018","W",3474,"(41.966163, -87.688502)","brown"
"16994",41480,"Western-Brown","01/17/2018","W",4017,"(41.966163, -87.688502)","brown"
"17081",41480,"Western-Brown","02/06/2018","W",3950,"(41.966163, -87.688502)","brown"
"17330",41480,"Western-Brown","02/16/2018","W",4045,"(41.966163, -87.688502)","brown"
"17466",41480,"Western-Brown","01/01/2018","U",952,"(41.966163, -87.688502)","brown"
"17574",41480,"Western-Brown","05/04/2018","W",4168,"(41.966163, -87.688502)","brown"
"17589",41480,"Western-Brown","05/31/2018","W",4259,"(41.966163, -87.688502)","brown"
"17794",41480,"Western-Brown","06/03/2018","U",2796,"(41.966163, -87.688502)","brown"
"17843",41480,"Western-Brown","04/30/2018","W",4060,"(41.966163, -87.688502)","brown"
"18056",41480,"Western-Brown","06/06/2018","W",4312,"(41.966163, -87.688502)","brown"
"18228",41480,"Western-Brown","06/25/2018","W",3917,"(41.966163, -87.688502)","brown"
"18262",41480,"Western-Brown","05/09/2018","W",4185,"(41.966163, -87.688502)","brown"
"18730",41480,"Western-Brown","05/22/2018","W",4253,"(41.966163, -87.688502)","brown"
"19087",41480,"Western-Brown","04/12/2018","W",4340,"(41.966163, -87.688502)","brown"
"19423",41480,"Western-Brown","06/21/2018","W",3844,"(41.966163, -87.688502)","brown"
"19752",41480,"Western-Brown","05/15/2018","W",4148,"(41.966163, -87.688502)","brown"
"19848",41480,"Western-Brown","05/19/2018","A",2564,"(41.966163, -87.688502)","brown"
