"","station_id","stationname","date","daytype","rides","loc","lineColor"
"242",40050,"Davis","12/28/2017","W",2144,"(42.04771, -87.683543)","purple_exp"
"326",40050,"Davis","12/14/2017","W",3502,"(42.04771, -87.683543)","purple_exp"
"503",40050,"Davis","12/26/2017","W",1626,"(42.04771, -87.683543)","purple_exp"
"601",40050,"Davis","12/30/2017","A",1369,"(42.04771, -87.683543)","purple_exp"
"887",40050,"Davis","12/11/2017","W",3504,"(42.04771, -87.683543)","purple_exp"
"907",40050,"Davis","12/10/2017","U",1624,"(42.04771, -87.683543)","purple_exp"
"1185",40050,"Davis","12/29/2017","W",2181,"(42.04771, -87.683543)","purple_exp"
"2044",40050,"Davis","12/20/2017","W",3329,"(42.04771, -87.683543)","purple_exp"
"2148",40050,"Davis","12/18/2017","W",3276,"(42.04771, -87.683543)","purple_exp"
"2227",40050,"Davis","12/15/2017","W",3624,"(42.04771, -87.683543)","purple_exp"
"2242",40050,"Davis","12/27/2017","W",1872,"(42.04771, -87.683543)","purple_exp"
"2305",40050,"Davis","12/08/2017","W",3825,"(42.04771, -87.683543)","purple_exp"
"2340",40050,"Davis","12/07/2017","W",3739,"(42.04771, -87.683543)","purple_exp"
"2466",40050,"Davis","12/23/2017","A",1678,"(42.04771, -87.683543)","purple_exp"
"2523",40050,"Davis","12/17/2017","U",1502,"(42.04771, -87.683543)","purple_exp"
"2613",40050,"Davis","12/19/2017","W",3571,"(42.04771, -87.683543)","purple_exp"
"2883",40050,"Davis","12/16/2017","A",2302,"(42.04771, -87.683543)","purple_exp"
"2893",40050,"Davis","12/09/2017","A",2203,"(42.04771, -87.683543)","purple_exp"
"3197",40050,"Davis","12/04/2017","W",3628,"(42.04771, -87.683543)","purple_exp"
"3260",40050,"Davis","12/12/2017","W",3457,"(42.04771, -87.683543)","purple_exp"
"3281",40050,"Davis","12/25/2017","U",626,"(42.04771, -87.683543)","purple_exp"
"3380",40050,"Davis","12/03/2017","U",1703,"(42.04771, -87.683543)","purple_exp"
"3560",40050,"Davis","12/22/2017","W",2644,"(42.04771, -87.683543)","purple_exp"
"3650",40050,"Davis","12/05/2017","W",3609,"(42.04771, -87.683543)","purple_exp"
"3961",40050,"Davis","12/06/2017","W",3646,"(42.04771, -87.683543)","purple_exp"
"4062",40050,"Davis","12/02/2017","A",2382,"(42.04771, -87.683543)","purple_exp"
"4088",40050,"Davis","12/24/2017","U",989,"(42.04771, -87.683543)","purple_exp"
"4153",40050,"Davis","12/21/2017","W",3205,"(42.04771, -87.683543)","purple_exp"
"4176",40050,"Davis","12/13/2017","W",3458,"(42.04771, -87.683543)","purple_exp"
"4299",40050,"Davis","12/01/2017","W",3961,"(42.04771, -87.683543)","purple_exp"
"4429",40050,"Davis","12/31/2017","U",1180,"(42.04771, -87.683543)","purple_exp"
"4832",40050,"Davis","01/26/2018","W",3866,"(42.04771, -87.683543)","purple_exp"
