"","station_id","stationname","date","daytype","rides","date_ymd","month","month_char","year","day","day_of_week","loc","lineColor"
"98",40210,"Damen-Cermak","12/15/2017","W",1485,2017-12-15,12,"Dec",2017,15,"Friday","(41.854517, -87.675975)","pink"
"586",40210,"Damen-Cermak","12/24/2017","U",415,2017-12-24,12,"Dec",2017,24,"Sunday","(41.854517, -87.675975)","pink"
"963",40210,"Damen-Cermak","12/21/2017","W",1410,2017-12-21,12,"Dec",2017,21,"Thursday","(41.854517, -87.675975)","pink"
"968",40210,"Damen-Cermak","12/05/2017","W",1661,2017-12-05,12,"Dec",2017,5,"Tuesday","(41.854517, -87.675975)","pink"
"999",40210,"Damen-Cermak","12/23/2017","A",680,2017-12-23,12,"Dec",2017,23,"Saturday","(41.854517, -87.675975)","pink"
"1005",40210,"Damen-Cermak","12/13/2017","W",1546,2017-12-13,12,"Dec",2017,13,"Wednesday","(41.854517, -87.675975)","pink"
"1195",40210,"Damen-Cermak","12/10/2017","U",606,2017-12-10,12,"Dec",2017,10,"Sunday","(41.854517, -87.675975)","pink"
"1215",40210,"Damen-Cermak","12/28/2017","W",943,2017-12-28,12,"Dec",2017,28,"Thursday","(41.854517, -87.675975)","pink"
"1225",40210,"Damen-Cermak","12/20/2017","W",1464,2017-12-20,12,"Dec",2017,20,"Wednesday","(41.854517, -87.675975)","pink"
"1239",40210,"Damen-Cermak","12/26/2017","W",691,2017-12-26,12,"Dec",2017,26,"Tuesday","(41.854517, -87.675975)","pink"
"1628",40210,"Damen-Cermak","12/16/2017","A",921,2017-12-16,12,"Dec",2017,16,"Saturday","(41.854517, -87.675975)","pink"
"1723",40210,"Damen-Cermak","12/25/2017","U",207,2017-12-25,12,"Dec",2017,25,"Monday","(41.854517, -87.675975)","pink"
"1920",40210,"Damen-Cermak","12/03/2017","U",731,2017-12-03,12,"Dec",2017,3,"Sunday","(41.854517, -87.675975)","pink"
"2110",40210,"Damen-Cermak","12/29/2017","W",991,2017-12-29,12,"Dec",2017,29,"Friday","(41.854517, -87.675975)","pink"
"2162",40210,"Damen-Cermak","12/14/2017","W",1537,2017-12-14,12,"Dec",2017,14,"Thursday","(41.854517, -87.675975)","pink"
"2285",40210,"Damen-Cermak","12/19/2017","W",1501,2017-12-19,12,"Dec",2017,19,"Tuesday","(41.854517, -87.675975)","pink"
"2346",40210,"Damen-Cermak","12/27/2017","W",877,2017-12-27,12,"Dec",2017,27,"Wednesday","(41.854517, -87.675975)","pink"
"2552",40210,"Damen-Cermak","12/01/2017","W",1659,2017-12-01,12,"Dec",2017,1,"Friday","(41.854517, -87.675975)","pink"
"2743",40210,"Damen-Cermak","12/09/2017","A",810,2017-12-09,12,"Dec",2017,9,"Saturday","(41.854517, -87.675975)","pink"
"2854",40210,"Damen-Cermak","12/12/2017","W",1534,2017-12-12,12,"Dec",2017,12,"Tuesday","(41.854517, -87.675975)","pink"
"2939",40210,"Damen-Cermak","12/22/2017","W",1399,2017-12-22,12,"Dec",2017,22,"Friday","(41.854517, -87.675975)","pink"
"3025",40210,"Damen-Cermak","12/18/2017","W",1444,2017-12-18,12,"Dec",2017,18,"Monday","(41.854517, -87.675975)","pink"
"3185",40210,"Damen-Cermak","12/17/2017","U",613,2017-12-17,12,"Dec",2017,17,"Sunday","(41.854517, -87.675975)","pink"
"3424",40210,"Damen-Cermak","12/04/2017","W",1578,2017-12-04,12,"Dec",2017,4,"Monday","(41.854517, -87.675975)","pink"
"3498",40210,"Damen-Cermak","12/31/2017","U",501,2017-12-31,12,"Dec",2017,31,"Sunday","(41.854517, -87.675975)","pink"
"3545",40210,"Damen-Cermak","12/30/2017","A",587,2017-12-30,12,"Dec",2017,30,"Saturday","(41.854517, -87.675975)","pink"
"3714",40210,"Damen-Cermak","12/08/2017","W",1516,2017-12-08,12,"Dec",2017,8,"Friday","(41.854517, -87.675975)","pink"
"3764",40210,"Damen-Cermak","12/07/2017","W",1573,2017-12-07,12,"Dec",2017,7,"Thursday","(41.854517, -87.675975)","pink"
"3842",40210,"Damen-Cermak","12/02/2017","A",932,2017-12-02,12,"Dec",2017,2,"Saturday","(41.854517, -87.675975)","pink"
"4396",40210,"Damen-Cermak","12/11/2017","W",1444,2017-12-11,12,"Dec",2017,11,"Monday","(41.854517, -87.675975)","pink"
"4422",40210,"Damen-Cermak","12/06/2017","W",1594,2017-12-06,12,"Dec",2017,6,"Wednesday","(41.854517, -87.675975)","pink"
"4709",40210,"Damen-Cermak","03/11/2018","U",523,2018-03-11,3,"Mar",2018,11,"Sunday","(41.854517, -87.675975)","pink"
"4741",40210,"Damen-Cermak","01/11/2018","W",1432,2018-01-11,1,"Jan",2018,11,"Thursday","(41.854517, -87.675975)","pink"
"4970",40210,"Damen-Cermak","01/16/2018","W",1482,2018-01-16,1,"Jan",2018,16,"Tuesday","(41.854517, -87.675975)","pink"
"4999",40210,"Damen-Cermak","01/05/2018","W",1105,2018-01-05,1,"Jan",2018,5,"Friday","(41.854517, -87.675975)","pink"
"5074",40210,"Damen-Cermak","02/17/2018","A",787,2018-02-17,2,"Feb",2018,17,"Saturday","(41.854517, -87.675975)","pink"
"5117",40210,"Damen-Cermak","03/10/2018","A",785,2018-03-10,3,"Mar",2018,10,"Saturday","(41.854517, -87.675975)","pink"
"5523",40210,"Damen-Cermak","03/29/2018","W",1382,2018-03-29,3,"Mar",2018,29,"Thursday","(41.854517, -87.675975)","pink"
"5710",40210,"Damen-Cermak","03/09/2018","W",1557,2018-03-09,3,"Mar",2018,9,"Friday","(41.854517, -87.675975)","pink"
"5922",40210,"Damen-Cermak","03/01/2018","W",1495,2018-03-01,3,"Mar",2018,1,"Thursday","(41.854517, -87.675975)","pink"
"5999",40210,"Damen-Cermak","01/06/2018","A",606,2018-01-06,1,"Jan",2018,6,"Saturday","(41.854517, -87.675975)","pink"
"6189",40210,"Damen-Cermak","03/03/2018","A",827,2018-03-03,3,"Mar",2018,3,"Saturday","(41.854517, -87.675975)","pink"
"6193",40210,"Damen-Cermak","02/22/2018","W",1511,2018-02-22,2,"Feb",2018,22,"Thursday","(41.854517, -87.675975)","pink"
"6327",40210,"Damen-Cermak","02/10/2018","A",734,2018-02-10,2,"Feb",2018,10,"Saturday","(41.854517, -87.675975)","pink"
"6510",40210,"Damen-Cermak","01/01/2018","U",296,2018-01-01,1,"Jan",2018,1,"Monday","(41.854517, -87.675975)","pink"
"6951",40210,"Damen-Cermak","03/31/2018","A",743,2018-03-31,3,"Mar",2018,31,"Saturday","(41.854517, -87.675975)","pink"
"6955",40210,"Damen-Cermak","03/30/2018","W",1195,2018-03-30,3,"Mar",2018,30,"Friday","(41.854517, -87.675975)","pink"
"7115",40210,"Damen-Cermak","03/12/2018","W",1521,2018-03-12,3,"Mar",2018,12,"Monday","(41.854517, -87.675975)","pink"
"7293",40210,"Damen-Cermak","02/16/2018","W",1496,2018-02-16,2,"Feb",2018,16,"Friday","(41.854517, -87.675975)","pink"
"7390",40210,"Damen-Cermak","01/26/2018","W",1515,2018-01-26,1,"Jan",2018,26,"Friday","(41.854517, -87.675975)","pink"
"7558",40210,"Damen-Cermak","03/16/2018","W",1512,2018-03-16,3,"Mar",2018,16,"Friday","(41.854517, -87.675975)","pink"
"7739",40210,"Damen-Cermak","02/03/2018","A",649,2018-02-03,2,"Feb",2018,3,"Saturday","(41.854517, -87.675975)","pink"
"7741",40210,"Damen-Cermak","03/21/2018","W",1570,2018-03-21,3,"Mar",2018,21,"Wednesday","(41.854517, -87.675975)","pink"
"8001",40210,"Damen-Cermak","03/25/2018","U",580,2018-03-25,3,"Mar",2018,25,"Sunday","(41.854517, -87.675975)","pink"
"8015",40210,"Damen-Cermak","01/28/2018","U",486,2018-01-28,1,"Jan",2018,28,"Sunday","(41.854517, -87.675975)","pink"
"8187",40210,"Damen-Cermak","03/18/2018","U",621,2018-03-18,3,"Mar",2018,18,"Sunday","(41.854517, -87.675975)","pink"
"8460",40210,"Damen-Cermak","02/27/2018","W",1541,2018-02-27,2,"Feb",2018,27,"Tuesday","(41.854517, -87.675975)","pink"
"8478",40210,"Damen-Cermak","03/08/2018","W",1527,2018-03-08,3,"Mar",2018,8,"Thursday","(41.854517, -87.675975)","pink"
"8551",40210,"Damen-Cermak","02/23/2018","W",1540,2018-02-23,2,"Feb",2018,23,"Friday","(41.854517, -87.675975)","pink"
"8621",40210,"Damen-Cermak","02/06/2018","W",1470,2018-02-06,2,"Feb",2018,6,"Tuesday","(41.854517, -87.675975)","pink"
"8696",40210,"Damen-Cermak","03/28/2018","W",1453,2018-03-28,3,"Mar",2018,28,"Wednesday","(41.854517, -87.675975)","pink"
"8809",40210,"Damen-Cermak","02/01/2018","W",1466,2018-02-01,2,"Feb",2018,1,"Thursday","(41.854517, -87.675975)","pink"
"8863",40210,"Damen-Cermak","03/06/2018","W",1531,2018-03-06,3,"Mar",2018,6,"Tuesday","(41.854517, -87.675975)","pink"
"8874",40210,"Damen-Cermak","01/25/2018","W",1496,2018-01-25,1,"Jan",2018,25,"Thursday","(41.854517, -87.675975)","pink"
"8913",40210,"Damen-Cermak","02/07/2018","W",1437,2018-02-07,2,"Feb",2018,7,"Wednesday","(41.854517, -87.675975)","pink"
"9063",40210,"Damen-Cermak","02/20/2018","W",1457,2018-02-20,2,"Feb",2018,20,"Tuesday","(41.854517, -87.675975)","pink"
"9232",40210,"Damen-Cermak","01/29/2018","W",1400,2018-01-29,1,"Jan",2018,29,"Monday","(41.854517, -87.675975)","pink"
"9313",40210,"Damen-Cermak","01/17/2018","W",1446,2018-01-17,1,"Jan",2018,17,"Wednesday","(41.854517, -87.675975)","pink"
"9473",40210,"Damen-Cermak","02/19/2018","W",974,2018-02-19,2,"Feb",2018,19,"Monday","(41.854517, -87.675975)","pink"
"9628",40210,"Damen-Cermak","02/09/2018","W",1021,2018-02-09,2,"Feb",2018,9,"Friday","(41.854517, -87.675975)","pink"
"9652",40210,"Damen-Cermak","01/21/2018","U",551,2018-01-21,1,"Jan",2018,21,"Sunday","(41.854517, -87.675975)","pink"
"9778",40210,"Damen-Cermak","01/22/2018","W",1477,2018-01-22,1,"Jan",2018,22,"Monday","(41.854517, -87.675975)","pink"
"9792",40210,"Damen-Cermak","02/08/2018","W",1445,2018-02-08,2,"Feb",2018,8,"Thursday","(41.854517, -87.675975)","pink"
"9917",40210,"Damen-Cermak","03/22/2018","W",1602,2018-03-22,3,"Mar",2018,22,"Thursday","(41.854517, -87.675975)","pink"
"10039",40210,"Damen-Cermak","03/27/2018","W",1377,2018-03-27,3,"Mar",2018,27,"Tuesday","(41.854517, -87.675975)","pink"
"10105",40210,"Damen-Cermak","03/24/2018","A",839,2018-03-24,3,"Mar",2018,24,"Saturday","(41.854517, -87.675975)","pink"
"10195",40210,"Damen-Cermak","03/07/2018","W",1553,2018-03-07,3,"Mar",2018,7,"Wednesday","(41.854517, -87.675975)","pink"
"10219",40210,"Damen-Cermak","01/15/2018","W",812,2018-01-15,1,"Jan",2018,15,"Monday","(41.854517, -87.675975)","pink"
"10493",40210,"Damen-Cermak","03/26/2018","W",1332,2018-03-26,3,"Mar",2018,26,"Monday","(41.854517, -87.675975)","pink"
"10540",40210,"Damen-Cermak","01/14/2018","U",489,2018-01-14,1,"Jan",2018,14,"Sunday","(41.854517, -87.675975)","pink"
"10643",40210,"Damen-Cermak","02/02/2018","W",1274,2018-02-02,2,"Feb",2018,2,"Friday","(41.854517, -87.675975)","pink"
"10672",40210,"Damen-Cermak","03/14/2018","W",1549,2018-03-14,3,"Mar",2018,14,"Wednesday","(41.854517, -87.675975)","pink"
"10708",40210,"Damen-Cermak","01/08/2018","W",1324,2018-01-08,1,"Jan",2018,8,"Monday","(41.854517, -87.675975)","pink"
"11053",40210,"Damen-Cermak","01/10/2018","W",1359,2018-01-10,1,"Jan",2018,10,"Wednesday","(41.854517, -87.675975)","pink"
"11680",40210,"Damen-Cermak","01/30/2018","W",1501,2018-01-30,1,"Jan",2018,30,"Tuesday","(41.854517, -87.675975)","pink"
"11693",40210,"Damen-Cermak","01/04/2018","W",1041,2018-01-04,1,"Jan",2018,4,"Thursday","(41.854517, -87.675975)","pink"
"12134",40210,"Damen-Cermak","02/12/2018","W",1443,2018-02-12,2,"Feb",2018,12,"Monday","(41.854517, -87.675975)","pink"
"12769",40210,"Damen-Cermak","03/20/2018","W",1541,2018-03-20,3,"Mar",2018,20,"Tuesday","(41.854517, -87.675975)","pink"
"12799",40210,"Damen-Cermak","03/13/2018","W",1482,2018-03-13,3,"Mar",2018,13,"Tuesday","(41.854517, -87.675975)","pink"
"12912",40210,"Damen-Cermak","02/11/2018","U",543,2018-02-11,2,"Feb",2018,11,"Sunday","(41.854517, -87.675975)","pink"
"13038",40210,"Damen-Cermak","01/31/2018","W",1530,2018-01-31,1,"Jan",2018,31,"Wednesday","(41.854517, -87.675975)","pink"
"13145",40210,"Damen-Cermak","02/18/2018","U",559,2018-02-18,2,"Feb",2018,18,"Sunday","(41.854517, -87.675975)","pink"
"13282",40210,"Damen-Cermak","02/25/2018","U",550,2018-02-25,2,"Feb",2018,25,"Sunday","(41.854517, -87.675975)","pink"
"13311",40210,"Damen-Cermak","01/20/2018","A",868,2018-01-20,1,"Jan",2018,20,"Saturday","(41.854517, -87.675975)","pink"
"13372",40210,"Damen-Cermak","03/05/2018","W",1350,2018-03-05,3,"Mar",2018,5,"Monday","(41.854517, -87.675975)","pink"
"13393",40210,"Damen-Cermak","02/05/2018","W",1332,2018-02-05,2,"Feb",2018,5,"Monday","(41.854517, -87.675975)","pink"
"13535",40210,"Damen-Cermak","02/24/2018","A",781,2018-02-24,2,"Feb",2018,24,"Saturday","(41.854517, -87.675975)","pink"
"13671",40210,"Damen-Cermak","01/12/2018","W",1359,2018-01-12,1,"Jan",2018,12,"Friday","(41.854517, -87.675975)","pink"
"14268",40210,"Damen-Cermak","02/13/2018","W",1494,2018-02-13,2,"Feb",2018,13,"Tuesday","(41.854517, -87.675975)","pink"
"14902",40210,"Damen-Cermak","02/04/2018","U",466,2018-02-04,2,"Feb",2018,4,"Sunday","(41.854517, -87.675975)","pink"
"15027",40210,"Damen-Cermak","01/27/2018","A",772,2018-01-27,1,"Jan",2018,27,"Saturday","(41.854517, -87.675975)","pink"
"15253",40210,"Damen-Cermak","01/13/2018","A",644,2018-01-13,1,"Jan",2018,13,"Saturday","(41.854517, -87.675975)","pink"
"15254",40210,"Damen-Cermak","01/24/2018","W",1466,2018-01-24,1,"Jan",2018,24,"Wednesday","(41.854517, -87.675975)","pink"
"15270",40210,"Damen-Cermak","01/07/2018","U",494,2018-01-07,1,"Jan",2018,7,"Sunday","(41.854517, -87.675975)","pink"
"15303",40210,"Damen-Cermak","01/03/2018","W",1116,2018-01-03,1,"Jan",2018,3,"Wednesday","(41.854517, -87.675975)","pink"
"15580",40210,"Damen-Cermak","03/19/2018","W",1444,2018-03-19,3,"Mar",2018,19,"Monday","(41.854517, -87.675975)","pink"
"15588",40210,"Damen-Cermak","02/26/2018","W",1478,2018-02-26,2,"Feb",2018,26,"Monday","(41.854517, -87.675975)","pink"
