"","station_id","stationname","date","daytype","rides","loc","lineColor"
"7",40180,"Oak Park-Forest Park","12/17/2017","U",442,"(41.872108, -87.791602)","blue"
"585",40180,"Oak Park-Forest Park","12/19/2017","W",1770,"(41.872108, -87.791602)","blue"
"641",40180,"Oak Park-Forest Park","12/03/2017","U",553,"(41.872108, -87.791602)","blue"
"697",40180,"Oak Park-Forest Park","12/16/2017","A",660,"(41.872108, -87.791602)","blue"
"775",40180,"Oak Park-Forest Park","12/11/2017","W",1859,"(41.872108, -87.791602)","blue"
"1002",40180,"Oak Park-Forest Park","12/18/2017","W",1730,"(41.872108, -87.791602)","blue"
"1084",40180,"Oak Park-Forest Park","12/23/2017","A",653,"(41.872108, -87.791602)","blue"
"1355",40180,"Oak Park-Forest Park","12/10/2017","U",418,"(41.872108, -87.791602)","blue"
"1450",40180,"Oak Park-Forest Park","12/08/2017","W",1918,"(41.872108, -87.791602)","blue"
"1529",40180,"Oak Park-Forest Park","12/04/2017","W",1952,"(41.872108, -87.791602)","blue"
"1564",40180,"Oak Park-Forest Park","12/22/2017","W",1365,"(41.872108, -87.791602)","blue"
"1732",40180,"Oak Park-Forest Park","12/24/2017","U",336,"(41.872108, -87.791602)","blue"
"1872",40180,"Oak Park-Forest Park","12/25/2017","U",178,"(41.872108, -87.791602)","blue"
"2101",40180,"Oak Park-Forest Park","12/26/2017","W",718,"(41.872108, -87.791602)","blue"
"2193",40180,"Oak Park-Forest Park","12/28/2017","W",966,"(41.872108, -87.791602)","blue"
"2226",40180,"Oak Park-Forest Park","12/30/2017","A",383,"(41.872108, -87.791602)","blue"
"2234",40180,"Oak Park-Forest Park","12/29/2017","W",967,"(41.872108, -87.791602)","blue"
"2239",40180,"Oak Park-Forest Park","12/06/2017","W",1944,"(41.872108, -87.791602)","blue"
"2413",40180,"Oak Park-Forest Park","12/07/2017","W",1975,"(41.872108, -87.791602)","blue"
"2606",40180,"Oak Park-Forest Park","12/05/2017","W",1900,"(41.872108, -87.791602)","blue"
