"station_id"	"stationname"	"date"	"daytype"	"rides"	"loc"
"8969"	40960	"Pulaski-Orange"	"01/11/2018"	"W"	4885	"(41.799756, -87.724493)"
"8971"	40960	"Pulaski-Orange"	"03/24/2018"	"A"	1933	"(41.799756, -87.724493)"
"9318"	40960	"Pulaski-Orange"	"03/02/2018"	"W"	4988	"(41.799756, -87.724493)"
"9337"	40960	"Pulaski-Orange"	"01/02/2018"	"W"	2761	"(41.799756, -87.724493)"
"9360"	40960	"Pulaski-Orange"	"02/26/2018"	"W"	5184	"(41.799756, -87.724493)"
"9520"	40960	"Pulaski-Orange"	"02/04/2018"	"U"	990	"(41.799756, -87.724493)"
"9829"	40960	"Pulaski-Orange"	"02/08/2018"	"W"	5006	"(41.799756, -87.724493)"
"9912"	40960	"Pulaski-Orange"	"01/14/2018"	"U"	1142	"(41.799756, -87.724493)"
"10223"	40960	"Pulaski-Orange"	"02/23/2018"	"W"	5123	"(41.799756, -87.724493)"
"10326"	40960	"Pulaski-Orange"	"01/12/2018"	"W"	4386	"(41.799756, -87.724493)"
"10776"	40960	"Pulaski-Orange"	"02/14/2018"	"W"	5487	"(41.799756, -87.724493)"
"10962"	40960	"Pulaski-Orange"	"02/18/2018"	"U"	1456	"(41.799756, -87.724493)"
"10985"	40960	"Pulaski-Orange"	"01/27/2018"	"A"	2018	"(41.799756, -87.724493)"
"11098"	40960	"Pulaski-Orange"	"03/21/2018"	"W"	5358	"(41.799756, -87.724493)"
"11174"	40960	"Pulaski-Orange"	"01/08/2018"	"W"	4509	"(41.799756, -87.724493)"
"11204"	40960	"Pulaski-Orange"	"01/10/2018"	"W"	4842	"(41.799756, -87.724493)"
"11290"	40960	"Pulaski-Orange"	"02/12/2018"	"W"	4818	"(41.799756, -87.724493)"
"11384"	40960	"Pulaski-Orange"	"02/16/2018"	"W"	5069	"(41.799756, -87.724493)"
"11438"	40960	"Pulaski-Orange"	"01/15/2018"	"W"	2489	"(41.799756, -87.724493)"
"11584"	40960	"Pulaski-Orange"	"02/07/2018"	"W"	5009	"(41.799756, -87.724493)"
"11855"	40960	"Pulaski-Orange"	"01/25/2018"	"W"	5350	"(41.799756, -87.724493)"
"11858"	40960	"Pulaski-Orange"	"01/17/2018"	"W"	5133	"(41.799756, -87.724493)"
"12076"	40960	"Pulaski-Orange"	"01/29/2018"	"W"	5121	"(41.799756, -87.724493)"
"12107"	40960	"Pulaski-Orange"	"01/01/2018"	"U"	789	"(41.799756, -87.724493)"
"12248"	40960	"Pulaski-Orange"	"03/20/2018"	"W"	5135	"(41.799756, -87.724493)"
"12329"	40960	"Pulaski-Orange"	"01/06/2018"	"A"	1464	"(41.799756, -87.724493)"
"12347"	40960	"Pulaski-Orange"	"01/22/2018"	"W"	5137	"(41.799756, -87.724493)"
"12436"	40960	"Pulaski-Orange"	"03/11/2018"	"U"	1371	"(41.799756, -87.724493)"
"12515"	40960	"Pulaski-Orange"	"02/27/2018"	"W"	5502	"(41.799756, -87.724493)"
"12708"	40960	"Pulaski-Orange"	"02/17/2018"	"A"	1869	"(41.799756, -87.724493)"
"12752"	40960	"Pulaski-Orange"	"01/18/2018"	"W"	5148	"(41.799756, -87.724493)"
"12819"	40960	"Pulaski-Orange"	"03/17/2018"	"A"	2913	"(41.799756, -87.724493)"
"12896"	40960	"Pulaski-Orange"	"03/08/2018"	"W"	5333	"(41.799756, -87.724493)"
"12941"	40960	"Pulaski-Orange"	"03/23/2018"	"W"	5208	"(41.799756, -87.724493)"
"13059"	40960	"Pulaski-Orange"	"03/27/2018"	"W"	4236	"(41.799756, -87.724493)"
"13245"	40960	"Pulaski-Orange"	"03/05/2018"	"W"	4890	"(41.799756, -87.724493)"
"13658"	40960	"Pulaski-Orange"	"02/19/2018"	"W"	3189	"(41.799756, -87.724493)"
"13780"	40960	"Pulaski-Orange"	"03/06/2018"	"W"	5272	"(41.799756, -87.724493)"
"14185"	40960	"Pulaski-Orange"	"01/04/2018"	"W"	3506	"(41.799756, -87.724493)"
"14240"	40960	"Pulaski-Orange"	"01/30/2018"	"W"	5227	"(41.799756, -87.724493)"
"14290"	40960	"Pulaski-Orange"	"02/22/2018"	"W"	5254	"(41.799756, -87.724493)"
"14310"	40960	"Pulaski-Orange"	"03/18/2018"	"U"	1568	"(41.799756, -87.724493)"
"14400"	40960	"Pulaski-Orange"	"01/19/2018"	"W"	4918	"(41.799756, -87.724493)"
"14426"	40960	"Pulaski-Orange"	"03/25/2018"	"U"	1499	"(41.799756, -87.724493)"
"14644"	40960	"Pulaski-Orange"	"01/26/2018"	"W"	5064	"(41.799756, -87.724493)"
"14791"	40960	"Pulaski-Orange"	"03/03/2018"	"A"	2211	"(41.799756, -87.724493)"
"14835"	40960	"Pulaski-Orange"	"02/28/2018"	"W"	5558	"(41.799756, -87.724493)"
"14914"	40960	"Pulaski-Orange"	"01/20/2018"	"A"	2047	"(41.799756, -87.724493)"
"15064"	40960	"Pulaski-Orange"	"02/25/2018"	"U"	1401	"(41.799756, -87.724493)"
"15370"	40960	"Pulaski-Orange"	"02/05/2018"	"W"	4511	"(41.799756, -87.724493)"
"16035"	40960	"Pulaski-Orange"	"03/22/2018"	"W"	5413	"(41.799756, -87.724493)"
"16120"	40960	"Pulaski-Orange"	"03/19/2018"	"W"	5167	"(41.799756, -87.724493)"
"16595"	40960	"Pulaski-Orange"	"02/10/2018"	"A"	1631	"(41.799756, -87.724493)"
"16775"	40960	"Pulaski-Orange"	"03/09/2018"	"W"	4952	"(41.799756, -87.724493)"
"17121"	40960	"Pulaski-Orange"	"03/30/2018"	"W"	3648	"(41.799756, -87.724493)"
"17154"	40960	"Pulaski-Orange"	"03/01/2018"	"W"	5183	"(41.799756, -87.724493)"
"17196"	40960	"Pulaski-Orange"	"02/13/2018"	"W"	5372	"(41.799756, -87.724493)"
"17311"	40960	"Pulaski-Orange"	"01/16/2018"	"W"	5056	"(41.799756, -87.724493)"
"17508"	40960	"Pulaski-Orange"	"01/28/2018"	"U"	1337	"(41.799756, -87.724493)"
