"station_id"	"stationname"	"date"	"daytype"	"rides"	"loc"
"320854"	40960	"Pulaski-Orange"	"10/08/2012"	"W"	5307	"(41.799756, -87.724493)"
"321108"	40960	"Pulaski-Orange"	"03/06/2016"	"U"	1565	"(41.799756, -87.724493)"
"321296"	40960	"Pulaski-Orange"	"06/29/2002"	"A"	2274	"(41.799756, -87.724493)"
"321843"	40960	"Pulaski-Orange"	"09/30/2017"	"A"	2509	"(41.799756, -87.724493)"
"321924"	40960	"Pulaski-Orange"	"01/29/2016"	"W"	5198	"(41.799756, -87.724493)"
"322170"	40960	"Pulaski-Orange"	"08/01/2001"	"W"	4774	"(41.799756, -87.724493)"
"322333"	40960	"Pulaski-Orange"	"07/14/2002"	"U"	1157	"(41.799756, -87.724493)"
"322498"	40960	"Pulaski-Orange"	"02/21/2017"	"W"	5320	"(41.799756, -87.724493)"
"322873"	40960	"Pulaski-Orange"	"12/22/2005"	"W"	4673	"(41.799756, -87.724493)"
"322882"	40960	"Pulaski-Orange"	"07/04/2017"	"U"	2305	"(41.799756, -87.724493)"
"323008"	40960	"Pulaski-Orange"	"07/21/2005"	"W"	4717	"(41.799756, -87.724493)"
"323118"	40960	"Pulaski-Orange"	"11/02/2012"	"W"	5661	"(41.799756, -87.724493)"
"323299"	40960	"Pulaski-Orange"	"10/18/2004"	"W"	5374	"(41.799756, -87.724493)"
"323825"	40960	"Pulaski-Orange"	"03/30/2003"	"U"	978	"(41.799756, -87.724493)"
"323940"	40960	"Pulaski-Orange"	"05/10/2014"	"A"	2251	"(41.799756, -87.724493)"
"324012"	40960	"Pulaski-Orange"	"04/17/2007"	"W"	5552	"(41.799756, -87.724493)"
"324121"	40960	"Pulaski-Orange"	"10/28/2015"	"W"	5982	"(41.799756, -87.724493)"
"324264"	40960	"Pulaski-Orange"	"04/14/2010"	"W"	5266	"(41.799756, -87.724493)"
"324296"	40960	"Pulaski-Orange"	"07/11/2001"	"W"	5170	"(41.799756, -87.724493)"
"324589"	40960	"Pulaski-Orange"	"12/20/2005"	"W"	4608	"(41.799756, -87.724493)"
"324632"	40960	"Pulaski-Orange"	"10/01/2015"	"W"	6337	"(41.799756, -87.724493)"
"324788"	40960	"Pulaski-Orange"	"02/17/2012"	"W"	5268	"(41.799756, -87.724493)"
"324952"	40960	"Pulaski-Orange"	"09/28/2012"	"W"	5821	"(41.799756, -87.724493)"
"324974"	40960	"Pulaski-Orange"	"03/01/2010"	"W"	3874	"(41.799756, -87.724493)"
"325123"	40960	"Pulaski-Orange"	"09/26/2008"	"W"	5967	"(41.799756, -87.724493)"
"325200"	40960	"Pulaski-Orange"	"04/01/2007"	"U"	1028	"(41.799756, -87.724493)"
"325222"	40960	"Pulaski-Orange"	"03/04/2013"	"W"	5159	"(41.799756, -87.724493)"
"325352"	40960	"Pulaski-Orange"	"05/20/2012"	"U"	1816	"(41.799756, -87.724493)"
"325377"	40960	"Pulaski-Orange"	"07/20/2008"	"U"	1748	"(41.799756, -87.724493)"
"325456"	40960	"Pulaski-Orange"	"09/20/2012"	"W"	6151	"(41.799756, -87.724493)"
"325464"	40960	"Pulaski-Orange"	"12/23/2003"	"W"	3770	"(41.799756, -87.724493)"
"325512"	40960	"Pulaski-Orange"	"04/02/2016"	"A"	2090	"(41.799756, -87.724493)"
"325562"	40960	"Pulaski-Orange"	"09/24/2009"	"W"	5327	"(41.799756, -87.724493)"
"325697"	40960	"Pulaski-Orange"	"05/09/2016"	"W"	5220	"(41.799756, -87.724493)"
"325742"	40960	"Pulaski-Orange"	"09/09/2001"	"U"	847	"(41.799756, -87.724493)"
"325769"	40960	"Pulaski-Orange"	"04/24/2006"	"W"	5450	"(41.799756, -87.724493)"
"325787"	40960	"Pulaski-Orange"	"07/02/2010"	"W"	4865	"(41.799756, -87.724493)"
"326357"	40960	"Pulaski-Orange"	"12/20/2011"	"W"	4943	"(41.799756, -87.724493)"
"326581"	40960	"Pulaski-Orange"	"11/30/2009"	"W"	5084	"(41.799756, -87.724493)"
"326865"	40960	"Pulaski-Orange"	"04/10/2003"	"W"	5573	"(41.799756, -87.724493)"
"326983"	40960	"Pulaski-Orange"	"12/07/2009"	"W"	4993	"(41.799756, -87.724493)"
"327039"	40960	"Pulaski-Orange"	"01/05/2015"	"W"	4528	"(41.799756, -87.724493)"
"327068"	40960	"Pulaski-Orange"	"01/06/2007"	"A"	1678	"(41.799756, -87.724493)"
"327138"	40960	"Pulaski-Orange"	"10/10/2003"	"W"	5713	"(41.799756, -87.724493)"
"327191"	40960	"Pulaski-Orange"	"09/01/2012"	"A"	2288	"(41.799756, -87.724493)"
"327455"	40960	"Pulaski-Orange"	"12/10/2002"	"W"	5516	"(41.799756, -87.724493)"
"327487"	40960	"Pulaski-Orange"	"07/24/2001"	"W"	4927	"(41.799756, -87.724493)"
"327678"	40960	"Pulaski-Orange"	"08/13/2004"	"W"	4427	"(41.799756, -87.724493)"
"327944"	40960	"Pulaski-Orange"	"10/24/2017"	"W"	5558	"(41.799756, -87.724493)"
"328031"	40960	"Pulaski-Orange"	"12/17/2008"	"W"	4950	"(41.799756, -87.724493)"
"328077"	40960	"Pulaski-Orange"	"01/16/2006"	"W"	2694	"(41.799756, -87.724493)"
"328117"	40960	"Pulaski-Orange"	"05/20/2014"	"W"	5461	"(41.799756, -87.724493)"
"328149"	40960	"Pulaski-Orange"	"07/01/2001"	"U"	1881	"(41.799756, -87.724493)"
"328333"	40960	"Pulaski-Orange"	"02/19/2017"	"U"	1761	"(41.799756, -87.724493)"
"328745"	40960	"Pulaski-Orange"	"04/13/2005"	"W"	5441	"(41.799756, -87.724493)"
"328747"	40960	"Pulaski-Orange"	"08/17/2013"	"A"	2566	"(41.799756, -87.724493)"
"328763"	40960	"Pulaski-Orange"	"01/19/2004"	"W"	2445	"(41.799756, -87.724493)"
"329009"	40960	"Pulaski-Orange"	"01/24/2004"	"A"	1375	"(41.799756, -87.724493)"
"329025"	40960	"Pulaski-Orange"	"03/30/2015"	"W"	5076	"(41.799756, -87.724493)"
"329349"	40960	"Pulaski-Orange"	"07/27/2003"	"U"	1390	"(41.799756, -87.724493)"
"329359"	40960	"Pulaski-Orange"	"06/18/2007"	"W"	4453	"(41.799756, -87.724493)"
"329671"	40960	"Pulaski-Orange"	"09/09/2011"	"W"	5365	"(41.799756, -87.724493)"
"329694"	40960	"Pulaski-Orange"	"06/07/2016"	"W"	5558	"(41.799756, -87.724493)"
"329739"	40960	"Pulaski-Orange"	"08/26/2013"	"W"	5437	"(41.799756, -87.724493)"
"329832"	40960	"Pulaski-Orange"	"12/18/2015"	"W"	5223	"(41.799756, -87.724493)"
"329897"	40960	"Pulaski-Orange"	"11/11/2016"	"W"	4428	"(41.799756, -87.724493)"
"330003"	40960	"Pulaski-Orange"	"05/27/2004"	"W"	5337	"(41.799756, -87.724493)"
"330011"	40960	"Pulaski-Orange"	"07/20/2002"	"A"	1669	"(41.799756, -87.724493)"
"330051"	40960	"Pulaski-Orange"	"08/11/2011"	"W"	4791	"(41.799756, -87.724493)"
"330267"	40960	"Pulaski-Orange"	"03/16/2012"	"W"	5510	"(41.799756, -87.724493)"
"330289"	40960	"Pulaski-Orange"	"06/24/2007"	"U"	2487	"(41.799756, -87.724493)"
"330339"	40960	"Pulaski-Orange"	"02/15/2017"	"W"	5426	"(41.799756, -87.724493)"
"330607"	40960	"Pulaski-Orange"	"12/13/2002"	"W"	5284	"(41.799756, -87.724493)"
"330630"	40960	"Pulaski-Orange"	"06/11/2017"	"U"	2157	"(41.799756, -87.724493)"
"330633"	40960	"Pulaski-Orange"	"08/08/2003"	"W"	4710	"(41.799756, -87.724493)"
"330818"	40960	"Pulaski-Orange"	"06/20/2004"	"U"	1162	"(41.799756, -87.724493)"
"331048"	40960	"Pulaski-Orange"	"03/12/2010"	"W"	4639	"(41.799756, -87.724493)"
"331171"	40960	"Pulaski-Orange"	"03/11/2010"	"W"	4905	"(41.799756, -87.724493)"
"331181"	40960	"Pulaski-Orange"	"07/27/2001"	"W"	4663	"(41.799756, -87.724493)"
"331594"	40960	"Pulaski-Orange"	"12/15/2005"	"W"	5185	"(41.799756, -87.724493)"
"331598"	40960	"Pulaski-Orange"	"12/28/2016"	"W"	3647	"(41.799756, -87.724493)"
"331710"	40960	"Pulaski-Orange"	"11/09/2007"	"W"	5564	"(41.799756, -87.724493)"
"331990"	40960	"Pulaski-Orange"	"09/18/2013"	"W"	5814	"(41.799756, -87.724493)"
"332083"	40960	"Pulaski-Orange"	"08/16/2014"	"A"	2601	"(41.799756, -87.724493)"
"332106"	40960	"Pulaski-Orange"	"09/05/2001"	"W"	5816	"(41.799756, -87.724493)"
"332216"	40960	"Pulaski-Orange"	"12/03/2006"	"U"	1009	"(41.799756, -87.724493)"
"332269"	40960	"Pulaski-Orange"	"02/27/2004"	"W"	5179	"(41.799756, -87.724493)"
"332502"	40960	"Pulaski-Orange"	"07/22/2002"	"W"	4753	"(41.799756, -87.724493)"
"332506"	40960	"Pulaski-Orange"	"08/11/2015"	"W"	5025	"(41.799756, -87.724493)"
"332698"	40960	"Pulaski-Orange"	"12/26/2014"	"W"	3240	"(41.799756, -87.724493)"
"333311"	40960	"Pulaski-Orange"	"03/26/2005"	"A"	1381	"(41.799756, -87.724493)"
"333437"	40960	"Pulaski-Orange"	"10/25/2013"	"W"	5311	"(41.799756, -87.724493)"
"333439"	40960	"Pulaski-Orange"	"09/05/2008"	"W"	5686	"(41.799756, -87.724493)"
"333472"	40960	"Pulaski-Orange"	"10/07/2014"	"W"	6216	"(41.799756, -87.724493)"
"333605"	40960	"Pulaski-Orange"	"09/20/2010"	"W"	5403	"(41.799756, -87.724493)"
"333634"	40960	"Pulaski-Orange"	"11/15/2007"	"W"	5661	"(41.799756, -87.724493)"
"333789"	40960	"Pulaski-Orange"	"07/07/2008"	"W"	4857	"(41.799756, -87.724493)"
"333848"	40960	"Pulaski-Orange"	"06/18/2004"	"W"	4815	"(41.799756, -87.724493)"
"334097"	40960	"Pulaski-Orange"	"05/28/2007"	"U"	1395	"(41.799756, -87.724493)"
"334338"	40960	"Pulaski-Orange"	"07/31/2001"	"W"	4720	"(41.799756, -87.724493)"
"334381"	40960	"Pulaski-Orange"	"05/23/2010"	"U"	1722	"(41.799756, -87.724493)"
"334570"	40960	"Pulaski-Orange"	"11/08/2017"	"W"	5914	"(41.799756, -87.724493)"
"334764"	40960	"Pulaski-Orange"	"08/14/2003"	"W"	4670	"(41.799756, -87.724493)"
"334802"	40960	"Pulaski-Orange"	"10/26/2008"	"U"	1311	"(41.799756, -87.724493)"
"334897"	40960	"Pulaski-Orange"	"05/27/2012"	"U"	2045	"(41.799756, -87.724493)"
"334904"	40960	"Pulaski-Orange"	"01/31/2011"	"W"	4763	"(41.799756, -87.724493)"
"334986"	40960	"Pulaski-Orange"	"05/23/2005"	"W"	5443	"(41.799756, -87.724493)"
"335028"	40960	"Pulaski-Orange"	"01/09/2007"	"W"	5318	"(41.799756, -87.724493)"
"335212"	40960	"Pulaski-Orange"	"12/20/2009"	"U"	1211	"(41.799756, -87.724493)"
"335326"	40960	"Pulaski-Orange"	"02/18/2016"	"W"	5523	"(41.799756, -87.724493)"
"335510"	40960	"Pulaski-Orange"	"11/05/2012"	"W"	5812	"(41.799756, -87.724493)"
"335526"	40960	"Pulaski-Orange"	"05/11/2006"	"W"	5263	"(41.799756, -87.724493)"
"335554"	40960	"Pulaski-Orange"	"11/05/2016"	"A"	2640	"(41.799756, -87.724493)"
"335637"	40960	"Pulaski-Orange"	"09/13/2004"	"W"	5580	"(41.799756, -87.724493)"
"335640"	40960	"Pulaski-Orange"	"04/04/2008"	"W"	5241	"(41.799756, -87.724493)"
"335651"	40960	"Pulaski-Orange"	"10/08/2014"	"W"	6256	"(41.799756, -87.724493)"
"335923"	40960	"Pulaski-Orange"	"07/04/2013"	"U"	2551	"(41.799756, -87.724493)"
"336138"	40960	"Pulaski-Orange"	"06/14/2014"	"A"	2706	"(41.799756, -87.724493)"
"336191"	40960	"Pulaski-Orange"	"05/15/2016"	"U"	1658	"(41.799756, -87.724493)"
"336253"	40960	"Pulaski-Orange"	"06/22/2003"	"U"	1298	"(41.799756, -87.724493)"
"336339"	40960	"Pulaski-Orange"	"03/25/2014"	"W"	5299	"(41.799756, -87.724493)"
"336504"	40960	"Pulaski-Orange"	"12/31/2006"	"U"	1037	"(41.799756, -87.724493)"
"336546"	40960	"Pulaski-Orange"	"04/25/2011"	"W"	4888	"(41.799756, -87.724493)"
"336684"	40960	"Pulaski-Orange"	"04/04/2005"	"W"	5173	"(41.799756, -87.724493)"
"336737"	40960	"Pulaski-Orange"	"04/13/2011"	"W"	5380	"(41.799756, -87.724493)"
"336958"	40960	"Pulaski-Orange"	"03/25/2011"	"W"	4737	"(41.799756, -87.724493)"
"337024"	40960	"Pulaski-Orange"	"11/30/2006"	"W"	5448	"(41.799756, -87.724493)"
"337038"	40960	"Pulaski-Orange"	"05/28/2006"	"U"	1402	"(41.799756, -87.724493)"
"337433"	40960	"Pulaski-Orange"	"11/20/2016"	"U"	1632	"(41.799756, -87.724493)"
"337799"	40960	"Pulaski-Orange"	"10/24/2014"	"W"	5762	"(41.799756, -87.724493)"
"337861"	40960	"Pulaski-Orange"	"11/27/2017"	"W"	5462	"(41.799756, -87.724493)"
"337982"	40960	"Pulaski-Orange"	"10/22/2004"	"W"	5422	"(41.799756, -87.724493)"
"338018"	40960	"Pulaski-Orange"	"03/06/2004"	"A"	1691	"(41.799756, -87.724493)"
"338222"	40960	"Pulaski-Orange"	"01/06/2006"	"W"	3727	"(41.799756, -87.724493)"
"338403"	40960	"Pulaski-Orange"	"02/17/2016"	"W"	5487	"(41.799756, -87.724493)"
"338531"	40960	"Pulaski-Orange"	"02/15/2015"	"U"	1186	"(41.799756, -87.724493)"
"338814"	40960	"Pulaski-Orange"	"12/04/2014"	"W"	5707	"(41.799756, -87.724493)"
"338888"	40960	"Pulaski-Orange"	"04/04/2003"	"W"	5082	"(41.799756, -87.724493)"
"338913"	40960	"Pulaski-Orange"	"09/06/2002"	"W"	5704	"(41.799756, -87.724493)"
"339046"	40960	"Pulaski-Orange"	"11/12/2009"	"W"	5326	"(41.799756, -87.724493)"
"339052"	40960	"Pulaski-Orange"	"11/09/2005"	"W"	5742	"(41.799756, -87.724493)"
"339059"	40960	"Pulaski-Orange"	"08/27/2005"	"A"	2066	"(41.799756, -87.724493)"
"339445"	40960	"Pulaski-Orange"	"04/23/2009"	"W"	4800	"(41.799756, -87.724493)"
"339577"	40960	"Pulaski-Orange"	"04/18/2011"	"W"	3966	"(41.799756, -87.724493)"
"339655"	40960	"Pulaski-Orange"	"02/14/2014"	"W"	5337	"(41.799756, -87.724493)"
"339752"	40960	"Pulaski-Orange"	"05/05/2015"	"W"	5409	"(41.799756, -87.724493)"
"340033"	40960	"Pulaski-Orange"	"08/20/2005"	"A"	2137	"(41.799756, -87.724493)"
"340095"	40960	"Pulaski-Orange"	"09/25/2017"	"W"	5835	"(41.799756, -87.724493)"
"340149"	40960	"Pulaski-Orange"	"10/31/2001"	"W"	5605	"(41.799756, -87.724493)"
"340196"	40960	"Pulaski-Orange"	"06/29/2012"	"W"	4664	"(41.799756, -87.724493)"
"340276"	40960	"Pulaski-Orange"	"07/05/2012"	"W"	4295	"(41.799756, -87.724493)"
"340311"	40960	"Pulaski-Orange"	"06/10/2007"	"U"	1562	"(41.799756, -87.724493)"
"340343"	40960	"Pulaski-Orange"	"05/11/2015"	"W"	4985	"(41.799756, -87.724493)"
"340646"	40960	"Pulaski-Orange"	"03/02/2008"	"U"	1219	"(41.799756, -87.724493)"
"340675"	40960	"Pulaski-Orange"	"03/17/2017"	"W"	5302	"(41.799756, -87.724493)"
"340700"	40960	"Pulaski-Orange"	"12/01/2004"	"W"	5472	"(41.799756, -87.724493)"
"340754"	40960	"Pulaski-Orange"	"10/31/2017"	"W"	5339	"(41.799756, -87.724493)"
"340803"	40960	"Pulaski-Orange"	"07/21/2017"	"W"	4903	"(41.799756, -87.724493)"
"340835"	40960	"Pulaski-Orange"	"11/29/2002"	"W"	2514	"(41.799756, -87.724493)"
"340969"	40960	"Pulaski-Orange"	"08/29/2005"	"W"	4463	"(41.799756, -87.724493)"
"340979"	40960	"Pulaski-Orange"	"05/02/2012"	"W"	5802	"(41.799756, -87.724493)"
"341581"	40960	"Pulaski-Orange"	"03/17/2003"	"W"	5316	"(41.799756, -87.724493)"
"341708"	40960	"Pulaski-Orange"	"11/27/2015"	"W"	2521	"(41.799756, -87.724493)"
"341726"	40960	"Pulaski-Orange"	"06/15/2010"	"W"	4719	"(41.799756, -87.724493)"
"341825"	40960	"Pulaski-Orange"	"01/15/2003"	"W"	5286	"(41.799756, -87.724493)"
"341834"	40960	"Pulaski-Orange"	"08/12/2016"	"W"	4414	"(41.799756, -87.724493)"
"341912"	40960	"Pulaski-Orange"	"07/05/2017"	"W"	4942	"(41.799756, -87.724493)"
"342073"	40960	"Pulaski-Orange"	"01/15/2010"	"W"	4628	"(41.799756, -87.724493)"
"342166"	40960	"Pulaski-Orange"	"05/18/2009"	"W"	4804	"(41.799756, -87.724493)"
"342415"	40960	"Pulaski-Orange"	"01/06/2014"	"W"	1499	"(41.799756, -87.724493)"
"342647"	40960	"Pulaski-Orange"	"03/31/2003"	"W"	5248	"(41.799756, -87.724493)"
"343187"	40960	"Pulaski-Orange"	"01/29/2006"	"U"	1043	"(41.799756, -87.724493)"
"343748"	40960	"Pulaski-Orange"	"06/20/2002"	"W"	5392	"(41.799756, -87.724493)"
"344202"	40960	"Pulaski-Orange"	"05/25/2013"	"A"	1926	"(41.799756, -87.724493)"
"344346"	40960	"Pulaski-Orange"	"08/22/2009"	"A"	2025	"(41.799756, -87.724493)"
"344543"	40960	"Pulaski-Orange"	"08/07/2010"	"A"	2639	"(41.799756, -87.724493)"
"344628"	40960	"Pulaski-Orange"	"04/12/2015"	"U"	1711	"(41.799756, -87.724493)"
"344823"	40960	"Pulaski-Orange"	"05/10/2013"	"W"	5085	"(41.799756, -87.724493)"
"345045"	40960	"Pulaski-Orange"	"09/29/2016"	"W"	5945	"(41.799756, -87.724493)"
"345160"	40960	"Pulaski-Orange"	"08/10/2007"	"W"	4829	"(41.799756, -87.724493)"
"345182"	40960	"Pulaski-Orange"	"01/04/2010"	"W"	4146	"(41.799756, -87.724493)"
"345451"	40960	"Pulaski-Orange"	"06/21/2011"	"W"	4757	"(41.799756, -87.724493)"
"345739"	40960	"Pulaski-Orange"	"02/20/2011"	"U"	1082	"(41.799756, -87.724493)"
"345806"	40960	"Pulaski-Orange"	"06/08/2013"	"A"	2565	"(41.799756, -87.724493)"
"345913"	40960	"Pulaski-Orange"	"06/15/2004"	"W"	5482	"(41.799756, -87.724493)"
"345933"	40960	"Pulaski-Orange"	"03/14/2007"	"W"	5555	"(41.799756, -87.724493)"
"346519"	40960	"Pulaski-Orange"	"02/18/2007"	"U"	1002	"(41.799756, -87.724493)"
"346614"	40960	"Pulaski-Orange"	"10/05/2007"	"W"	5605	"(41.799756, -87.724493)"
"346655"	40960	"Pulaski-Orange"	"10/09/2007"	"W"	5913	"(41.799756, -87.724493)"
"346684"	40960	"Pulaski-Orange"	"01/16/2004"	"W"	5093	"(41.799756, -87.724493)"
"346695"	40960	"Pulaski-Orange"	"01/05/2014"	"U"	1021	"(41.799756, -87.724493)"
"347138"	40960	"Pulaski-Orange"	"12/16/2015"	"W"	5481	"(41.799756, -87.724493)"
"347283"	40960	"Pulaski-Orange"	"05/23/2013"	"W"	5157	"(41.799756, -87.724493)"
"347314"	40960	"Pulaski-Orange"	"05/24/2004"	"W"	5270	"(41.799756, -87.724493)"
"347631"	40960	"Pulaski-Orange"	"06/11/2003"	"W"	5572	"(41.799756, -87.724493)"
"347740"	40960	"Pulaski-Orange"	"01/10/2017"	"W"	4895	"(41.799756, -87.724493)"
"347906"	40960	"Pulaski-Orange"	"02/13/2001"	"W"	5668	"(41.799756, -87.724493)"
"347959"	40960	"Pulaski-Orange"	"05/18/2016"	"W"	5350	"(41.799756, -87.724493)"
"348041"	40960	"Pulaski-Orange"	"09/17/2007"	"W"	5810	"(41.799756, -87.724493)"
"348073"	40960	"Pulaski-Orange"	"02/06/2011"	"U"	1001	"(41.799756, -87.724493)"
"348378"	40960	"Pulaski-Orange"	"12/18/2012"	"W"	5102	"(41.799756, -87.724493)"
"348690"	40960	"Pulaski-Orange"	"07/05/2007"	"W"	5138	"(41.799756, -87.724493)"
"348746"	40960	"Pulaski-Orange"	"07/18/2002"	"W"	5120	"(41.799756, -87.724493)"
"348749"	40960	"Pulaski-Orange"	"03/05/2002"	"W"	5458	"(41.799756, -87.724493)"
"348765"	40960	"Pulaski-Orange"	"08/24/2015"	"W"	5296	"(41.799756, -87.724493)"
"348780"	40960	"Pulaski-Orange"	"10/05/2002"	"A"	1737	"(41.799756, -87.724493)"
"348837"	40960	"Pulaski-Orange"	"03/19/2010"	"W"	4808	"(41.799756, -87.724493)"
"348850"	40960	"Pulaski-Orange"	"07/20/2004"	"W"	4918	"(41.799756, -87.724493)"
"348901"	40960	"Pulaski-Orange"	"11/02/2015"	"W"	5909	"(41.799756, -87.724493)"
"348930"	40960	"Pulaski-Orange"	"01/30/2015"	"W"	5059	"(41.799756, -87.724493)"
"349063"	40960	"Pulaski-Orange"	"05/12/2016"	"W"	5444	"(41.799756, -87.724493)"
"349126"	40960	"Pulaski-Orange"	"12/05/2015"	"A"	2873	"(41.799756, -87.724493)"
"349212"	40960	"Pulaski-Orange"	"06/17/2003"	"W"	5349	"(41.799756, -87.724493)"
"349339"	40960	"Pulaski-Orange"	"09/21/2014"	"U"	1798	"(41.799756, -87.724493)"
"349486"	40960	"Pulaski-Orange"	"10/08/2013"	"W"	5786	"(41.799756, -87.724493)"
"349559"	40960	"Pulaski-Orange"	"01/30/2007"	"W"	5154	"(41.799756, -87.724493)"
"349720"	40960	"Pulaski-Orange"	"04/23/2010"	"W"	4631	"(41.799756, -87.724493)"
"349731"	40960	"Pulaski-Orange"	"05/23/2004"	"U"	988	"(41.799756, -87.724493)"
"349786"	40960	"Pulaski-Orange"	"04/09/2001"	"W"	5299	"(41.799756, -87.724493)"
"349940"	40960	"Pulaski-Orange"	"08/31/2017"	"W"	5486	"(41.799756, -87.724493)"
"350035"	40960	"Pulaski-Orange"	"10/10/2008"	"W"	5760	"(41.799756, -87.724493)"
"350307"	40960	"Pulaski-Orange"	"04/25/2003"	"W"	5154	"(41.799756, -87.724493)"
"350341"	40960	"Pulaski-Orange"	"01/27/2001"	"A"	1307	"(41.799756, -87.724493)"
"350405"	40960	"Pulaski-Orange"	"12/02/2016"	"W"	5490	"(41.799756, -87.724493)"
"350419"	40960	"Pulaski-Orange"	"01/12/2013"	"A"	2176	"(41.799756, -87.724493)"
"350530"	40960	"Pulaski-Orange"	"10/19/2016"	"W"	6031	"(41.799756, -87.724493)"
"350704"	40960	"Pulaski-Orange"	"04/16/2007"	"W"	5384	"(41.799756, -87.724493)"
"350886"	40960	"Pulaski-Orange"	"12/07/2001"	"W"	5398	"(41.799756, -87.724493)"
"351047"	40960	"Pulaski-Orange"	"03/12/2013"	"W"	5411	"(41.799756, -87.724493)"
"351175"	40960	"Pulaski-Orange"	"12/05/2014"	"W"	5555	"(41.799756, -87.724493)"
"351190"	40960	"Pulaski-Orange"	"01/05/2003"	"U"	796	"(41.799756, -87.724493)"
"351230"	40960	"Pulaski-Orange"	"01/20/2014"	"W"	2716	"(41.799756, -87.724493)"
"351426"	40960	"Pulaski-Orange"	"09/25/2002"	"W"	6019	"(41.799756, -87.724493)"
"351479"	40960	"Pulaski-Orange"	"07/16/2017"	"U"	1888	"(41.799756, -87.724493)"
"351501"	40960	"Pulaski-Orange"	"04/08/2002"	"W"	5263	"(41.799756, -87.724493)"
"351942"	40960	"Pulaski-Orange"	"03/07/2006"	"W"	5377	"(41.799756, -87.724493)"
"352074"	40960	"Pulaski-Orange"	"06/25/2014"	"W"	5165	"(41.799756, -87.724493)"
"352183"	40960	"Pulaski-Orange"	"12/21/2005"	"W"	4923	"(41.799756, -87.724493)"
"352366"	40960	"Pulaski-Orange"	"05/26/2017"	"W"	5114	"(41.799756, -87.724493)"
"352482"	40960	"Pulaski-Orange"	"03/20/2008"	"W"	4524	"(41.799756, -87.724493)"
"352658"	40960	"Pulaski-Orange"	"01/20/2015"	"W"	5486	"(41.799756, -87.724493)"
"352857"	40960	"Pulaski-Orange"	"10/11/2012"	"W"	6016	"(41.799756, -87.724493)"
"352916"	40960	"Pulaski-Orange"	"07/24/2004"	"A"	1833	"(41.799756, -87.724493)"
"353273"	40960	"Pulaski-Orange"	"07/11/2013"	"W"	5554	"(41.799756, -87.724493)"
"353316"	40960	"Pulaski-Orange"	"03/13/2002"	"W"	5623	"(41.799756, -87.724493)"
"353338"	40960	"Pulaski-Orange"	"07/29/2016"	"W"	5454	"(41.799756, -87.724493)"
"353389"	40960	"Pulaski-Orange"	"09/18/2007"	"W"	6047	"(41.799756, -87.724493)"
"353416"	40960	"Pulaski-Orange"	"04/17/2002"	"W"	4657	"(41.799756, -87.724493)"
"353555"	40960	"Pulaski-Orange"	"04/04/2016"	"W"	5279	"(41.799756, -87.724493)"
"353565"	40960	"Pulaski-Orange"	"06/18/2014"	"W"	4742	"(41.799756, -87.724493)"
"354236"	40960	"Pulaski-Orange"	"04/09/2008"	"W"	5654	"(41.799756, -87.724493)"
"354541"	40960	"Pulaski-Orange"	"03/16/2002"	"A"	1854	"(41.799756, -87.724493)"
"354627"	40960	"Pulaski-Orange"	"08/28/2002"	"W"	5078	"(41.799756, -87.724493)"
"354917"	40960	"Pulaski-Orange"	"07/01/2007"	"U"	2642	"(41.799756, -87.724493)"
"354943"	40960	"Pulaski-Orange"	"04/09/2016"	"A"	2259	"(41.799756, -87.724493)"
"354966"	40960	"Pulaski-Orange"	"02/23/2009"	"W"	4754	"(41.799756, -87.724493)"
"355108"	40960	"Pulaski-Orange"	"10/22/2016"	"A"	2733	"(41.799756, -87.724493)"
"355464"	40960	"Pulaski-Orange"	"01/06/2008"	"U"	1079	"(41.799756, -87.724493)"
"355723"	40960	"Pulaski-Orange"	"05/18/2010"	"W"	4724	"(41.799756, -87.724493)"
"355982"	40960	"Pulaski-Orange"	"08/11/2004"	"W"	4586	"(41.799756, -87.724493)"
"356423"	40960	"Pulaski-Orange"	"09/09/2005"	"W"	5506	"(41.799756, -87.724493)"
"356458"	40960	"Pulaski-Orange"	"07/13/2002"	"A"	1735	"(41.799756, -87.724493)"
"356499"	40960	"Pulaski-Orange"	"10/01/2016"	"A"	2220	"(41.799756, -87.724493)"
"356649"	40960	"Pulaski-Orange"	"04/14/2008"	"W"	5567	"(41.799756, -87.724493)"
"356662"	40960	"Pulaski-Orange"	"04/12/2017"	"W"	4855	"(41.799756, -87.724493)"
"356734"	40960	"Pulaski-Orange"	"08/22/2013"	"W"	4862	"(41.799756, -87.724493)"
"356764"	40960	"Pulaski-Orange"	"07/17/2009"	"W"	4261	"(41.799756, -87.724493)"
"356956"	40960	"Pulaski-Orange"	"08/14/2005"	"U"	1160	"(41.799756, -87.724493)"
"357017"	40960	"Pulaski-Orange"	"12/12/2008"	"W"	4752	"(41.799756, -87.724493)"
"357158"	40960	"Pulaski-Orange"	"08/24/2008"	"U"	1813	"(41.799756, -87.724493)"
"357322"	40960	"Pulaski-Orange"	"07/18/2008"	"W"	5287	"(41.799756, -87.724493)"
"357328"	40960	"Pulaski-Orange"	"09/01/2001"	"A"	1478	"(41.799756, -87.724493)"
"358201"	40960	"Pulaski-Orange"	"08/07/2004"	"A"	1815	"(41.799756, -87.724493)"
