"","station_id","stationname","date","daytype","rides","date_ymd","month","month_char","year","day","day_of_week","loc","lineColor"
"322",41360,"California-Lake","12/07/2017","W",991,2017-12-07,12,"Dec",2017,7,"Thursday","(41.88422, -87.696234)","green"
"371",41360,"California-Lake","12/16/2017","A",527,2017-12-16,12,"Dec",2017,16,"Saturday","(41.88422, -87.696234)","green"
"425",41360,"California-Lake","12/26/2017","W",499,2017-12-26,12,"Dec",2017,26,"Tuesday","(41.88422, -87.696234)","green"
"596",41360,"California-Lake","12/29/2017","W",737,2017-12-29,12,"Dec",2017,29,"Friday","(41.88422, -87.696234)","green"
"709",41360,"California-Lake","12/08/2017","W",953,2017-12-08,12,"Dec",2017,8,"Friday","(41.88422, -87.696234)","green"
"732",41360,"California-Lake","12/20/2017","W",962,2017-12-20,12,"Dec",2017,20,"Wednesday","(41.88422, -87.696234)","green"
"1131",41360,"California-Lake","12/11/2017","W",1007,2017-12-11,12,"Dec",2017,11,"Monday","(41.88422, -87.696234)","green"
"1192",41360,"California-Lake","12/25/2017","U",264,2017-12-25,12,"Dec",2017,25,"Monday","(41.88422, -87.696234)","green"
"1364",41360,"California-Lake","12/09/2017","A",478,2017-12-09,12,"Dec",2017,9,"Saturday","(41.88422, -87.696234)","green"
"1478",41360,"California-Lake","12/04/2017","W",1095,2017-12-04,12,"Dec",2017,4,"Monday","(41.88422, -87.696234)","green"
"1548",41360,"California-Lake","12/23/2017","A",468,2017-12-23,12,"Dec",2017,23,"Saturday","(41.88422, -87.696234)","green"
"1557",41360,"California-Lake","12/10/2017","U",365,2017-12-10,12,"Dec",2017,10,"Sunday","(41.88422, -87.696234)","green"
"1582",41360,"California-Lake","12/14/2017","W",1006,2017-12-14,12,"Dec",2017,14,"Thursday","(41.88422, -87.696234)","green"
"1606",41360,"California-Lake","12/03/2017","U",438,2017-12-03,12,"Dec",2017,3,"Sunday","(41.88422, -87.696234)","green"
"1741",41360,"California-Lake","12/28/2017","W",659,2017-12-28,12,"Dec",2017,28,"Thursday","(41.88422, -87.696234)","green"
"1857",41360,"California-Lake","12/31/2017","U",311,2017-12-31,12,"Dec",2017,31,"Sunday","(41.88422, -87.696234)","green"
"2383",41360,"California-Lake","12/22/2017","W",887,2017-12-22,12,"Dec",2017,22,"Friday","(41.88422, -87.696234)","green"
"2455",41360,"California-Lake","12/02/2017","A",573,2017-12-02,12,"Dec",2017,2,"Saturday","(41.88422, -87.696234)","green"
"2494",41360,"California-Lake","12/17/2017","U",372,2017-12-17,12,"Dec",2017,17,"Sunday","(41.88422, -87.696234)","green"
"2583",41360,"California-Lake","12/18/2017","W",1005,2017-12-18,12,"Dec",2017,18,"Monday","(41.88422, -87.696234)","green"
"2789",41360,"California-Lake","12/01/2017","W",1104,2017-12-01,12,"Dec",2017,1,"Friday","(41.88422, -87.696234)","green"
"2895",41360,"California-Lake","12/12/2017","W",1006,2017-12-12,12,"Dec",2017,12,"Tuesday","(41.88422, -87.696234)","green"
"3045",41360,"California-Lake","12/13/2017","W",956,2017-12-13,12,"Dec",2017,13,"Wednesday","(41.88422, -87.696234)","green"
"3164",41360,"California-Lake","12/30/2017","A",413,2017-12-30,12,"Dec",2017,30,"Saturday","(41.88422, -87.696234)","green"
"3177",41360,"California-Lake","12/15/2017","W",1001,2017-12-15,12,"Dec",2017,15,"Friday","(41.88422, -87.696234)","green"
"3273",41360,"California-Lake","12/19/2017","W",1023,2017-12-19,12,"Dec",2017,19,"Tuesday","(41.88422, -87.696234)","green"
"3540",41360,"California-Lake","12/06/2017","W",1073,2017-12-06,12,"Dec",2017,6,"Wednesday","(41.88422, -87.696234)","green"
"3609",41360,"California-Lake","12/27/2017","W",632,2017-12-27,12,"Dec",2017,27,"Wednesday","(41.88422, -87.696234)","green"
"3700",41360,"California-Lake","12/21/2017","W",943,2017-12-21,12,"Dec",2017,21,"Thursday","(41.88422, -87.696234)","green"
"3854",41360,"California-Lake","12/24/2017","U",316,2017-12-24,12,"Dec",2017,24,"Sunday","(41.88422, -87.696234)","green"
"4280",41360,"California-Lake","12/05/2017","W",1041,2017-12-05,12,"Dec",2017,5,"Tuesday","(41.88422, -87.696234)","green"
"4650",41360,"California-Lake","02/08/2018","W",953,2018-02-08,2,"Feb",2018,8,"Thursday","(41.88422, -87.696234)","green"
"4865",41360,"California-Lake","03/19/2018","W",952,2018-03-19,3,"Mar",2018,19,"Monday","(41.88422, -87.696234)","green"
"4931",41360,"California-Lake","01/19/2018","W",949,2018-01-19,1,"Jan",2018,19,"Friday","(41.88422, -87.696234)","green"
"4977",41360,"California-Lake","02/09/2018","W",593,2018-02-09,2,"Feb",2018,9,"Friday","(41.88422, -87.696234)","green"
"5144",41360,"California-Lake","01/25/2018","W",1043,2018-01-25,1,"Jan",2018,25,"Thursday","(41.88422, -87.696234)","green"
"5146",41360,"California-Lake","01/11/2018","W",977,2018-01-11,1,"Jan",2018,11,"Thursday","(41.88422, -87.696234)","green"
"5196",41360,"California-Lake","03/24/2018","A",558,2018-03-24,3,"Mar",2018,24,"Saturday","(41.88422, -87.696234)","green"
"5311",41360,"California-Lake","01/12/2018","W",874,2018-01-12,1,"Jan",2018,12,"Friday","(41.88422, -87.696234)","green"
"5367",41360,"California-Lake","01/06/2018","A",426,2018-01-06,1,"Jan",2018,6,"Saturday","(41.88422, -87.696234)","green"
"5422",41360,"California-Lake","01/26/2018","W",975,2018-01-26,1,"Jan",2018,26,"Friday","(41.88422, -87.696234)","green"
"5477",41360,"California-Lake","02/15/2018","W",1020,2018-02-15,2,"Feb",2018,15,"Thursday","(41.88422, -87.696234)","green"
