"","station_id","stationname","date","daytype","rides","date_ymd","month","month_char","year","day","day_of_week","loc","lineColor","X"
"22",40450,"95th/Dan Ryan",NA,NA,10611,2017-12-04,12,"Dec",2017,4,"Monday","(41.722377, -87.624342)","100000000",NA
"102",40450,"95th/Dan Ryan",NA,NA,6458,2017-12-16,12,"Dec",2017,16,"Saturday","(41.722377, -87.624342)","100000000",NA
"154",40450,"95th/Dan Ryan",NA,NA,4850,2017-12-17,12,"Dec",2017,17,"Sunday","(41.722377, -87.624342)","100000000",NA
"191",40450,"95th/Dan Ryan",NA,NA,10099,2017-12-11,12,"Dec",2017,11,"Monday","(41.722377, -87.624342)","100000000",NA
"279",40450,"95th/Dan Ryan",NA,NA,5946,2017-12-23,12,"Dec",2017,23,"Saturday","(41.722377, -87.624342)","100000000",NA
"506",40450,"95th/Dan Ryan",NA,NA,9566,2017-12-19,12,"Dec",2017,19,"Tuesday","(41.722377, -87.624342)","100000000",NA
"509",40450,"95th/Dan Ryan",NA,NA,10150,2017-12-20,12,"Dec",2017,20,"Wednesday","(41.722377, -87.624342)","100000000",NA
"530",40450,"95th/Dan Ryan",NA,NA,7656,2017-12-29,12,"Dec",2017,29,"Friday","(41.722377, -87.624342)","100000000",NA
"1107",40450,"95th/Dan Ryan",NA,NA,9861,2017-12-21,12,"Dec",2017,21,"Thursday","(41.722377, -87.624342)","100000000",NA
"1286",40450,"95th/Dan Ryan",NA,NA,9936,2017-12-15,12,"Dec",2017,15,"Friday","(41.722377, -87.624342)","100000000",NA
"1468",40450,"95th/Dan Ryan",NA,NA,5759,2017-12-09,12,"Dec",2017,9,"Saturday","(41.722377, -87.624342)","100000000",NA
"1659",40450,"95th/Dan Ryan",NA,NA,10062,2017-12-13,12,"Dec",2017,13,"Wednesday","(41.722377, -87.624342)","100000000",NA
"1811",40450,"95th/Dan Ryan",NA,NA,11173,2017-12-01,12,"Dec",2017,1,"Friday","(41.722377, -87.624342)","100000000",NA
"1914",40450,"95th/Dan Ryan",NA,NA,4329,2017-12-24,12,"Dec",2017,24,"Sunday","(41.722377, -87.624342)","100000000",NA
"1991",40450,"95th/Dan Ryan",NA,NA,9675,2017-12-22,12,"Dec",2017,22,"Friday","(41.722377, -87.624342)","100000000",NA
"2604",40450,"95th/Dan Ryan",NA,NA,4668,2017-12-10,12,"Dec",2017,10,"Sunday","(41.722377, -87.624342)","100000000",NA
"2755",40450,"95th/Dan Ryan",NA,NA,10025,2017-12-12,12,"Dec",2017,12,"Tuesday","(41.722377, -87.624342)","100000000",NA
"2778",40450,"95th/Dan Ryan",NA,NA,10052,2017-12-14,12,"Dec",2017,14,"Thursday","(41.722377, -87.624342)","100000000",NA
"3336",40450,"95th/Dan Ryan",NA,NA,10633,2017-12-06,12,"Dec",2017,6,"Wednesday","(41.722377, -87.624342)","100000000",NA
"3404",40450,"95th/Dan Ryan",NA,NA,5431,2017-12-03,12,"Dec",2017,3,"Sunday","(41.722377, -87.624342)","100000000",NA
"3409",40450,"95th/Dan Ryan",NA,NA,6138,2017-12-26,12,"Dec",2017,26,"Tuesday","(41.722377, -87.624342)","100000000",NA
"3488",40450,"95th/Dan Ryan",NA,NA,10518,2017-12-05,12,"Dec",2017,5,"Tuesday","(41.722377, -87.624342)","100000000",NA
"3592",40450,"95th/Dan Ryan",NA,NA,10389,2017-12-07,12,"Dec",2017,7,"Thursday","(41.722377, -87.624342)","100000000",NA
"3622",40450,"95th/Dan Ryan",NA,NA,10051,2017-12-08,12,"Dec",2017,8,"Friday","(41.722377, -87.624342)","100000000",NA
"3754",40450,"95th/Dan Ryan",NA,NA,4189,2017-12-31,12,"Dec",2017,31,"Sunday","(41.722377, -87.624342)","100000000",NA
"3774",40450,"95th/Dan Ryan",NA,NA,6654,2017-12-02,12,"Dec",2017,2,"Saturday","(41.722377, -87.624342)","100000000",NA
"3924",40450,"95th/Dan Ryan",NA,NA,7365,2017-12-28,12,"Dec",2017,28,"Thursday","(41.722377, -87.624342)","100000000",NA
"3963",40450,"95th/Dan Ryan",NA,NA,6862,2017-12-27,12,"Dec",2017,27,"Wednesday","(41.722377, -87.624342)","100000000",NA
"4029",40450,"95th/Dan Ryan",NA,NA,4820,2017-12-30,12,"Dec",2017,30,"Saturday","(41.722377, -87.624342)","100000000",NA
"4081",40450,"95th/Dan Ryan",NA,NA,9874,2017-12-18,12,"Dec",2017,18,"Monday","(41.722377, -87.624342)","100000000",NA
"4222",40450,"95th/Dan Ryan",NA,NA,3068,2017-12-25,12,"Dec",2017,25,"Monday","(41.722377, -87.624342)","100000000",NA
"4682",40450,"95th/Dan Ryan",NA,NA,9948,2018-03-06,3,"Mar",2018,6,"Tuesday","(41.722377, -87.624342)","100000000",NA
"4729",40450,"95th/Dan Ryan",NA,NA,10303,2018-01-25,1,"Jan",2018,25,"Thursday","(41.722377, -87.624342)","100000000",NA
"4858",40450,"95th/Dan Ryan",NA,NA,5854,2018-02-24,2,"Feb",2018,24,"Saturday","(41.722377, -87.624342)","100000000",NA
"5109",40450,"95th/Dan Ryan",NA,NA,10016,2018-02-20,2,"Feb",2018,20,"Tuesday","(41.722377, -87.624342)","100000000",NA
"5110",40450,"95th/Dan Ryan",NA,NA,9990,2018-01-31,1,"Jan",2018,31,"Wednesday","(41.722377, -87.624342)","100000000",NA
"5298",40450,"95th/Dan Ryan",NA,NA,9697,2018-03-19,3,"Mar",2018,19,"Monday","(41.722377, -87.624342)","100000000",NA
"5671",40450,"95th/Dan Ryan",NA,NA,5726,2018-01-15,1,"Jan",2018,15,"Monday","(41.722377, -87.624342)","100000000",NA
"5676",40450,"95th/Dan Ryan",NA,NA,9917,2018-03-14,3,"Mar",2018,14,"Wednesday","(41.722377, -87.624342)","100000000",NA
"5724",40450,"95th/Dan Ryan",NA,NA,4836,2018-03-04,3,"Mar",2018,4,"Sunday","(41.722377, -87.624342)","100000000",NA
"5743",40450,"95th/Dan Ryan",NA,NA,5212,2018-03-24,3,"Mar",2018,24,"Saturday","(41.722377, -87.624342)","100000000",NA
"5744",40450,"95th/Dan Ryan",NA,NA,9736,2018-03-13,3,"Mar",2018,13,"Tuesday","(41.722377, -87.624342)","100000000",NA
