"","station_id","stationname","date","daytype","rides","date_ymd","month","month_char","year","day","day_of_week","loc","lineColor","X"
"21",40130,"51st",NA,NA,1049,2017-12-04,12,"Dec",2017,4,"Monday","(41.80209, -87.618487)","001000000",NA
"442",40130,"51st",NA,NA,982,2017-12-11,12,"Dec",2017,11,"Monday","(41.80209, -87.618487)","001000000",NA
"448",40130,"51st",NA,NA,383,2017-12-31,12,"Dec",2017,31,"Sunday","(41.80209, -87.618487)","001000000",NA
"508",40130,"51st",NA,NA,944,2017-12-13,12,"Dec",2017,13,"Wednesday","(41.80209, -87.618487)","001000000",NA
"554",40130,"51st",NA,NA,916,2017-12-12,12,"Dec",2017,12,"Tuesday","(41.80209, -87.618487)","001000000",NA
"573",40130,"51st",NA,NA,938,2017-12-07,12,"Dec",2017,7,"Thursday","(41.80209, -87.618487)","001000000",NA
"587",40130,"51st",NA,NA,916,2017-12-22,12,"Dec",2017,22,"Friday","(41.80209, -87.618487)","001000000",NA
"605",40130,"51st",NA,NA,1063,2017-12-01,12,"Dec",2017,1,"Friday","(41.80209, -87.618487)","001000000",NA
"663",40130,"51st",NA,NA,668,2017-12-28,12,"Dec",2017,28,"Thursday","(41.80209, -87.618487)","001000000",NA
"690",40130,"51st",NA,NA,654,2017-12-16,12,"Dec",2017,16,"Saturday","(41.80209, -87.618487)","001000000",NA
"693",40130,"51st",NA,NA,921,2017-12-18,12,"Dec",2017,18,"Monday","(41.80209, -87.618487)","001000000",NA
"774",40130,"51st",NA,NA,932,2017-12-15,12,"Dec",2017,15,"Friday","(41.80209, -87.618487)","001000000",NA
"993",40130,"51st",NA,NA,941,2017-12-08,12,"Dec",2017,8,"Friday","(41.80209, -87.618487)","001000000",NA
"1153",40130,"51st",NA,NA,895,2017-12-14,12,"Dec",2017,14,"Thursday","(41.80209, -87.618487)","001000000",NA
"1580",40130,"51st",NA,NA,604,2017-12-27,12,"Dec",2017,27,"Wednesday","(41.80209, -87.618487)","001000000",NA
"2075",40130,"51st",NA,NA,600,2017-12-09,12,"Dec",2017,9,"Saturday","(41.80209, -87.618487)","001000000",NA
"2203",40130,"51st",NA,NA,970,2017-12-05,12,"Dec",2017,5,"Tuesday","(41.80209, -87.618487)","001000000",NA
"2557",40130,"51st",NA,NA,312,2017-12-25,12,"Dec",2017,25,"Monday","(41.80209, -87.618487)","001000000",NA
"2813",40130,"51st",NA,NA,926,2017-12-21,12,"Dec",2017,21,"Thursday","(41.80209, -87.618487)","001000000",NA
"2888",40130,"51st",NA,NA,933,2017-12-20,12,"Dec",2017,20,"Wednesday","(41.80209, -87.618487)","001000000",NA
"3298",40130,"51st",NA,NA,973,2017-12-19,12,"Dec",2017,19,"Tuesday","(41.80209, -87.618487)","001000000",NA
"3311",40130,"51st",NA,NA,462,2017-12-17,12,"Dec",2017,17,"Sunday","(41.80209, -87.618487)","001000000",NA
"3333",40130,"51st",NA,NA,703,2017-12-29,12,"Dec",2017,29,"Friday","(41.80209, -87.618487)","001000000",NA
"3407",40130,"51st",NA,NA,676,2017-12-02,12,"Dec",2017,2,"Saturday","(41.80209, -87.618487)","001000000",NA
"3432",40130,"51st",NA,NA,506,2017-12-03,12,"Dec",2017,3,"Sunday","(41.80209, -87.618487)","001000000",NA
"3455",40130,"51st",NA,NA,450,2017-12-30,12,"Dec",2017,30,"Saturday","(41.80209, -87.618487)","001000000",NA
"3461",40130,"51st",NA,NA,492,2017-12-26,12,"Dec",2017,26,"Tuesday","(41.80209, -87.618487)","001000000",NA
"3848",40130,"51st",NA,NA,387,2017-12-24,12,"Dec",2017,24,"Sunday","(41.80209, -87.618487)","001000000",NA
"3916",40130,"51st",NA,NA,460,2017-12-10,12,"Dec",2017,10,"Sunday","(41.80209, -87.618487)","001000000",NA
"4041",40130,"51st",NA,NA,545,2017-12-23,12,"Dec",2017,23,"Saturday","(41.80209, -87.618487)","001000000",NA
"4091",40130,"51st",NA,NA,1002,2017-12-06,12,"Dec",2017,6,"Wednesday","(41.80209, -87.618487)","001000000",NA
"4576",40130,"51st",NA,NA,797,2018-01-03,1,"Jan",2018,3,"Wednesday","(41.80209, -87.618487)","001000000",NA
"4672",40130,"51st",NA,NA,937,2018-03-14,3,"Mar",2018,14,"Wednesday","(41.80209, -87.618487)","001000000",NA
"5107",40130,"51st",NA,NA,944,2018-03-23,3,"Mar",2018,23,"Friday","(41.80209, -87.618487)","001000000",NA
"5152",40130,"51st",NA,NA,983,2018-01-22,1,"Jan",2018,22,"Monday","(41.80209, -87.618487)","001000000",NA
"5297",40130,"51st",NA,NA,941,2018-03-01,3,"Mar",2018,1,"Thursday","(41.80209, -87.618487)","001000000",NA
"5327",40130,"51st",NA,NA,886,2018-01-17,1,"Jan",2018,17,"Wednesday","(41.80209, -87.618487)","001000000",NA
"5482",40130,"51st",NA,NA,386,2018-01-07,1,"Jan",2018,7,"Sunday","(41.80209, -87.618487)","001000000",NA
"5489",40130,"51st",NA,NA,472,2018-03-18,3,"Mar",2018,18,"Sunday","(41.80209, -87.618487)","001000000",NA
"5795",40130,"51st",NA,NA,815,2018-02-12,2,"Feb",2018,12,"Monday","(41.80209, -87.618487)","001000000",NA
"5934",40130,"51st",NA,NA,684,2018-03-17,3,"Mar",2018,17,"Saturday","(41.80209, -87.618487)","001000000",NA
"5940",40130,"51st",NA,NA,953,2018-01-26,1,"Jan",2018,26,"Friday","(41.80209, -87.618487)","001000000",NA
"6248",40130,"51st",NA,NA,593,2018-02-24,2,"Feb",2018,24,"Saturday","(41.80209, -87.618487)","001000000",NA
"6489",40130,"51st",NA,NA,903,2018-01-18,1,"Jan",2018,18,"Thursday","(41.80209, -87.618487)","001000000",NA
"6570",40130,"51st",NA,NA,510,2018-02-10,2,"Feb",2018,10,"Saturday","(41.80209, -87.618487)","001000000",NA
"6746",40130,"51st",NA,NA,921,2018-01-23,1,"Jan",2018,23,"Tuesday","(41.80209, -87.618487)","001000000",NA
"6815",40130,"51st",NA,NA,591,2018-02-19,2,"Feb",2018,19,"Monday","(41.80209, -87.618487)","001000000",NA
"6991",40130,"51st",NA,NA,465,2018-03-11,3,"Mar",2018,11,"Sunday","(41.80209, -87.618487)","001000000",NA
"6994",40130,"51st",NA,NA,1003,2018-03-20,3,"Mar",2018,20,"Tuesday","(41.80209, -87.618487)","001000000",NA
"7420",40130,"51st",NA,NA,1023,2018-03-02,3,"Mar",2018,2,"Friday","(41.80209, -87.618487)","001000000",NA
"7487",40130,"51st",NA,NA,947,2018-02-22,2,"Feb",2018,22,"Thursday","(41.80209, -87.618487)","001000000",NA
"7590",40130,"51st",NA,NA,634,2018-01-02,1,"Jan",2018,2,"Tuesday","(41.80209, -87.618487)","001000000",NA
"7591",40130,"51st",NA,NA,822,2018-02-21,2,"Feb",2018,21,"Wednesday","(41.80209, -87.618487)","001000000",NA
"7628",40130,"51st",NA,NA,960,2018-02-26,2,"Feb",2018,26,"Monday","(41.80209, -87.618487)","001000000",NA
"7856",40130,"51st",NA,NA,961,2018-03-16,3,"Mar",2018,16,"Friday","(41.80209, -87.618487)","001000000",NA
"8172",40130,"51st",NA,NA,597,2018-03-03,3,"Mar",2018,3,"Saturday","(41.80209, -87.618487)","001000000",NA
"8211",40130,"51st",NA,NA,469,2018-01-13,1,"Jan",2018,13,"Saturday","(41.80209, -87.618487)","001000000",NA
"8281",40130,"51st",NA,NA,276,2018-01-01,1,"Jan",2018,1,"Monday","(41.80209, -87.618487)","001000000",NA
"8298",40130,"51st",NA,NA,732,2018-01-05,1,"Jan",2018,5,"Friday","(41.80209, -87.618487)","001000000",NA
"8396",40130,"51st",NA,NA,928,2018-01-25,1,"Jan",2018,25,"Thursday","(41.80209, -87.618487)","001000000",NA
"8454",40130,"51st",NA,NA,958,2018-03-13,3,"Mar",2018,13,"Tuesday","(41.80209, -87.618487)","001000000",NA
"8467",40130,"51st",NA,NA,507,2018-01-06,1,"Jan",2018,6,"Saturday","(41.80209, -87.618487)","001000000",NA
"8919",40130,"51st",NA,NA,1003,2018-03-21,3,"Mar",2018,21,"Wednesday","(41.80209, -87.618487)","001000000",NA
"8953",40130,"51st",NA,NA,938,2018-03-22,3,"Mar",2018,22,"Thursday","(41.80209, -87.618487)","001000000",NA
"9196",40130,"51st",NA,NA,423,2018-02-18,2,"Feb",2018,18,"Sunday","(41.80209, -87.618487)","001000000",NA
"9242",40130,"51st",NA,NA,915,2018-02-06,2,"Feb",2018,6,"Tuesday","(41.80209, -87.618487)","001000000",NA
"9682",40130,"51st",NA,NA,526,2018-01-15,1,"Jan",2018,15,"Monday","(41.80209, -87.618487)","001000000",NA
"9697",40130,"51st",NA,NA,587,2018-02-03,2,"Feb",2018,3,"Saturday","(41.80209, -87.618487)","001000000",NA
"9701",40130,"51st",NA,NA,967,2018-03-07,3,"Mar",2018,7,"Wednesday","(41.80209, -87.618487)","001000000",NA
"9860",40130,"51st",NA,NA,461,2018-03-04,3,"Mar",2018,4,"Sunday","(41.80209, -87.618487)","001000000",NA
"9911",40130,"51st",NA,NA,828,2018-03-29,3,"Mar",2018,29,"Thursday","(41.80209, -87.618487)","001000000",NA
"10110",40130,"51st",NA,NA,563,2018-03-31,3,"Mar",2018,31,"Saturday","(41.80209, -87.618487)","001000000",NA
"10271",40130,"51st",NA,NA,369,2018-01-14,1,"Jan",2018,14,"Sunday","(41.80209, -87.618487)","001000000",NA
"10289",40130,"51st",NA,NA,820,2018-03-27,3,"Mar",2018,27,"Tuesday","(41.80209, -87.618487)","001000000",NA
"10311",40130,"51st",NA,NA,837,2018-03-26,3,"Mar",2018,26,"Monday","(41.80209, -87.618487)","001000000",NA
"10581",40130,"51st",NA,NA,592,2018-03-10,3,"Mar",2018,10,"Saturday","(41.80209, -87.618487)","001000000",NA
"10583",40130,"51st",NA,NA,571,2018-01-20,1,"Jan",2018,20,"Saturday","(41.80209, -87.618487)","001000000",NA
"10931",40130,"51st",NA,NA,394,2018-02-11,2,"Feb",2018,11,"Sunday","(41.80209, -87.618487)","001000000",NA
"11103",40130,"51st",NA,NA,872,2018-02-05,2,"Feb",2018,5,"Monday","(41.80209, -87.618487)","001000000",NA
"11267",40130,"51st",NA,NA,948,2018-02-27,2,"Feb",2018,27,"Tuesday","(41.80209, -87.618487)","001000000",NA
"11429",40130,"51st",NA,NA,925,2018-01-08,1,"Jan",2018,8,"Monday","(41.80209, -87.618487)","001000000",NA
"11553",40130,"51st",NA,NA,938,2018-03-06,3,"Mar",2018,6,"Tuesday","(41.80209, -87.618487)","001000000",NA
"11691",40130,"51st",NA,NA,586,2018-01-27,1,"Jan",2018,27,"Saturday","(41.80209, -87.618487)","001000000",NA
