"","station_id","stationname","date","daytype","rides","date_ymd","month","month_char","year","day","day_of_week","loc","lineColor","X"
"43",40580,"54th/Cermak",NA,NA,2088,2017-12-20,12,"Dec",2017,20,"Wednesday","(41.85177331, -87.75669201)","000000100",NA
"103",40580,"54th/Cermak",NA,NA,2108,2017-12-12,12,"Dec",2017,12,"Tuesday","(41.85177331, -87.75669201)","000000100",NA
"195",40580,"54th/Cermak",NA,NA,1263,2017-12-09,12,"Dec",2017,9,"Saturday","(41.85177331, -87.75669201)","000000100",NA
"233",40580,"54th/Cermak",NA,NA,2364,2017-12-06,12,"Dec",2017,6,"Wednesday","(41.85177331, -87.75669201)","000000100",NA
"327",40580,"54th/Cermak",NA,NA,2157,2017-12-08,12,"Dec",2017,8,"Friday","(41.85177331, -87.75669201)","000000100",NA
"345",40580,"54th/Cermak",NA,NA,2143,2017-12-14,12,"Dec",2017,14,"Thursday","(41.85177331, -87.75669201)","000000100",NA
"546",40580,"54th/Cermak",NA,NA,1103,2017-12-23,12,"Dec",2017,23,"Saturday","(41.85177331, -87.75669201)","000000100",NA
"735",40580,"54th/Cermak",NA,NA,2091,2017-12-11,12,"Dec",2017,11,"Monday","(41.85177331, -87.75669201)","000000100",NA
"787",40580,"54th/Cermak",NA,NA,345,2017-12-25,12,"Dec",2017,25,"Monday","(41.85177331, -87.75669201)","000000100",NA
"1110",40580,"54th/Cermak",NA,NA,573,2017-12-24,12,"Dec",2017,24,"Sunday","(41.85177331, -87.75669201)","000000100",NA
"1463",40580,"54th/Cermak",NA,NA,1973,2017-12-18,12,"Dec",2017,18,"Monday","(41.85177331, -87.75669201)","000000100",NA
"1542",40580,"54th/Cermak",NA,NA,791,2017-12-10,12,"Dec",2017,10,"Sunday","(41.85177331, -87.75669201)","000000100",NA
"2151",40580,"54th/Cermak",NA,NA,2139,2017-12-19,12,"Dec",2017,19,"Tuesday","(41.85177331, -87.75669201)","000000100",NA
"2213",40580,"54th/Cermak",NA,NA,2310,2017-12-05,12,"Dec",2017,5,"Tuesday","(41.85177331, -87.75669201)","000000100",NA
"2298",40580,"54th/Cermak",NA,NA,2204,2017-12-04,12,"Dec",2017,4,"Monday","(41.85177331, -87.75669201)","000000100",NA
"2308",40580,"54th/Cermak",NA,NA,850,2017-12-30,12,"Dec",2017,30,"Saturday","(41.85177331, -87.75669201)","000000100",NA
"2419",40580,"54th/Cermak",NA,NA,1484,2017-12-27,12,"Dec",2017,27,"Wednesday","(41.85177331, -87.75669201)","000000100",NA
"2444",40580,"54th/Cermak",NA,NA,974,2017-12-03,12,"Dec",2017,3,"Sunday","(41.85177331, -87.75669201)","000000100",NA
"2684",40580,"54th/Cermak",NA,NA,1260,2017-12-26,12,"Dec",2017,26,"Tuesday","(41.85177331, -87.75669201)","000000100",NA
"2696",40580,"54th/Cermak",NA,NA,2307,2017-12-01,12,"Dec",2017,1,"Friday","(41.85177331, -87.75669201)","000000100",NA
"2773",40580,"54th/Cermak",NA,NA,1936,2017-12-22,12,"Dec",2017,22,"Friday","(41.85177331, -87.75669201)","000000100",NA
